Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.078,-0.056,-0.409,-0.02,0.002,-0.018,0.054,1.0,0.017,0.015,-0.013,-0.014,0.008,-0.019,0.237,0.143,-0.251,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
2,-0.057,-0.033,-0.413,0.002,0.003,-0.018,0.055,1.0,0.014,0.012,-0.009,0.009,-0.001,0.014,0.087,-0.071,0.096,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
3,0.071,-0.012,-0.398,0.009,0.002,-0.018,0.057,1.0,0.002,0.01,-0.006,-0.012,0.016,0.084,-0.785,-0.148,0.199,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
4,0.059,0.008,-0.445,-0.005,0.003,-0.017,0.066,1.0,-0.003,0.005,-0.007,0.013,0.03,0.261,-0.462,-0.275,-0.038,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0
5,-0.013,-0.034,-0.512,-0.002,0.004,-0.016,0.083,1.0,-0.001,0.005,-0.006,0.039,0.024,0.502,0.174,0.053,0.004,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
6,-0.147,0.007,-0.566,-0.012,0.006,-0.015,0.108,1.0,0.016,-0.001,-0.008,0.063,0.034,0.714,1.128,-0.277,-0.162,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
7,0.003,-0.035,-0.635,-0.0,0.009,-0.014,0.14,1.0,0.009,0.002,-0.007,0.087,0.028,0.925,-0.191,-0.021,0.064,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
8,-0.005,0.046,-0.667,-0.0,0.012,-0.013,0.175,1.0,0.008,-0.007,-0.007,0.082,0.04,1.018,-0.066,-0.628,0.036,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
9,-0.061,-0.005,-0.675,-0.01,0.015,-0.012,0.211,1.0,0.013,-0.007,-0.008,0.089,0.024,1.075,0.359,-0.13,-0.107,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
10,-0.029,-0.083,-0.67,-0.008,0.019,-0.012,0.246,1.0,0.013,-0.001,-0.008,0.107,0.032,1.029,0.037,0.47,-0.064,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
11,0.061,-0.031,-0.656,-0.005,0.023,-0.011,0.277,1.0,0.001,-0.004,-0.007,0.117,0.03,0.965,-0.613,-0.056,-0.019,0.0,0.0,0.3793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
12,0.082,-0.06,-0.611,0.009,0.027,-0.009,0.306,1.0,-0.008,-0.001,-0.004,0.114,0.026,0.866,-0.58,0.162,0.175,0.0,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
13,0.012,-0.001,-0.575,-0.001,0.03,-0.009,0.33,1.0,-0.005,-0.011,-0.004,0.109,0.029,0.75,0.108,-0.182,0.015,0.0,0.0,0.4482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
14,-0.087,0.006,-0.535,-0.013,0.034,-0.008,0.351,1.0,0.009,-0.015,-0.006,0.11,0.033,0.646,0.738,-0.135,-0.168,0.0,0.0,0.48275862068965514,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
15,-0.028,0.012,-0.492,-0.003,0.038,-0.007,0.37,1.0,0.008,-0.018,-0.006,0.116,0.022,0.577,0.085,-0.149,-0.021,0.0,0.0,0.5172413793103449,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
16,0.039,-0.031,-0.49,-0.001,0.042,-0.005,0.389,1.0,0.003,-0.015,-0.004,0.117,0.042,0.584,-0.337,0.176,0.001,0.0,0.0,0.5517241379310345,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0
17,0.07,-0.051,-0.495,0.002,0.046,-0.004,0.408,1.0,-0.006,-0.013,-0.003,0.115,0.047,0.579,-0.354,0.304,0.058,0.0,0.0,0.5862068965517241,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
18,0.014,-0.005,-0.477,0.004,0.049,-0.002,0.429,1.0,-0.003,-0.016,-0.002,0.102,0.043,0.607,0.12,-0.048,0.076,0.0,0.0,0.6206896551724138,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
