Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
1,-0.034,0.1,-0.466,0.001,-0.333,-0.013,0.173,1.0,0.008,-0.016,0.001,0.003,0.006,-0.006,0.099,-0.158,-0.003,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.2749562211680918,[-0.00821436]
2,-0.014,0.1,-0.505,0.001,-0.333,-0.013,0.173,1.0,0.007,-0.02,0.0,-0.001,0.003,0.002,-0.09,-0.471,-0.034,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.2941075166290902,[-0.01700088]
3,-0.023,0.037,-0.427,0.006,-0.333,-0.013,0.173,1.0,0.008,-0.002,0.002,0.004,-0.006,0.01,-0.058,0.827,0.103,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.2480631486756359,[-0.02441181]
4,-0.097,-0.012,-0.388,0.003,-0.332,-0.013,0.175,1.0,0.015,0.006,0.002,0.019,0.005,0.05,0.516,1.005,0.05,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0,-0.30904779336114596,[-0.03364466]
5,0.022,-0.032,-0.342,0.012,-0.331,-0.013,0.177,1.0,0.005,0.017,0.004,0.027,-0.011,0.069,-0.456,0.851,0.182,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.3748965851751285,[-0.04484476]
6,0.1,0.078,-0.296,0.0,-0.33,-0.012,0.18,1.0,-0.012,0.01,0.003,0.032,0.027,0.107,-1.177,-0.087,0.025,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.4098126850811511,[-0.05708799]
7,0.1,0.029,-0.315,0.009,-0.329,-0.011,0.187,1.0,-0.018,0.015,0.003,0.049,0.028,0.206,-0.632,0.201,0.094,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.40380023569492907,[-0.06915159]
8,0.011,0.1,-0.308,-0.015,-0.327,-0.01,0.197,1.0,-0.01,0.005,0.0,0.057,0.04,0.294,0.29,-1.025,-0.148,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.39226915422610525,[-0.0808707]
9,-0.057,-0.093,-0.312,0.009,-0.324,-0.008,0.213,1.0,0.002,0.025,0.001,0.083,0.037,0.47,0.608,1.03,0.152,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.31256641948436226,[-0.09020868]
10,-0.06,-0.099,-0.334,-0.002,-0.319,-0.007,0.234,1.0,0.009,0.028,-0.002,0.136,0.029,0.645,0.418,0.858,-0.02,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.3082806392445361,[-0.09941861]
11,0.005,-0.096,-0.354,-0.006,-0.313,-0.006,0.26,0.999,0.006,0.037,-0.003,0.177,0.036,0.764,-0.113,0.455,-0.045,0.0,0.0,0.3793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.33774364610576857,[-0.10950876]
12,0.064,0.049,-0.362,-0.003,-0.307,-0.004,0.291,1.0,-0.002,0.02,-0.002,0.195,0.043,0.921,-0.472,-0.665,-0.007,0.0,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.27570492975274274,[-0.1177455]
13,0.041,0.039,-0.412,0.007,-0.3,-0.002,0.326,1.0,-0.003,0.015,-0.001,0.21,0.05,1.017,-0.184,-0.495,0.117,0.0,0.0,0.4482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.32927311301701856,[-0.11936822]
14,0.002,-0.028,-0.471,0.012,-0.292,0.0,0.364,1.0,0.001,0.01,-0.0,0.247,0.068,1.166,0.196,0.195,0.189,0.0,0.0,0.48275862068965514,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.21770011153405555,[-0.11708554]
15,-0.016,-0.089,-0.477,-0.015,-0.283,0.003,0.404,1.0,0.007,0.015,-0.004,0.262,0.078,1.223,0.292,0.648,-0.235,0.0,0.0,0.5172413793103449,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.23949196767149172,[-0.11682947]
