px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.0,0.002,0.0,-0.013,-0.014,0.004
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.002,0.001,0.002,-0.014,0.087,0.024
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.002,0.001,0.002,0.0,0.073,0.02
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,-0.0,0.001,0.001,-0.002,-0.025,-0.002
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.0,-0.001,0.002,0.013,-0.028,-0.008
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.001,-0.001,0.001,0.002,-0.011,-0.009
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.001,-0.001,-0.001,0.004,-0.017,-0.007
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,0.0,-0.001,-0.002,0.01,0.002,-0.0
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.001,-0.0,-0.001,0.004,-0.002,-0.001
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,0.0,-0.0,-0.001,0.003,0.022,-0.004
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.0,0.0,0.001,-0.003,-0.013,-0.002
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,0.0,0.0,0.0,-0.007,-0.027,0.0
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.005,-0.003,0.004,0.044,0.318,0.048
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,-0.003,-0.002,0.003,0.015,0.176,0.021
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,-0.003,-0.002,0.004,0.044,0.16,0.016
0.008,-0.021,0.058,0.999,0.007,0.026,-0.017,-0.002,-0.002,0.004,0.029,0.133,0.014
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,-0.001,-0.002,0.003,0.019,0.09,0.004
0.008,-0.021,0.058,1.0,0.007,0.026,-0.017,-0.0,-0.001,0.002,0.006,0.084,0.009
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,-0.0,-0.001,-0.001,0.014,0.049,0.009
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,-0.0,-0.0,-0.002,0.012,0.048,0.011
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,-0.001,-0.0,-0.002,0.009,0.045,0.004
0.008,-0.021,0.058,1.0,0.007,0.025,-0.017,-0.0,-0.0,-0.0,0.006,0.029,0.001
