Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,0.393,0.386,0.4,0.398,0.025,-0.035,0.109,0.999,-0.032,-0.02,0.007,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.397,0.4,0.4,0.398,0.025,-0.035,0.109,0.999,-0.032,-0.02,0.007,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.397,0.394,0.4,0.4,0.025,-0.035,0.109,0.999,-0.032,-0.02,0.007,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.397,0.398,0.4,0.399,0.025,-0.035,0.11,0.999,-0.032,-0.019,0.007,0.0,0.0,0.022,0.0,0.043,0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.399,0.395,0.4,0.398,0.025,-0.035,0.11,0.999,-0.031,-0.019,0.007,0.0,0.0,0.0,0.043,-0.0,-0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.396,0.397,0.4,0.399,0.025,-0.035,0.11,0.999,-0.031,-0.019,0.007,0.0,0.0,0.0,0.043,-0.0,-0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.397,0.395,0.4,0.398,0.025,-0.035,0.111,0.999,-0.031,-0.019,0.007,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.397,0.398,0.4,0.4,0.026,-0.035,0.111,0.999,-0.031,-0.019,0.007,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.397,0.394,0.4,0.398,0.026,-0.035,0.112,0.999,-0.031,-0.019,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.399,0.4,0.4,0.4,0.026,-0.035,0.112,0.999,-0.03,-0.019,0.007,0.0,0.0,0.0,0.064,-0.0,-0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.395,0.394,0.4,0.4,0.026,-0.035,0.113,0.999,-0.03,-0.018,0.007,0.0,0.0,0.033,0.0,0.065,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.4,0.398,0.4,0.398,0.026,-0.035,0.113,0.999,-0.03,-0.018,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.395,0.395,0.4,0.4,0.026,-0.035,0.114,0.999,-0.03,-0.018,0.007,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.4,0.395,0.398,0.399,0.026,-0.035,0.114,0.999,-0.03,-0.018,0.006,0.0,0.0,0.0,-0.002,0.004,-0.124,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.394,0.397,0.4,0.396,0.026,-0.035,0.114,0.999,-0.029,-0.018,0.006,0.0,0.0,0.0,0.043,-0.0,-0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.399,0.396,0.399,0.4,0.026,-0.035,0.114,0.999,-0.029,-0.018,0.006,0.0,0.0,0.0,0.043,-0.0,-0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.395,0.396,0.4,0.398,0.026,-0.035,0.115,0.999,-0.029,-0.018,0.006,0.0,0.0,0.022,-0.0,0.0,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.4,0.397,0.4,0.4,0.026,-0.035,0.115,0.999,-0.029,-0.018,0.006,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.396,0.396,0.4,0.398,0.026,-0.035,0.115,0.999,-0.029,-0.018,0.006,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.399,0.397,0.4,0.399,0.026,-0.035,0.115,0.999,-0.029,-0.018,0.006,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
