px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.023,-0.036,0.098,0.999,-0.038,-0.023,0.009,0.0,0.0,0.032,0.001,0.065,0.002
0.023,-0.036,0.098,0.999,-0.038,-0.023,0.009,0.0,0.0,0.0,-0.0,0.0,0.0
0.023,-0.036,0.099,0.999,-0.037,-0.023,0.009,0.0,0.0,0.032,0.063,-0.001,-0.001
0.023,-0.036,0.099,0.999,-0.037,-0.023,0.009,0.0,0.0,0.0,0.0,-0.0,0.0
0.023,-0.036,0.1,0.999,-0.037,-0.023,0.009,0.0,0.0,0.066,0.0,-0.0,0.0
0.023,-0.036,0.1,0.999,-0.037,-0.023,0.009,0.0,0.0,0.0,0.0,-0.0,0.0
0.023,-0.036,0.1,0.999,-0.037,-0.023,0.009,0.0,0.0,0.0,0.0,-0.0,0.0
0.023,-0.036,0.101,0.999,-0.036,-0.022,0.009,0.0,0.0,0.032,0.065,0.064,0.001
0.023,-0.036,0.101,0.999,-0.036,-0.022,0.009,0.0,0.0,0.0,0.0,0.0,0.0
0.023,-0.036,0.101,0.999,-0.036,-0.022,0.009,0.0,0.0,0.0,0.0,0.0,0.0
0.024,-0.036,0.101,0.999,-0.036,-0.022,0.009,0.032,0.0,0.0,0.0,0.0,0.0
0.024,-0.036,0.102,0.999,-0.036,-0.022,0.008,0.0,0.0,0.065,-0.003,0.005,-0.129
0.024,-0.036,0.102,0.999,-0.036,-0.022,0.008,0.0,0.0,0.0,-0.0,0.0,0.0
0.024,-0.036,0.103,0.999,-0.035,-0.022,0.008,0.0,0.0,0.032,0.063,-0.001,-0.001
0.024,-0.036,0.103,0.999,-0.035,-0.022,0.008,0.0,0.0,0.0,-0.0,0.0,-0.0
0.024,-0.036,0.103,0.999,-0.035,-0.022,0.008,0.0,0.0,0.0,-0.0,0.0,-0.0
0.024,-0.036,0.104,0.999,-0.035,-0.021,0.008,0.0,0.0,0.032,0.001,0.064,0.002
0.024,-0.036,0.104,0.999,-0.034,-0.021,0.008,0.0,0.0,0.0,0.064,-0.001,-0.001
0.024,-0.035,0.105,0.999,-0.034,-0.021,0.008,0.0,0.033,0.033,0.0,0.0,0.0
0.024,-0.035,0.105,0.999,-0.034,-0.021,0.008,0.0,0.0,0.0,0.0,0.0,0.0
0.024,-0.035,0.105,0.999,-0.034,-0.021,0.008,0.0,0.0,0.0,0.0,0.0,0.0
0.024,-0.035,0.106,0.999,-0.034,-0.021,0.008,0.0,0.0,0.022,0.0,0.0,0.0
0.025,-0.035,0.106,0.999,-0.034,-0.021,0.008,0.022,0.0,0.0,0.0,0.0,0.0
0.025,-0.035,0.107,0.999,-0.033,-0.02,0.008,0.0,0.0,0.031,0.063,0.062,0.001
0.025,-0.035,0.107,0.999,-0.033,-0.02,0.008,0.0,0.0,0.0,-0.0,0.0,0.0
0.025,-0.035,0.107,0.999,-0.033,-0.02,0.008,0.0,0.0,0.0,-0.0,0.0,0.0
0.025,-0.035,0.108,0.999,-0.033,-0.02,0.008,0.0,0.0,0.032,-0.0,0.0,0.0
0.025,-0.035,0.108,0.999,-0.033,-0.02,0.007,0.0,0.0,0.0,-0.002,0.004,-0.123
0.025,-0.035,0.109,0.999,-0.032,-0.02,0.007,0.0,0.0,0.022,0.044,-0.0,-0.001
0.025,-0.035,0.109,0.999,-0.032,-0.02,0.007,0.0,0.0,0.0,0.0,-0.0,-0.0
0.025,-0.035,0.109,0.999,-0.032,-0.02,0.007,0.0,0.0,0.0,0.0,-0.0,-0.0
0.025,-0.035,0.11,0.999,-0.032,-0.019,0.007,0.0,0.0,0.022,0.0,0.043,0.001
0.025,-0.035,0.11,0.999,-0.031,-0.019,0.007,0.0,0.0,0.0,0.043,-0.0,-0.001
0.025,-0.035,0.111,0.999,-0.031,-0.019,0.007,0.0,0.0,0.022,0.0,0.0,0.0
0.026,-0.035,0.111,0.999,-0.031,-0.019,0.007,0.022,0.0,0.0,0.0,0.0,0.0
0.026,-0.035,0.112,0.999,-0.031,-0.019,0.007,0.0,0.0,0.032,0.0,0.0,0.0
0.026,-0.035,0.112,0.999,-0.031,-0.019,0.007,0.0,0.0,0.0,0.0,0.0,0.0
0.026,-0.035,0.112,0.999,-0.03,-0.019,0.007,0.0,0.0,0.0,0.064,-0.0,-0.001
0.026,-0.035,0.113,0.999,-0.03,-0.018,0.007,0.0,0.0,0.033,0.0,0.065,0.002
0.026,-0.035,0.113,0.999,-0.03,-0.018,0.007,0.0,0.0,0.0,0.0,0.0,0.0
0.026,-0.035,0.114,0.999,-0.03,-0.018,0.007,0.0,0.0,0.022,0.0,0.0,0.0
0.026,-0.035,0.114,0.999,-0.03,-0.018,0.006,0.0,0.0,0.0,-0.002,0.004,-0.124
0.026,-0.035,0.114,0.999,-0.029,-0.018,0.006,0.0,0.0,0.0,0.043,-0.0,-0.001
0.026,-0.035,0.115,0.999,-0.029,-0.018,0.006,0.0,0.0,0.022,-0.0,0.0,-0.0
0.026,-0.035,0.115,0.999,-0.029,-0.018,0.006,0.0,0.0,0.0,-0.0,0.0,-0.0
0.026,-0.035,0.115,0.999,-0.029,-0.018,0.006,0.0,0.0,0.0,-0.0,0.0,-0.0
