Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.046,-0.048,-0.311,-0.003,-0.006,-0.009,0.054,1.0,0.014,0.015,-0.013,-0.003,0.005,-0.001,0.031,0.056,0.028,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
2,-0.04,-0.046,-0.162,-0.003,-0.006,-0.009,0.055,1.0,0.013,0.015,-0.013,0.001,0.002,0.008,-0.009,0.016,0.025,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
3,-0.001,-0.068,-0.108,0.002,-0.005,-0.009,0.058,1.0,0.009,0.016,-0.012,0.012,0.006,0.115,-0.272,0.176,0.12,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
4,0.01,0.052,-0.218,-0.004,-0.004,-0.009,0.072,1.0,0.003,0.003,-0.011,0.036,0.006,0.443,-0.188,-0.687,0.008,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0
5,-0.031,-0.041,-0.559,-0.015,-0.001,-0.008,0.107,1.0,0.004,0.002,-0.013,0.074,0.023,1.016,0.263,0.096,-0.169,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
6,-0.025,-0.026,-1.042,-0.009,0.003,-0.007,0.164,1.0,0.006,-0.005,-0.012,0.125,0.02,1.708,0.204,-0.015,-0.074,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
7,0.04,-0.073,-1.249,0.007,0.007,-0.006,0.235,1.0,0.001,0.002,-0.009,0.139,0.04,2.12,-0.34,0.252,0.182,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
8,0.027,-0.048,-1.3,0.001,0.012,-0.005,0.308,1.0,-0.002,-0.003,-0.008,0.151,0.038,2.189,-0.168,0.09,0.072,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
9,0.011,-0.005,-1.247,-0.004,0.017,-0.004,0.373,1.0,-0.003,-0.012,-0.008,0.145,0.037,2.0,0.038,-0.234,-0.016,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
10,-0.01,0.02,-1.172,0.005,0.021,-0.003,0.431,1.0,0.003,-0.019,-0.007,0.143,0.027,1.801,0.145,-0.407,0.126,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
11,-0.03,0.026,-1.095,-0.004,0.026,-0.002,0.481,1.0,0.01,-0.026,-0.009,0.148,0.034,1.506,0.261,-0.319,-0.005,0.0,0.0,0.3793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
12,-0.005,-0.05,-0.96,-0.006,0.031,-0.001,0.521,1.0,0.008,-0.018,-0.009,0.15,0.036,1.24,-0.014,0.402,-0.036,0.0,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
13,-0.021,-0.028,-0.811,-0.013,0.036,0.0,0.551,1.0,0.008,-0.019,-0.01,0.163,0.04,0.957,0.179,0.072,-0.152,0.0,0.0,0.4482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
