Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.091,-0.128,0.5,0.008,0.018,-0.039,0.057,1.0,0.007,0.014,0.004,0.004,0.001,-0.006,-0.067,-0.025,0.048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.116,-0.108,0.5,0.008,0.018,-0.039,0.057,1.0,0.008,0.013,0.004,0.002,-0.0,0.014,0.028,-0.088,0.031,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.007,0.045,0.5,0.006,0.019,-0.039,0.069,1.0,0.004,0.002,0.004,0.019,0.001,0.422,-0.521,-0.657,0.009,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.171,0.16,0.5,0.007,0.02,-0.038,0.105,1.0,-0.011,-0.013,0.004,0.057,0.029,1.124,-0.746,-0.842,0.027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.143,-0.101,0.377,0.006,0.023,-0.036,0.169,1.0,-0.016,-0.01,0.004,0.07,0.055,1.856,-0.217,0.15,-0.04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.009,-0.29,0.184,0.005,0.026,-0.033,0.259,1.0,-0.009,0.002,0.003,0.095,0.09,2.74,0.461,0.757,-0.024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.086,-0.118,0.0,-0.008,0.03,-0.029,0.385,1.0,0.012,-0.005,-0.0,0.12,0.134,4.635,1.2,-0.443,-0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.006,0.149,0.0,0.004,0.032,-0.024,0.509,1.0,0.014,-0.028,-0.001,0.089,0.132,4.031,-0.036,-1.668,0.031,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.022,0.159,0.0,0.002,0.034,-0.021,0.618,0.999,0.008,-0.053,-0.001,0.074,0.125,3.626,-0.246,-1.513,0.031,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.019,-0.062,0.0,-0.0,0.038,-0.017,0.74,0.999,0.006,-0.033,-0.001,0.102,0.119,3.701,-0.099,1.021,-0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
