Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.055,-0.219,0.5,0.001,0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,-0.002,0.002,-0.019,-0.027,0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.05,-0.241,0.5,-0.003,0.017,-0.025,0.058,0.999,0.005,0.031,-0.009,-0.002,0.002,0.013,-0.035,0.088,-0.034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.028,-0.153,0.5,-0.002,0.017,-0.025,0.066,1.0,0.005,0.024,-0.009,0.018,0.006,0.272,-0.177,-0.316,-0.017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.093,0.294,0.412,0.009,0.019,-0.024,0.099,1.0,-0.004,-0.01,-0.006,0.056,0.019,1.022,-0.539,-1.914,0.195,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.066,0.224,0.259,0.005,0.022,-0.022,0.161,0.999,-0.007,-0.032,-0.006,0.081,0.058,1.96,-0.231,-1.464,0.084,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.054,0.059,0.142,0.003,0.024,-0.019,0.252,0.999,-0.009,-0.038,-0.005,0.058,0.09,2.702,-0.037,-0.366,0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.02,-0.188,0.032,-0.006,0.026,-0.016,0.362,1.0,0.005,-0.004,-0.008,0.06,0.112,3.305,0.492,1.615,-0.186,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.004,-0.1,0.0,-0.003,0.027,-0.012,0.477,1.0,0.01,0.012,-0.008,0.046,0.113,3.52,0.244,0.924,0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.007,-0.021,0.0,0.003,0.029,-0.008,0.59,1.0,0.016,0.01,-0.009,0.043,0.123,3.514,0.335,-0.087,0.077,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.028,0.066,0.0,0.008,0.029,-0.004,0.7,1.0,0.011,-0.009,-0.007,0.028,0.13,3.507,-0.131,-1.111,0.162,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.007,-0.004,0.0,0.0,0.031,-0.001,0.804,1.0,0.015,-0.009,-0.008,0.046,0.11,3.302,0.249,-0.088,-0.004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.008,-0.034,0.0,-0.008,0.033,0.003,0.901,1.0,0.017,-0.004,-0.01,0.061,0.118,3.189,0.044,0.251,-0.127,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.001,-0.052,0.0,-0.006,0.034,0.006,0.988,1.0,0.018,0.005,-0.011,0.052,0.111,2.771,0.059,0.511,-0.104,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.009,-0.032,0.0,0.003,0.036,0.01,1.066,1.0,0.018,0.008,-0.01,0.046,0.108,2.465,-0.032,0.112,0.052,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.009,-0.013,0.0,0.003,0.037,0.013,1.135,1.0,0.018,0.006,-0.01,0.038,0.11,2.169,-0.008,-0.134,0.065,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.004,0.011,0.0,-0.002,0.038,0.017,1.194,1.0,0.019,0.0,-0.011,0.029,0.103,1.838,0.017,-0.401,-0.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.004,-0.001,0.0,-0.001,0.039,0.02,1.243,1.0,0.02,-0.004,-0.011,0.033,0.104,1.564,0.039,-0.206,-0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.004,-0.016,0.0,-0.004,0.04,0.023,1.283,1.0,0.022,-0.005,-0.012,0.029,0.099,1.247,0.104,0.029,-0.059,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.001,-0.011,0.0,-0.0,0.041,0.026,1.313,1.0,0.023,-0.006,-0.012,0.033,0.097,0.942,0.005,-0.058,0.004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.006,-0.015,0.0,-0.004,0.042,0.03,1.334,1.0,0.024,-0.005,-0.012,0.032,0.097,0.664,-0.054,-0.036,-0.064,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.001,-0.027,0.0,-0.004,0.042,0.033,1.345,1.0,0.024,-0.003,-0.013,0.022,0.094,0.362,0.037,0.084,-0.055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.0,0.006,0.0,0.002,0.043,0.036,1.346,1.0,0.024,-0.007,-0.012,0.024,0.095,0.057,0.014,-0.296,0.035,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.013,0.005,0.0,0.0,0.044,0.039,1.338,1.0,0.025,-0.007,-0.012,0.014,0.097,-0.242,0.162,-0.25,0.013,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.015,0.035,0.047,0.005,0.044,0.042,1.32,1.0,0.024,-0.01,-0.012,0.022,0.183,-1.146,0.046,-0.529,0.103,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.014,-0.008,0.052,-0.001,0.044,0.045,1.293,1.0,0.023,-0.011,-0.012,0.015,0.122,-1.06,-0.02,-0.053,-0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.013,-0.033,0.095,-0.003,0.045,0.047,1.256,1.0,0.022,-0.009,-0.013,0.014,0.093,-1.176,-0.118,0.165,-0.046,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.019,-0.062,0.168,-0.001,0.045,0.05,1.21,1.0,0.024,-0.004,-0.013,0.008,0.084,-1.447,0.068,0.323,-0.006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.034,-0.007,0.248,-0.0,0.045,0.053,1.156,1.0,0.026,-0.005,-0.014,0.002,0.081,-1.727,0.062,-0.175,-0.006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.059,0.056,0.328,0.002,0.045,0.055,1.094,0.999,0.029,-0.012,-0.014,-0.002,0.081,-1.938,0.099,-0.444,0.036,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.008,0.099,0.399,0.004,0.045,0.058,1.028,0.999,0.024,-0.019,-0.014,-0.009,0.077,-2.079,-0.259,-0.436,0.056,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.034,-0.008,0.45,0.001,0.045,0.06,0.961,1.0,0.018,-0.013,-0.013,0.002,0.068,-2.065,-0.398,0.283,0.034,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.033,-0.099,0.456,-0.001,0.045,0.062,0.9,1.0,0.013,-0.003,-0.013,0.003,0.055,-1.848,-0.199,0.596,-0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.027,-0.153,0.427,0.001,0.046,0.063,0.853,1.0,0.015,0.007,-0.014,0.017,0.043,-1.589,0.177,0.591,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.076,0.01,0.365,-0.003,0.046,0.063,0.823,1.0,0.021,-0.001,-0.015,0.025,0.022,-0.958,0.333,-0.384,-0.096,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-0.033,0.133,0.293,0.0,0.048,0.063,0.815,0.999,0.022,-0.018,-0.015,0.037,-0.002,-0.311,-0.016,-0.953,-0.035,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.001,0.166,0.192,0.004,0.049,0.062,0.825,0.999,0.018,-0.033,-0.015,0.033,-0.021,0.312,-0.184,-1.044,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.028,-0.037,0.137,-0.002,0.05,0.061,0.85,1.0,0.011,-0.02,-0.015,0.033,-0.037,0.721,-0.319,0.46,-0.036,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.018,-0.123,0.047,-0.003,0.051,0.06,0.882,1.0,0.009,-0.001,-0.015,0.029,-0.047,0.995,-0.234,1.086,-0.041,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
