px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.002,0.001,0.0,-0.021,-0.032,-0.0
0.017,-0.025,0.058,0.999,0.006,0.03,-0.009,0.001,0.006,-0.008,0.118,0.085,0.02
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.0,0.004,-0.008,0.102,0.05,0.014
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,-0.001,0.001,-0.004,0.086,0.018,0.016
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.002,-0.001,0.0,0.015,0.002,0.01
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.003,-0.002,0.003,0.003,0.09,0.007
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.002,-0.002,0.003,0.015,0.089,0.006
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.002,-0.001,0.001,0.008,0.066,-0.0
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,-0.0,0.001,-0.004,0.057,0.011,0.002
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.001,0.001,-0.003,0.029,0.006,0.004
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,-0.0,0.001,-0.049,-0.014,0.001
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,-0.0,0.002,-0.038,0.006,-0.004
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,-0.0,0.002,-0.033,0.002,-0.004
0.017,-0.025,0.058,0.999,0.005,0.031,-0.009,-0.002,-0.001,0.002,-0.009,0.094,-0.006
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,-0.0,0.001,-0.011,-0.022,0.001
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,-0.0,0.001,-0.012,-0.038,-0.0
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.001,-0.0,-0.002,0.038,-0.024,0.009
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.001,-0.002,0.004,-0.065,0.06,-0.0
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,-0.001,0.0,-0.038,-0.037,-0.009
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,-0.001,-0.001,-0.035,-0.029,-0.005
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.0,0.002,-0.003,0.037,-0.014,0.001
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.0,0.0,-0.002,0.028,-0.011,0.006
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,-0.0,0.004,-0.061,0.009,-0.01
0.017,-0.025,0.058,0.999,0.005,0.031,-0.009,-0.002,-0.0,0.006,-0.034,0.091,-0.008
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.001,-0.0,0.004,-0.038,0.061,-0.002
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.0,-0.001,0.0,-0.031,-0.045,-0.0
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.001,0.001,-0.003,0.066,-0.031,-0.001
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.0,0.001,-0.002,0.047,-0.021,0.004
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,-0.0,-0.0,0.001,-0.03,-0.002
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.002,0.0,-0.001,-0.045,-0.04,0.019
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.002,0.0,-0.001,-0.022,-0.011,0.014
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.0,-0.002,-0.021,-0.01,0.014
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.0,-0.003,-0.013,-0.005,0.006
0.017,-0.025,0.058,1.0,0.006,0.029,-0.009,0.001,0.002,-0.004,0.063,-0.014,0.017
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.0,0.002,-0.026,-0.004,0.009
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,-0.0,0.002,-0.02,-0.003,0.012
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,-0.0,0.001,-0.017,-0.031,0.004
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.0,0.001,0.001,-0.008,-0.006,0.003
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.002,-0.0,0.004,-0.003,0.089,0.005
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,0.0,0.002,-0.008,0.0,-0.002
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.001,0.002,-0.001,0.057,0.016,0.008
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,-0.0,0.0,-0.035,-0.014,-0.007
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.001,0.001,-0.004,0.069,-0.002,0.01
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.001,0.0,-0.004,0.037,-0.001,-0.0
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,-0.001,-0.0,-0.022,-0.009,0.009
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,-0.001,0.0,-0.017,-0.017,-0.004
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.002,-0.001,0.004,-0.011,0.106,0.005
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.001,0.0,0.002,-0.009,-0.003,-0.008
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,0.001,0.002,-0.002,0.012,-0.007
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.0,-0.001,0.002,0.006,0.008,-0.01
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,-0.0,0.001,-0.001,0.014,0.01
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.001,-0.001,0.002,-0.004,0.067,0.017
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,-0.0,-0.002,0.002,0.01,0.0
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,-0.0,-0.004,0.017,-0.025,-0.024
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,-0.001,-0.003,0.009,-0.023,-0.011
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,-0.0,0.001,-0.008,-0.006,0.008
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.0,0.001,-0.001,0.051,0.002,0.001
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,0.0,0.001,-0.017,0.013,-0.026
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.001,0.0,0.002,-0.003,0.018,-0.025
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.001,-0.001,0.001,-0.005,0.006,-0.042
0.017,-0.025,0.058,0.999,0.006,0.03,-0.009,-0.001,0.001,0.001,0.024,0.012,-0.019
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,-0.001,0.004,-0.047,-0.026,0.031
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.001,-0.001,0.003,0.01,-0.009,0.02
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.002,0.0,0.001,-0.046,0.007,0.023
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.001,0.003,-0.054,0.002,0.045
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,0.001,-0.0,-0.002,-0.011,0.018,-0.009
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,-0.001,0.0,-0.025,-0.046,0.032
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,-0.001,-0.0,0.022,-0.028,-0.022
0.017,-0.025,0.058,1.0,0.006,0.029,-0.008,0.001,-0.0,-0.001,0.044,-0.04,0.035
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.0,-0.001,-0.003,-0.015,-0.013,-0.02
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.002,-0.004,0.001,-0.047,-0.043,-0.038
0.017,-0.025,0.058,1.0,0.006,0.029,-0.009,-0.001,-0.002,0.001,0.008,-0.009,-0.015
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,-0.002,0.002,0.004,-0.018,-0.012
0.017,-0.025,0.058,0.999,0.005,0.031,-0.009,-0.002,-0.0,0.005,-0.01,0.096,-0.015
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.0,0.001,-0.014,-0.028,0.0
0.017,-0.025,0.058,0.999,0.006,0.03,-0.009,-0.002,0.002,0.001,0.035,0.022,-0.009
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,0.0,-0.001,-0.003,-0.026,-0.004
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,-0.0,-0.002,-0.015,0.004,-0.006
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.001,0.0,-0.002,0.064,-0.004,-0.002
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,-0.002,-0.001,-0.031,-0.01,-0.005
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.0,-0.001,-0.002,0.003,-0.005,0.015
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.001,-0.001,-0.002,-0.033,-0.02,-0.02
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.001,-0.001,0.0,-0.018,-0.021,-0.021
0.017,-0.025,0.058,1.0,0.006,0.029,-0.009,0.001,-0.001,0.002,0.0,-0.011,0.003
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.0,0.0,0.003,-0.017,-0.013,-0.004
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,0.001,0.002,-0.021,0.028,-0.002
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,0.001,-0.0,0.009,0.02,-0.003
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.001,0.002,-0.001,-0.002,0.031,-0.019
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,0.001,-0.001,-0.01,0.015,-0.009
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,-0.0,-0.002,0.009,-0.012,0.013
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.0,-0.002,0.002,-0.066,0.005,-0.024
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.0,-0.002,-0.0,-0.018,-0.021,-0.014
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,-0.002,-0.0,-0.023,-0.014,-0.006
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,-0.001,-0.0,-0.08,0.025,-0.014
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.002,0.0,0.001,0.018,0.017,-0.016
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.002,0.0,0.001,-0.004,0.025,-0.013
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.002,-0.001,0.002,0.007,0.005,-0.013
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,0.001,0.002,0.009,-0.026,-0.0
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,0.001,0.001,0.007,0.009,0.001
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,-0.0,-0.001,0.001,0.0,0.009
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,-0.0,0.001,-0.004,0.019,-0.009
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.002,-0.002,0.0,-0.005,-0.014,0.011
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.001,-0.001,-0.001,0.007,-0.024,0.006
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,-0.0,0.0,-0.006,0.041,0.011,-0.001
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.001,0.0,-0.001,-0.004,-0.009,-0.0
0.017,-0.025,0.058,1.0,0.006,0.029,-0.009,-0.001,0.0,-0.0,0.019,-0.011,-0.005
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,-0.002,-0.0,0.002,0.016,0.015,-0.005
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.0,0.003,-0.018,-0.0,-0.002
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,-0.0,0.002,-0.019,0.001,-0.003
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.002,0.002,-0.002,0.044,-0.008,0.043
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.001,-0.004,0.004,0.014,0.005
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.001,-0.001,-0.005,0.01,0.013
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.0,-0.0,-0.004,-0.008,0.011
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,-0.001,0.001,-0.0,0.057,-0.002,0.009
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,-0.0,0.001,-0.001,0.0,-0.013,0.014
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,0.001,-0.001,-0.004,-0.004,0.009
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.001,0.0,-0.001,-0.015,0.02,-0.006
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.0,-0.003,0.01,0.003,0.01
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.002,0.0,0.0,-0.005,-0.033,0.008
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.002,0.001,-0.001,0.011,-0.014,0.023
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,0.0,0.001,0.017,-0.01,0.009
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,0.001,-0.001,0.015,-0.005,-0.002
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.0,0.002,-0.0,-0.001,0.01,0.005
0.017,-0.025,0.058,0.999,0.005,0.031,-0.009,-0.002,0.002,0.002,0.001,0.108,0.001
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,-0.0,0.0,-0.046,-0.001,0.012
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.0,0.001,0.0,0.034,-0.014,-0.003
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.002,0.0,0.001,0.004,0.011,-0.029
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,-0.001,0.001,-0.001,0.061,0.005,0.01
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,0.0,-0.002,0.017,-0.009,0.001
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.0,0.001,-0.002,0.031,0.007,0.002
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.0,0.001,0.0,-0.022,0.006,-0.011
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,0.002,0.001,0.014,-0.026,-0.007
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.0,0.002,0.0,0.024,-0.008,0.003
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,-0.001,0.001,-0.0,0.058,0.01,-0.025
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,-0.002,-0.001,-0.083,0.023,-0.055
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,0.001,0.003,0.002,0.022,-0.006
0.017,-0.025,0.058,0.999,0.005,0.03,-0.009,-0.001,0.0,0.001,0.011,0.018,-0.017
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.002,-0.005,0.005,-0.015,-0.09,0.019
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.002,-0.004,0.003,-0.009,-0.097,0.013
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,-0.004,0.001,-0.036,-0.05,0.008
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.001,-0.003,0.001,-0.015,-0.032,0.015
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,0.002,-0.002,0.002,-0.029,-0.035,0.022
0.017,-0.025,0.058,1.0,0.006,0.029,-0.009,0.001,-0.001,0.001,0.028,-0.041,0.01
0.017,-0.025,0.058,1.0,0.005,0.029,-0.009,0.0,-0.001,0.002,-0.017,-0.029,-0.003
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.0,-0.001,0.003,0.003,0.014,0.006
0.017,-0.025,0.058,1.0,0.006,0.03,-0.009,0.001,0.001,0.003,0.031,-0.004,0.03
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,-0.0,0.003,-0.023,-0.007,-0.007
0.017,-0.025,0.058,1.0,0.005,0.03,-0.009,-0.001,-0.001,0.001,-0.013,-0.004,-0.021
