Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.126,-0.081,0.245,0.0,0.022,-0.035,0.056,1.0,0.015,0.009,0.002,0.003,0.0,-0.005,0.096,0.083,-0.0,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
2,-0.14,-0.075,0.254,0.001,0.022,-0.035,0.056,1.0,0.015,0.008,0.002,0.003,0.003,0.001,0.186,0.042,0.001,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
3,0.025,-0.008,0.285,0.003,0.022,-0.035,0.057,1.0,0.004,0.004,0.002,-0.006,0.003,0.023,-0.771,-0.323,0.059,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
4,0.178,0.132,0.308,0.008,0.021,-0.034,0.06,1.0,-0.013,-0.011,0.004,-0.006,0.021,0.093,-1.101,-0.771,0.146,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0
5,0.041,0.032,0.3,0.0,0.022,-0.033,0.068,1.0,-0.013,-0.01,0.004,0.003,0.022,0.248,-0.018,-0.092,-0.01,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
6,-0.142,-0.08,0.288,-0.009,0.022,-0.032,0.084,1.0,0.0,-0.005,0.002,0.026,0.032,0.466,0.913,0.421,-0.159,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
7,-0.22,-0.295,0.228,-0.012,0.024,-0.032,0.109,1.0,0.019,0.016,0.0,0.037,0.023,0.735,0.837,1.234,-0.144,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
8,0.071,-0.054,0.203,-0.003,0.025,-0.03,0.142,1.0,0.006,0.004,0.002,0.044,0.057,0.969,-0.765,-0.206,0.046,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
9,0.253,0.176,0.19,0.003,0.026,-0.027,0.181,1.0,-0.018,-0.017,0.005,0.033,0.076,1.139,-1.351,-1.398,0.13,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
10,0.306,0.266,0.132,0.01,0.027,-0.024,0.223,0.998,-0.04,-0.045,0.009,0.026,0.092,1.255,-1.211,-1.412,0.206,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
11,-0.095,-0.026,0.161,-0.007,0.029,-0.022,0.266,0.999,-0.008,-0.03,0.007,0.049,0.078,1.284,1.546,0.723,-0.084,0.0,0.0,0.3793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
12,-0.297,-0.215,0.163,-0.016,0.031,-0.019,0.308,1.0,0.028,-0.003,0.004,0.049,0.074,1.236,2.03,1.438,-0.249,0.0,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
13,-0.336,-0.295,0.121,-0.005,0.032,-0.017,0.346,0.998,0.056,0.024,0.003,0.046,0.069,1.123,1.527,1.343,-0.04,0.0,0.0,0.4482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
14,0.114,-0.002,0.163,-0.004,0.033,-0.013,0.383,1.0,0.024,0.005,0.004,0.019,0.104,1.09,-1.596,-0.843,0.019,0.0,0.0,0.48275862068965514,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
15,0.366,0.236,0.188,0.005,0.033,-0.009,0.418,1.0,-0.013,-0.024,0.007,0.012,0.114,1.029,-2.13,-1.693,0.158,0.0,0.0,0.5172413793103449,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
16,0.4,0.385,0.123,0.023,0.033,-0.005,0.447,0.997,-0.047,-0.056,0.014,0.0,0.114,0.888,-1.783,-1.831,0.413,0.0,0.0,0.5517241379310345,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0
17,-0.069,0.031,0.188,-0.022,0.033,-0.003,0.477,0.999,-0.013,-0.037,0.011,0.024,0.066,0.921,1.875,0.942,-0.246,0.0,0.0,0.5862068965517241,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
18,-0.4,-0.295,0.242,-0.027,0.034,-0.001,0.507,0.999,0.036,-0.002,0.007,0.026,0.067,0.895,2.796,2.104,-0.349,0.0,0.0,0.6206896551724138,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
