Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,0.399,0.4,0.398,0.4,0.23728409806784886,0.23772065748676596,0.23665911798746672,0.23772035757560353,0.057,-0.039,0.169,1.0,-0.001,0.002,-0.008,-0.0,0.0,-0.001,0.026,0.008,-0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4,0.399,0.4,0.399,0.2832157134862666,0.28289805522076455,0.28307016880347297,0.2828890261010798,0.057,-0.039,0.169,1.0,-0.002,0.002,-0.008,0.001,-0.003,0.003,-0.003,-0.059,0.013,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,0.399,0.398,0.4,0.3034831165004435,0.303200279954931,0.30262370522328375,0.3034172519824194,0.057,-0.039,0.171,1.0,-0.001,0.001,-0.009,-0.003,-0.004,0.031,-0.007,-0.058,-0.048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.39,0.388,0.391,0.386,0.30820334622458784,0.30696318995638155,0.30824826421580204,0.3063405824854668,0.056,-0.039,0.186,1.0,-0.002,-0.004,-0.007,-0.012,-0.006,0.33,0.015,-0.155,0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.211,0.203,0.208,0.199,0.23010249924427256,0.22615825966949646,0.22895738109364144,0.2238480530249744,0.055,-0.039,0.228,1.0,0.0,-0.014,-0.006,-0.038,-0.002,1.079,0.102,-0.517,0.075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.112,0.103,0.087,0.077,0.15160586413300842,0.1455096900190726,0.13991766494127195,0.1328488789242414,0.052,-0.04,0.298,1.0,0.014,-0.023,-0.004,-0.079,-0.026,1.94,0.681,-0.684,0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.104,0.099,0.07,0.05,0.11332045742930233,0.10842491789282938,0.09275665030451277,0.08086447898882385,0.048,-0.042,0.382,0.999,0.032,-0.028,-0.001,-0.125,-0.056,2.625,1.164,-0.527,0.154,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.118,0.119,0.055,0.05,0.10278447459194237,0.10086574421513422,0.06539834530462411,0.05796957369460905,0.04,-0.047,0.505,0.998,0.061,-0.035,0.004,-0.191,-0.124,3.259,1.478,-0.195,0.152,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.085,0.087,0.053,0.05,0.0834365909089046,0.08351972310431768,0.05263745853053324,0.04788617013913214,0.033,-0.052,0.612,0.996,0.079,-0.033,0.006,-0.216,-0.158,3.277,1.263,0.066,0.148,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.055,0.065,0.05,0.05,0.06130839961103116,0.06570934600383455,0.04553791275215565,0.04344555662617846,0.026,-0.058,0.711,0.996,0.084,-0.025,0.008,-0.217,-0.172,3.067,0.485,0.334,0.104,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
