Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
1,-0.019,-0.064,-0.386,-0.001,0.007,-0.008,0.055,1.0,0.01,0.021,-0.0,-0.0,0.004,0.005,-0.122,-0.006,-0.009,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.33541695471618804,[-0.01604641]
2,-0.019,-0.065,-0.338,0.001,0.007,-0.008,0.055,1.0,0.01,0.02,0.0,0.004,-0.005,0.001,-0.151,0.006,0.013,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.4009743243459575,[-0.03522909]
3,-0.039,-0.021,-0.297,-0.01,0.007,-0.007,0.057,1.0,0.012,0.016,-0.003,0.001,0.011,0.076,0.038,-0.306,-0.156,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.37865962876103165,[-0.05334423]
4,0.001,0.1,-0.305,-0.004,0.008,-0.006,0.066,1.0,0.008,0.0,-0.003,0.018,0.024,0.267,-0.189,-1.253,-0.073,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0,-0.31075303107191155,[-0.06821071]
5,0.004,-0.045,-0.391,0.01,0.01,-0.006,0.087,1.0,0.006,0.004,-0.0,0.054,0.021,0.601,-0.16,0.091,0.167,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,-0.15869666110362335,[-0.07580279]
6,0.055,-0.025,-0.534,0.006,0.013,-0.004,0.119,1.0,-0.001,-0.001,0.001,0.091,0.034,0.978,-0.434,-0.057,0.096,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.01442411925909659,[-0.06044644]
7,0.013,-0.068,-0.701,-0.005,0.016,-0.003,0.164,1.0,0.002,0.008,-0.001,0.11,0.036,1.316,-0.099,0.074,-0.084,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.11592400970723094,[-0.03571793]
8,-0.007,0.016,-0.86,-0.007,0.021,-0.001,0.218,1.0,0.005,-0.006,-0.002,0.135,0.052,1.582,0.132,-0.563,-0.104,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.24078102989878825,[-0.00608378]
9,-0.051,-0.053,-0.941,-0.009,0.026,-0.001,0.274,1.0,0.015,-0.0,-0.003,0.141,0.038,1.686,0.385,0.0,-0.129,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.26536420159021157,[0.02147777]
10,-0.009,-0.007,-0.978,0.003,0.031,0.001,0.328,1.0,0.013,-0.006,-0.001,0.153,0.055,1.636,0.014,-0.446,0.066,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,0.20778468135640638,[0.03901031]
11,0.011,-0.095,-0.954,0.004,0.036,0.002,0.376,1.0,0.01,0.004,0.0,0.159,0.049,1.451,-0.194,0.32,0.07,0.0,0.0,0.3793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,0.11567877671225646,[0.04523445]
12,0.058,0.002,-0.883,0.003,0.041,0.004,0.416,1.0,0.002,-0.01,0.001,0.154,0.043,1.252,-0.55,-0.515,0.063,0.0,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.07336743461089124,[0.04319854]
13,0.019,0.019,-0.775,0.004,0.046,0.005,0.448,1.0,0.002,-0.015,0.001,0.154,0.039,1.005,-0.089,-0.538,0.057,0.0,0.0,0.4482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,-0.05766847822901511,[0.02892066]
14,-0.038,0.061,-0.649,-0.011,0.051,0.006,0.473,1.0,0.009,-0.025,-0.001,0.152,0.025,0.75,0.289,-0.694,-0.168,0.0,0.0,0.48275862068965514,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.19303561046746798,[0.00699073]
15,-0.075,-0.041,-0.489,-0.002,0.056,0.007,0.488,1.0,0.016,-0.022,-0.0,0.156,0.036,0.493,0.475,0.341,-0.02,0.0,0.0,0.5172413793103449,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.3428583960506143,[-0.01935213]
16,-0.042,-0.036,-0.38,-0.006,0.062,0.008,0.498,1.0,0.018,-0.018,-0.001,0.17,0.035,0.312,0.02,0.064,-0.083,0.0,0.0,0.5517241379310345,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,-0.45608099099421945,[-0.04670522]
17,0.038,-0.031,-0.268,0.007,0.067,0.01,0.503,1.0,0.008,-0.014,0.001,0.156,0.045,0.175,-0.441,-0.061,0.124,0.0,0.0,0.5862068965517241,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.5402721443232787,[-0.07606185]
18,0.093,0.042,-0.182,0.009,0.071,0.011,0.508,1.0,-0.003,-0.023,0.002,0.143,0.038,0.164,-0.626,-0.488,0.137,0.0,0.0,0.6206896551724138,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.5473593903374331,[-0.09948875]
19,-0.029,0.022,-0.193,-0.003,0.076,0.012,0.518,1.0,0.002,-0.024,0.001,0.134,0.035,0.311,0.383,-0.272,-0.045,0.0,0.0,0.6551724137931034,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.48975731886886237,[-0.11368397]
20,-0.063,0.026,-0.28,-0.016,0.08,0.013,0.537,1.0,0.01,-0.027,-0.001,0.125,0.042,0.587,0.533,-0.251,-0.246,0.0,0.0,0.6896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,-0.3481026737180245,[-0.11393485]
21,-0.086,-0.092,-0.415,-0.001,0.084,0.014,0.571,1.0,0.022,-0.016,-0.001,0.12,0.033,0.994,0.473,0.498,0.018,0.0,0.0,0.7241379310344828,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,-0.11345076560313072,[-0.09754336]
22,0.035,-0.056,-0.648,0.005,0.087,0.016,0.619,1.0,0.012,-0.018,-0.0,0.108,0.042,1.453,-0.377,0.311,0.095,0.0,0.0,0.7586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.09693428566413775,[-0.06705929]
23,0.059,-0.044,-0.842,0.003,0.09,0.017,0.679,1.0,0.003,-0.015,0.0,0.088,0.027,1.794,-0.576,0.129,0.044,0.0,0.0,0.7931034482758621,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.25363084609884035,[-0.02873978]
24,0.077,0.049,-0.928,0.002,0.093,0.018,0.746,1.0,-0.007,-0.03,0.001,0.084,0.042,2.054,-0.585,-0.734,0.044,0.0,0.0,0.8275862068965517,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,0.4012532882269799,[0.01388633]
25,-0.014,0.014,-0.983,0.0,0.096,0.019,0.814,0.999,0.003,-0.032,0.001,0.076,0.023,2.036,0.281,-0.213,0.007,0.0,0.0,0.8620689655172413,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.22403691021299155,[0.04125759]
26,-0.056,0.034,-1.006,-0.005,0.098,0.02,0.876,0.999,0.013,-0.037,-0.0,0.078,0.025,1.864,0.652,-0.372,-0.08,0.0,0.0,0.896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.13442398199581662,[0.05311596]
27,-0.055,-0.035,-1.011,-0.005,0.101,0.02,0.93,0.999,0.02,-0.027,-0.001,0.085,0.014,1.673,0.467,0.33,-0.055,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0,0.14328273730436458,[0.05533328]
28,0.006,-0.026,-0.992,0.003,0.103,0.022,0.98,1.0,0.017,-0.022,-0.0,0.073,0.042,1.391,-0.196,0.185,0.06,0.0,0.0,0.9655172413793103,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.05755197401228562,[0.04595283]
29,0.053,-0.026,-0.96,-0.0,0.105,0.023,1.013,1.0,0.005,-0.02,-0.0,0.065,0.038,1.137,-0.587,0.184,-0.007,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206917,0.0,0.0,0.0,0.06345037685222588,[0.02979228]
