Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
1,-0.039,0.1,-0.492,-0.001,-0.338,-0.013,0.173,1.0,0.009,-0.018,0.001,0.005,-0.003,0.009,0.092,-0.172,-0.021,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
2,-0.087,0.1,-0.53,-0.007,-0.338,-0.012,0.173,1.0,0.013,-0.017,0.0,0.006,0.003,0.007,0.493,-0.11,-0.103,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
3,-0.1,0.099,-0.485,-0.016,-0.337,-0.013,0.172,1.0,0.016,-0.011,-0.001,0.016,-0.004,-0.016,0.754,0.388,-0.199,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
4,-0.058,0.1,-0.488,-0.002,-0.336,-0.013,0.175,1.0,0.013,-0.003,0.001,0.029,-0.003,0.055,0.141,-0.014,-0.064,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0,0.0,0.0
5,0.026,0.085,-0.458,0.012,-0.335,-0.013,0.177,1.0,0.004,0.004,0.004,0.033,0.0,0.071,-0.426,0.066,0.152,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
6,0.1,-0.057,-0.422,0.013,-0.333,-0.013,0.181,1.0,-0.009,0.022,0.007,0.055,-0.001,0.107,-0.818,0.868,0.157,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,0.0,0.0
7,0.06,-0.1,-0.407,-0.011,-0.331,-0.012,0.185,0.999,-0.012,0.038,0.003,0.07,0.019,0.132,-0.207,0.998,-0.25,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0
8,-0.021,-0.048,-0.4,0.002,-0.327,-0.012,0.191,0.999,-0.008,0.04,0.004,0.088,0.014,0.175,0.46,0.07,-0.015,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
9,-0.068,-0.054,-0.383,-0.001,-0.324,-0.011,0.197,0.999,0.003,0.037,0.001,0.111,0.025,0.199,0.631,0.121,-0.047,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
10,-0.007,-0.043,-0.401,0.003,-0.32,-0.011,0.206,1.0,0.003,0.027,0.002,0.119,0.0,0.28,-0.057,0.29,0.039,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,0.0,0.0
11,0.097,0.1,-0.397,-0.003,-0.315,-0.009,0.217,1.0,-0.006,0.011,0.001,0.139,0.045,0.306,-0.655,-0.844,-0.035,0.0,0.0,0.3793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,0.0,0.0
12,0.093,0.034,-0.436,0.004,-0.31,-0.008,0.232,1.0,-0.011,0.013,0.002,0.169,0.047,0.42,-0.441,-0.238,0.029,0.0,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
13,-0.018,-0.005,-0.452,-0.006,-0.302,-0.007,0.249,1.0,-0.003,0.012,0.0,0.221,0.041,0.519,0.382,-0.018,-0.109,0.0,0.0,0.4482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0,0.0,0.0
14,-0.05,0.087,-0.458,-0.016,-0.294,-0.005,0.266,1.0,0.007,0.011,-0.003,0.243,0.067,0.558,0.498,-1.005,-0.25,0.0,0.0,0.48275862068965514,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0,0.0,0.0
