Step,x0_px,x0_py,x0_pz,x0_qw,x0_qx,x0_qy,x0_qz,x0_vx,x0_vy,x0_vz,x0_wx,x0_wy,x0_wz,x0_u0_act,x0_u1_act,x0_u2_act,x0_u3_act,x0_u4_act,x0_u5_act,x0_u6_act,x0_u7_act,x0_u0_des,x0_u1_des,x0_u2_des,x0_u3_des,x0_u4_des,x0_u5_des,x0_u6_des,x0_u7_des,u_dot_0,u_dot_1,u_dot_2,u_dot_3,u_dot_4,u_dot_5,u_dot_6,u_dot_7,x_next_px,x_next_py,x_next_pz,x_next_qw,x_next_qx,x_next_qy,x_next_qz,x_next_vx,x_next_vy,x_next_vz,x_next_wx,x_next_wy,x_next_wz,x_next_u0_act,x_next_u1_act,x_next_u2_act,x_next_u3_act,x_next_u4_act,x_next_u5_act,x_next_u6_act,x_next_u7_act,x_next_u0_des,x_next_u1_des,x_next_u2_des,x_next_u3_des,x_next_u4_des,x_next_u5_des,x_next_u6_des,x_next_u7_des,pos_error,quat_error,vel_error,angvel_error,act_error,des_act_error
1,0.5175833106040955,-0.2546650171279907,0.2115688920021057,0.9999800467228875,-0.0042455743936557115,-0.0019522175704941751,-0.0042508941079607895,-0.004909742300379811,-0.005260104057029305,-0.011081343932264497,-0.01802544972965924,0.014400353085100114,0.0033964225445304638,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.049952884004611744,0.04873847491382479,-0.0499536732813703,0.04947867843343823,0.05000111883234384,-0.05000150811930894,0.0500012172239678,-0.05000150497600081,0.504066384524871,-0.2485519748167406,0.17285898130387584,0.9749805455548154,-0.005013150088412244,-0.001216777413457371,-0.003983788326478874,-0.0066176399768860346,0.00022662282466347,-0.6597730384408106,-0.017424044894728936,0.01357886940424714,0.0031692468730283043,-0.043292825969146326,0.043188462687906826,-0.04329289379761776,0.0432520739278736,0.043296971149654556,-0.04329700460400311,0.043296979605184735,-0.04329700433387507,-0.04399528840046117,0.043873847491382484,-0.04399536732813703,0.04394786784334383,0.04400011188323438,-0.04400015081193089,0.044000121722396784,-0.04400015049760008,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5175873041152954,-0.25466200709342957,0.21168214082717896,0.9999810360481631,-0.004014776275811915,-0.0019092026473722331,-0.00426193157486284,-0.0024014732662395793,-0.003791460612237195,-0.007553823274509365,0.026096521385980936,0.035179026898570935,0.005217752046597973,-0.043292825969146326,0.043188462687906826,-0.04329289379761776,0.0432520739278736,0.043296971149654556,-0.04329700460400311,0.043296979605184735,-0.04329700433387507,-0.04399528840046117,0.043873847491382484,-0.04399536732813703,0.04394786784334383,0.04400011188323438,-0.04400015081193089,0.044000121722396784,-0.04400015049760008,-0.05000017179735394,0.050000157144630894,-0.05000017085754751,0.05000011363177205,0.050000087519886945,-0.04880903348604592,0.05000012170875819,-0.04927974248071321,0.5043619036217024,-0.24853834156631996,0.1747351752891743,0.9749916386834226,-0.0026632320003977857,-0.0002615132379405092,-0.003928151689230713,-0.0032119606150844385,-0.0012638807415146142,-0.624780140461301,0.025864890797500338,0.03134255870114376,0.0043075286103114625,-0.04674818054604917,0.04664057133042349,-0.04674825040255667,0.04670615651710448,0.046752447358448905,-0.046650125646866596,0.04675245901496933,-0.04669057692256945,-0.04789542337018503,0.047777017018561005,-0.04789550023068835,0.04784918251043743,0.047900117838142214,-0.04778105039023721,0.04790013085021269,-0.047828120983231394,0.004079399551669562,0.0005699507893355979,0.21874914357553174,0.048809017319226294,0.007743566109668251,0.006556049549000659
3,0.517578661441803,-0.2546333074569702,0.21194617450237274,0.9999793220476964,-0.004249570658612646,-0.0020920467814638244,-0.004349708784659542,-0.0014586492703753846,-0.0020212776748089138,-0.0015169423749034627,0.012179041165127096,0.017534082288679587,0.000613239285236029,-0.04674818054604917,0.04664057133042349,-0.04674825040255667,0.04670615651710448,0.046752447358448905,-0.046650125646866596,0.04675245901496933,-0.04669057692256945,-0.04789542337018503,0.047777017018561005,-0.04789550023068835,0.04784918251043743,0.047900117838142214,-0.04778105039023721,0.04790013085021269,-0.047828120983231394,-0.049999966090055734,0.050000154629439394,-0.04999995359762587,0.050000150997699076,0.050000017636331516,-0.05000016266799465,0.05000008666650601,-0.050000160415570066,0.5044257404581614,-0.24831620627021664,0.17703684822687552,0.9749843460681059,-0.0036091287518704098,-0.0012911829209785286,-0.00422131128683886,-0.0027577772769301926,0.0009370578313434323,-0.5878233666099454,0.009713251769396827,0.013502528777607624,0.00029641900872572416,-0.05026959248473836,0.05016098873068531,-0.050269661922048715,0.05022718952942822,0.05027390364555167,-0.05016841244681468,0.05027392140758626,-0.05021012117319906,-0.05169803439493598,0.05158260705604091,-0.05169810808468373,0.05165296804744641,0.05170261665582181,-0.05158654039728073,0.05170263624560797,-0.05163243400020762,0.003949781224868935,0.0010304603748835597,0.2114936697866011,0.022358929158764935,0.007076041417853794,0.006273982920791344
4,0.5176793932914734,-0.25459975004196167,0.21172338724136353,0.9999791146303678,-0.004299052423233044,-0.0021715990217720895,-0.004309594994527364,3.625297196128605e-05,-0.001216201989201405,-0.0038745938965054757,0.00857145622074192,0.012117687878024405,0.0014432101308867028,-0.05026959248473836,0.05016098873068531,-0.050269661922048715,0.05022718952942822,0.05027390364555167,-0.05016841244681468,0.05027392140758626,-0.05021012117319906,-0.05169803439493598,0.05158260705604091,-0.05169810808468373,0.05165296804744641,0.05170261665582181,-0.05158654039728073,0.05170263624560797,-0.05163243400020762,-0.04990247709997958,0.05000175698882611,-0.04996700629269665,0.050001714437909704,0.04999616952939658,-0.05000209243466216,0.04999850262437493,-0.05000207792201592,0.5046570678182108,-0.24818834355234326,0.178058106572285,0.974982405390802,-0.0038298250849067186,-0.0016249242046761942,-0.004142155078519251,-0.0015915856824676286,0.0020938199203971927,-0.5594951755102674,0.006267893931570356,0.008305543136292254,0.001101341592416425,-0.05379097874222689,0.05369128300384055,-0.05379659337872621,0.053757251129435135,0.05380332674307667,-0.05369735354664416,0.05380354518791478,-0.053739452772206396,-0.055395831245060534,0.05529321757852249,-0.05540235601183631,0.055361815290051214,0.055409668192365924,-0.055297086130814924,0.055409920601905256,-0.055341830942404024,0.0030998777803707203,0.0004395415554288672,0.19314715850275851,0.005252912194037903,0.006608433912966924,0.0060443662635697205
5,0.5177069306373596,-0.2545921206474304,0.21179451048374176,0.9999787150782715,-0.004368338912705793,-0.00223622782371817,-0.0042995686613284375,-0.0011211248293611469,-0.0006182522925779524,-0.0006185902605140112,-0.005616767458185994,-0.01182733083982834,-0.00827469544253461,-0.05379097874222689,0.05369128300384055,-0.05379659337872621,0.053757251129435135,0.05380332674307667,-0.05369735354664416,0.05380354518791478,-0.053739452772206396,-0.055395831245060534,0.05529321757852249,-0.05540235601183631,0.055361815290051214,0.055409668192365924,-0.055297086130814924,0.055409920601905256,-0.055341830942404024,-0.04820359488106083,0.05000025926816415,-0.04954431128945491,0.0500002694793,0.04999699376601105,-0.050000336557192326,0.04999775057913747,-0.05000033287698761,0.5045462630585392,-0.2481007830792421,0.17990083846555607,0.9749755482942651,-0.004552861270347057,-0.0028181195576114587,-0.004600279465381782,-0.003373089372861509,0.00322368219207434,-0.526396422807982,-0.006755288851158418,-0.01474412396008299,-0.008684633843544152,-0.05713880151783915,0.05719499883041622,-0.05725980557325578,0.05726021998260028,0.05730547140663794,-0.057200169467818744,0.057305761071180544,-0.057242122733090955,-0.05883129495204011,0.05891091306587585,-0.05897172824048589,0.05897779685572993,0.05902412586415788,-0.058914692633263786,0.05902444764477137,-0.05895831845654269,0.0033013987144612897,0.00033003709667914124,0.18870067561762696,0.0281790513897736,0.006180189551362599,0.005772373663741728
6,0.5175684094429016,-0.2546441853046417,0.2117142230272293,0.9999816864584561,-0.004213433649873838,-0.0016808226686718776,-0.004006065368503034,-0.001811298894005608,-0.0008382883887767894,-0.0010248616637063821,-0.002471042744717525,-0.0021374430189412446,-0.0027172944176275834,-0.05713880151783915,0.05719499883041622,-0.05725980557325578,0.05726021998260028,0.05730547140663794,-0.057200169467818744,0.057305761071180544,-0.057242122733090955,-0.05883129495204011,0.05891091306587585,-0.05897172824048589,0.05897779685572993,0.05902412586415788,-0.058914692633263786,0.05902444764477137,-0.05895831845654269,-0.050000071630827585,0.05000004386656082,-0.05000007052011648,0.05000004796653932,0.049997576095899915,-0.04963269415884909,0.04999861223943816,-0.0499881921732392,0.5043648780852897,-0.2481765217097825,0.18121454012129753,0.9749813548095333,-0.004191612517324774,-0.001798830012805357,-0.004076068283464362,-0.0035735835448093963,0.0028933763791342123,-0.4976839619385638,-0.0007252968690285126,-0.004426629354827075,-0.0045057082652852545,-0.06058735442805466,0.06065017245038206,-0.06071199311162753,0.06071433333413288,0.0607586104134922,-0.06062316788449236,0.06075899288854257,-0.06069519623720177,-0.062360519741321875,0.06243814462588504,-0.062497442086485396,0.06250335673099063,0.06254828032714393,-0.06240509473331711,0.0625486976775959,-0.06248317971245304,0.002877608204687246,0.0009119461351176908,0.17506889104678477,0.012768901614451543,0.005764536758894929,0.005461251545754751
7,0.5176496505737305,-0.25458860397338867,0.21182405948638916,0.9999798250770292,-0.004345535176591325,-0.0020568714821133285,-0.004151510887516628,0.003901115840736668,0.0018057780065212528,0.007161053223261579,-0.008451177080458134,-0.017272342335089803,0.012600015916552274,-0.06058735442805466,0.06065017245038206,-0.06071199311162753,0.06071433333413288,0.0607586104134922,-0.06062316788449236,0.06075899288854257,-0.06069519623720177,-0.062360519741321875,0.06243814462588504,-0.062497442086485396,0.06250335673099063,0.06254828032714393,-0.06240509473331711,0.0625486976775959,-0.06248317971245304,-0.0495943066504848,0.050001174603820864,-0.05000183781529997,0.0500012355713195,0.04989150984805411,-0.05000162221988329,0.0499603674306264,-0.050001609357791306,0.5049693550324578,-0.24784530536289928,0.18353204708007537,0.974979396377238,-0.004614412892707057,-0.002879309429411725,-0.003482527216903483,0.001246323357374254,0.0059100168356804195,-0.4611349782567365,-0.006993153942640183,-0.01918575785300909,0.010750830147662281,-0.06394247526481368,0.06404376345038987,-0.06410323070368207,0.06410668588219869,0.06414064808901479,-0.06401540028824647,0.06414695040505249,-0.064087702877462,-0.06576093741283731,0.06587730847062,-0.06593518981585327,0.0659408963698478,0.06597372430377074,-0.0658451295869725,0.06598101697871864,-0.06592126115542085,0.002921524621601206,0.0003597701717586461,0.17399297844697648,0.022390320885330006,0.005499092140121991,0.0052506050624973755
8,0.5176650285720825,-0.25457510352134705,0.2118152379989624,0.9999785752709599,-0.004387204418333255,-0.0021773001064245632,-0.00434290233596256,0.001824174824313433,0.0006223997487003296,0.0027120164924908014,0.00516317586943228,0.0025242855164793495,0.00435920641883292,-0.06394247526481368,0.06404376345038987,-0.06410323070368207,0.06410668588219869,0.06414064808901479,-0.06401540028824647,0.06414695040505249,-0.064087702877462,-0.06576093741283731,0.06587730847062,-0.06593518981585327,0.0659408963698478,0.06597372430377074,-0.0658451295869725,0.06598101697871864,-0.06592126115542085,-0.04999995432451712,0.049999944350611975,-0.04999995232686581,0.04999994512471195,0.04999970950411227,-0.04943083702332452,0.04999978407389905,-0.0495206454058581,0.5047832105212747,-0.24794602747537253,0.18447274506713232,0.9749818256673165,-0.004002193595910422,-0.0020536867091248516,-0.004069550893401873,-0.0006075236274733274,0.004678842908174342,-0.43760447350748427,0.006478674578007292,0.00045163662126884024,0.002433034120652367,-0.0672641049793982,0.06736803011115612,-0.06742546776141842,0.0674296076532487,0.06746231175763044,-0.06729016043915105,0.06746880239283627,-0.06736968584388392,-0.0691169094099681,0.06923037019391569,-0.0692868053031435,0.06929236847307282,0.0693243521465877,-0.06914208504963064,0.06933146996164057,-0.06922529416712113,0.0023679785911506104,0.00044510545544250554,0.1516057668179024,0.02570421543665424,0.005205887154371744,0.004997751628697893
9,0.5175521373748779,-0.25462791323661804,0.21185508370399475,0.9999790623042863,-0.004359603993503279,-0.0021783118807456106,-0.004257201358923945,0.00011837895547034405,-0.00012937236625971342,0.002642914336712229,0.004790809642401116,0.001989333097543848,0.005521810791079883,-0.0672641049793982,0.06736803011115612,-0.06742546776141842,0.0674296076532487,0.06746231175763044,-0.06729016043915105,0.06746880239283627,-0.06736968584388392,-0.0691169094099681,0.06923037019391569,-0.0692868053031435,0.06929236847307282,0.0693243521465877,-0.06914208504963064,0.06933146996164057,-0.06922529416712113,-0.05000036029262437,0.04999994066730065,-0.050000327672057795,0.050000008971431156,0.04999804069370076,-0.04999687584160154,0.04999867638676749,-0.04999637296486357,0.5045013118077509,-0.24806134848052538,0.18585697523968125,0.9749815674724529,-0.0040217253736038565,-0.0020858873900448096,-0.003928399651391664,-0.0023771546297565766,0.004141349277286623,-0.4105113457346252,0.004673251961285785,-0.0003945078311627453,0.0036953661790512255,-0.07051450046124233,0.07061905997143489,-0.07067475129422533,0.07067924816235127,0.07071071857069129,-0.07053930351053483,0.07071731655048201,-0.07061806024306443,-0.07238902270398136,0.07249960500579786,-0.07255466793777068,0.0725600601583891,0.07259104741229308,-0.07241322050755004,0.07259805085127628,-0.07249429910942946,0.002411552742854467,7.530132975326464e-05,0.14651600842675874,0.0019894940269168464,0.004925044394425373,0.004743401171889917
10,0.5174640417098999,-0.25466832518577576,0.21181689202785492,0.9999812746632065,-0.0040577887172828985,-0.0017185159796009287,-0.004246336833371796,-0.00470896434326892,-0.002423026806698775,0.004915122160954729,0.007866962446551388,-0.014463463507325207,-0.028749475982822244,-0.07051450046124233,0.07061905997143489,-0.07067475129422533,0.07067924816235127,0.07071071857069129,-0.07053930351053483,0.07071731655048201,-0.07061806024306443,-0.07238902270398136,0.07249960500579786,-0.07255466793777068,0.0725600601583891,0.07259104741229308,-0.07241322050755004,0.07259805085127628,-0.07249429910942946,-0.05000030529290837,0.049999892148669026,-0.050000236150621914,0.04999993705114398,0.050000778086554114,-0.04994157558221734,0.049995532012278555,-0.049986458587338786,0.5039494954427982,-0.248332269937525,0.18736606136527723,0.9749759941684594,-0.0035824653817332587,-0.0024261937643075358,-0.005542168238464812,-0.007131611522080597,0.0017202595928324693,-0.38171388048526783,0.007636681381921872,-0.016381220643438603,-0.029671898485755736,-0.07369107561863443,0.07379505008947741,-0.07384916329618528,0.0738538289417983,0.07388441925390349,-0.07371000404502484,0.07389054043033255,-0.07379144486763227,-0.07557932766567266,0.0756871040955198,-0.0757408248543886,0.07574605235954375,0.07577634903564115,-0.07559704755308302,0.07578265278122225,-0.07568058749042762,0.002176921809171431,0.0004926850960990145,0.13970641513763457,0.037289475118349076,0.004700961626845226,0.004531602578887202
