Step,x0_px,x0_py,x0_pz,x0_qw,x0_qx,x0_qy,x0_qz,x0_vx,x0_vy,x0_vz,x0_wx,x0_wy,x0_wz,x0_u0_act,x0_u1_act,x0_u2_act,x0_u3_act,x0_u4_act,x0_u5_act,x0_u6_act,x0_u7_act,x0_u0_des,x0_u1_des,x0_u2_des,x0_u3_des,x0_u4_des,x0_u5_des,x0_u6_des,x0_u7_des,u_dot_0,u_dot_1,u_dot_2,u_dot_3,u_dot_4,u_dot_5,u_dot_6,u_dot_7,x_next_px,x_next_py,x_next_pz,x_next_qw,x_next_qx,x_next_qy,x_next_qz,x_next_vx,x_next_vy,x_next_vz,x_next_wx,x_next_wy,x_next_wz,x_next_u0_act,x_next_u1_act,x_next_u2_act,x_next_u3_act,x_next_u4_act,x_next_u5_act,x_next_u6_act,x_next_u7_act,x_next_u0_des,x_next_u1_des,x_next_u2_des,x_next_u3_des,x_next_u4_des,x_next_u5_des,x_next_u6_des,x_next_u7_des,pos_error,quat_error,vel_error,angvel_error,act_error,des_act_error
1,-0.017183508723974228,-0.00232558511197567,0.1986606866121292,0.9997671231728665,-0.013414081166198726,0.01405217589592935,0.009396712281800704,0.03955804698412581,0.0423237667801205,-0.0043384922108427645,0.32983904231182515,-0.3247846545647447,0.01790840711297108,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.09999999349862193,0.09999999254323497,-0.09999999186674109,0.09999999161729935,0.07015470137869534,-0.0999998640791318,0.08486032545022795,-0.07526880783791841,-0.012466774276955401,0.002269120602540748,0.15879978861551222,0.9747729450935448,0.0029175544765959976,-0.0020454451113609464,0.010018195885377178,0.044414872834298534,0.04685139696947032,-0.6909371709971267,0.3163129853134534,-0.3111591358584737,0.016407245979876257,-0.04225038559114926,0.0422503855600955,-0.04225038553810684,0.04225038552999902,0.04128029845337773,-0.04225038138451653,0.04175828797036331,-0.04144652664365148,-0.0489999993498622,0.048999999254323495,-0.04899999918667411,0.04899999916172994,0.04601547013786954,-0.048999986407913185,0.047486032545022795,-0.046526880783791844,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.017183508723974228,-0.00232558511197567,0.1986606866121292,0.9997671231728665,-0.013414081166198726,0.01405217589592935,0.009396712281800704,0.03955804698412581,0.0423237667801205,-0.0043384922108427645,0.32983904231182515,-0.3247846545647447,0.01790840711297108,-0.04225038559114926,0.0422503855600955,-0.04225038553810684,0.04225038552999902,0.04128029845337773,-0.04225038138451653,0.04175828797036331,-0.04144652664365148,-0.0489999993498622,0.048999999254323495,-0.04899999918667411,0.04899999916172994,0.04601547013786954,-0.048999986407913185,0.047486032545022795,-0.046526880783791844,-0.10000000099959434,0.09999999964631782,-0.10000000011564712,0.09999999913681736,0.09639775393774716,-0.09999997409442103,0.06842997853908331,-0.08713014457828117,-0.012647526954104643,0.0021849934317712256,0.15999217143931063,0.9749480573769967,0.0021577136081284516,-0.0009492854648104356,0.009823829217514957,0.042210789796768226,0.04652840240965846,-0.6623211735719399,0.29290266445323876,-0.2855309461522201,0.008083890622771688,-0.04814604150569009,0.048146041396062024,-0.04814604136483747,0.048146041315883445,0.04597838718982306,-0.048146031739200054,0.04607969944887363,-0.04602852679926654,-0.05777499946607509,0.057774999237597185,-0.057774999218571974,0.05777499909636842,0.054504858778197524,-0.057774984157157455,0.05314187958530556,-0.05407672322202516,0.0044283239696558665,0.007719303179219659,0.22865956917248742,0.0003352571757659158,0.004570899976313693,0.01455713754940433
3,-0.01755370944738388,-0.0027232468128204346,0.1986527293920517,0.9997210029579658,-0.015035647187460387,0.01564815193877059,0.009326355090510167,-0.005099702291767872,-0.0040815313287428465,-0.001493679318675118,-0.038143838963191186,0.0435369760560211,0.002269638791329808,-0.04814604150569009,0.048146041396062024,-0.04814604136483747,0.048146041315883445,0.04597838718982306,-0.048146031739200054,0.04607969944887363,-0.04602852679926654,-0.05777499946607509,0.057774999237597185,-0.057774999218571974,0.05777499909636842,0.054504858778197524,-0.057774984157157455,0.05314187958530556,-0.05407672322202516,-0.049654943663728635,0.08844227196358219,-0.09998556115463389,-0.005484815017908859,0.0999998177622171,-0.09999981545191404,0.09999980737917692,-0.09999980745299009,-0.016997983527735846,-0.002424647750541503,0.1623668961572296,0.9750216319488152,-0.017511458412518947,0.018427014013010737,0.008661599610179208,0.008408430671347528,0.00876025525304839,-0.6157454965610839,-0.0774596808361922,0.08768226750007452,-0.021214452034585208,-0.05383694750486116,0.05509768514501135,-0.05547288655426151,0.052044692333437725,0.052755276876244137,-0.05547333750790646,0.052051029548494526,-0.052541873616448305,-0.06129611884579607,0.06517485145301546,-0.06632918035357106,0.05578214261716832,0.06314221908496429,-0.06633059109841993,0.06181331333359061,-0.06272478588677353,0.0046090267338086185,0.009922171800432467,0.234788304054149,0.5111067811118323,0.009965190602683345,0.01445221516882715
4,-0.017059026286005974,-0.002222364768385887,0.19862084090709686,0.9997785819753334,-0.012984998853212252,0.013634004929068013,0.009396315116453308,0.016848745236578276,0.01757927210711123,-0.0029209905419598585,0.14577174282649857,-0.13616830537122893,0.013910165548566538,-0.05383694750486116,0.05509768514501135,-0.05547288655426151,0.052044692333437725,0.052755276876244137,-0.05547333750790646,0.052051029548494526,-0.052541873616448305,-0.06129611884579607,0.06517485145301546,-0.06632918035357106,0.05578214261716832,0.06314221908496429,-0.06633059109841993,0.06181331333359061,-0.06272478588677353,-0.09999998338871853,0.09999998314387552,-0.09999998415344076,0.09999998430405604,0.09999883217219377,-0.09999931743359203,0.0999988906372017,-0.07526265330587818,-0.014191838237248587,-4.4616892710204296e-05,0.1645186088491268,0.9750455349518244,-0.0060200950584955275,0.007110417511778825,0.009354091347842416,0.03270073271169779,0.024237978376181614,-0.570026282718454,0.1324258407340989,-0.13158339011774378,-0.004731740225728202,-0.05983206454352594,0.0624970082846161,-0.06329010800208117,0.05604360105157492,0.060383005821721895,-0.06329105236632003,0.05935380005412246,-0.059259025123752807,-0.06976371421352302,0.07354547848107763,-0.07467094926007586,0.06438758748214471,0.07156354682505955,-0.07467225806431863,0.070267869563971,-0.06868293157019201,0.0035957757642914503,0.0040259214553303585,0.20800803431663112,0.2805122962545549,0.011061819902410414,0.0128835304623983
5,-0.01700373739004135,-0.0021590106189250946,0.19872543215751648,0.999783586713463,-0.012787819220616973,0.013496344255356452,0.009332743952628267,0.015658060655182153,0.017239025540138307,0.001637447538456281,0.1344706602884454,-0.12264811768284396,0.0031227087224447456,-0.05983206454352594,0.0624970082846161,-0.06329010800208117,0.05604360105157492,0.060383005821721895,-0.06329105236632003,0.05935380005412246,-0.059259025123752807,-0.06976371421352302,0.07354547848107763,-0.07467094926007586,0.06438758748214471,0.07156354682505955,-0.07467225806431863,0.070267869563971,-0.06868293157019201,-0.09999998172414842,0.09999998093730522,-0.09999997834857652,0.09999997875328978,0.05399528720883444,-0.09999958622488261,0.08447784573726562,-0.0993606344459444,-0.014064834139304145,-4.1874762327551636e-05,0.16760219882319766,0.974917003267009,-0.006123204313425918,0.006908848127856478,0.008773082852620523,0.03447573883044861,0.023673002423223937,-0.5140216632680337,0.12634494314204672,-0.13969311791972547,-0.016001615939259035,-0.06703322593229434,0.07024401730340518,-0.07119956377919646,0.06246878964081166,0.0667599633118588,-0.07120067164993721,0.0666011538363119,-0.06617528173663419,-0.07801961953059977,0.08170683961278123,-0.08280417336343161,0.07277789567042006,0.0751739868753165,-0.08280541023519891,0.07695895739859832,-0.07690192172553165,0.003524814490677571,0.0030173035152924375,0.197050954620555,0.01047036721886262,0.012038372722587572,0.01391804218927114
6,-0.0174713134765625,-0.002724958583712578,0.19873681664466858,0.9997268915864151,-0.014874509536753172,0.01543024741219338,0.009316580370709482,-0.0019898289269079453,-0.004293874386078048,0.0007729599187150946,-0.026809317057389814,0.024694855742080885,-0.0015864453435271925,-0.06703322593229434,0.07024401730340518,-0.07119956377919646,0.06246878964081166,0.0667599633118588,-0.07120067164993721,0.0666011538363119,-0.06617528173663419,-0.07801961953059977,0.08170683961278123,-0.08280417336343161,0.07277789567042006,0.0751739868753165,-0.08280541023519891,0.07695895739859832,-0.07690192172553165,-0.0798846147447568,0.08885984298949277,-0.09999968825068589,0.07283433186565924,0.09999998598503759,-0.0999999853312194,0.09999998708778904,-0.0999999870950759,-0.015999316173586808,-0.0024248107547077146,0.17012358864528815,0.974788053131296,-0.016010742156726692,0.01605355386693145,0.00873376062950651,0.023015801191360916,0.009230466019444066,-0.4628267951333707,-0.03487312483869656,0.02030278579553943,-0.011805350643634043,-0.07397895931463398,0.07766248688295185,-0.07903398965966293,0.0689280438663063,0.07295565187430082,-0.07903515023485544,0.07386679358399015,-0.07365384045304789,-0.08405759051681046,0.088550152921411,-0.09073403785441443,0.07824188146522548,0.08329463580193736,-0.09073527351244089,0.08503498217241226,-0.08497937239190094,0.0033235349997710805,0.0059105397540157815,0.17782574276061733,0.2225017922076155,0.012194733003714575,0.012710837976299854
7,-0.01795722357928753,-0.0032255835831165314,0.19881127774715424,0.9996721536140836,-0.016505817485804895,0.017135130725282804,0.009462059645385724,-0.024108132768036,-0.025975804835934455,0.0016074720250229585,-0.1732140997804972,0.17708004664411595,0.010313092551436469,-0.07397895931463398,0.07766248688295185,-0.07903398965966293,0.0689280438663063,0.07295565187430082,-0.07903515023485544,0.07386679358399015,-0.07365384045304789,-0.08405759051681046,0.088550152921411,-0.09073403785441443,0.07824188146522548,0.08329463580193736,-0.09073527351244089,0.08503498217241226,-0.08497937239190094,-0.07929948618617434,0.07693611522986489,-0.09999987857576051,0.07491215295142536,0.09999998556477864,-0.09999998361731716,0.09999998806069127,-0.09999998806065524,-0.018334796490044155,-0.0047845816876714,0.17283951570741615,0.9744062190914796,-0.024294554021727092,0.024788743222040915,0.009531956393134705,0.008827472605210954,-0.005907972750684753,-0.41084334412068424,-0.16078658065959175,0.1584614636021859,0.0019575219743186156,-0.0802342079428229,0.0841925083305625,-0.08672490020071032,0.07474754260591263,0.0800521083180761,-0.08672607635166701,0.0813952125046766,-0.08127387126360314,-0.08988609937250763,0.09403001062136218,-0.09846567476563012,0.0837770497237374,0.09121226846336677,-0.09846689003636157,0.09290910642417106,-0.09285488688816894,0.002787279021675233,0.0017671611352446431,0.16350032970698897,0.21138819090918948,0.011909388897120721,0.012076799755171593
8,-0.01779981702566147,-0.003085091710090637,0.19894008338451385,0.9996884095406791,-0.015977009539851036,0.016641977558817887,0.009532238935469296,-0.028362413561932608,-0.029253558699264083,0.005119306779276193,-0.1982193866451169,0.20238403689862158,0.015163906280185137,-0.0802342079428229,0.0841925083305625,-0.08672490020071032,0.07474754260591263,0.0800521083180761,-0.08672607635166701,0.0813952125046766,-0.08127387126360314,-0.08988609937250763,0.09403001062136218,-0.09846567476563012,0.0837770497237374,0.09121226846336677,-0.09846689003636157,0.09290910642417106,-0.09285488688816894,-0.09658873050157747,0.09388201290595335,-0.09999902763450681,0.09894373342072771,0.09999984556846171,-0.09999982498794141,0.09999988603839868,-0.09999988898438396,-0.018501255759718914,-0.004952673097199213,0.17584237533605426,0.9743315364963326,-0.024327858527626353,0.024834244603259253,0.009689699111954784,0.006802054758190317,-0.008473196423048633,-0.3565658803734366,-0.15849779665177868,0.1544511241659471,-0.00015760882897867656,-0.08666101578069042,0.0905341700326965,-0.09424584491136985,0.08104674437123811,0.08742148689124653,-0.09424703902914067,0.0889250045671027,-0.0888435069089098,-0.09729781993835268,0.10106746164642345,-0.10600393565994004,0.09157699682271675,0.09893194630862878,-0.10600520028424669,0.10058636736740666,-0.10053350361440311,0.002712422422911932,0.004843295868001323,0.14455693194149485,0.03784117867045159,0.011447739587581031,0.011350356379134756
9,-0.017708512023091316,-0.003099638968706131,0.199040487408638,0.9996933976922582,-0.015686661994910863,0.01662361529368346,0.009523374429977149,0.004086512471120027,0.0007076536451380237,0.0005770638600966801,0.039990016501503245,-0.009001390768926289,0.006076975422311869,-0.08666101578069042,0.0905341700326965,-0.09424584491136985,0.08104674437123811,0.08742148689124653,-0.09424703902914067,0.0889250045671027,-0.0888435069089098,-0.09729781993835268,0.10106746164642345,-0.10600393565994004,0.09157699682271675,0.09893194630862878,-0.10600520028424669,0.10058636736740666,-0.10053350361440311,-0.09999993935521136,0.0999999391482226,-0.09999994164466848,0.09999994087425068,0.0882089275107887,-0.09992662054318563,0.09999140150393665,-0.05995485461451597,-0.015386685733965864,-0.002241952277178276,0.17807738586925953,0.9749054420582567,-0.012296333463091497,0.014387815982774936,0.00900705313019821,0.03362849537747682,0.01480320527611307,-0.30896313340814124,0.08351968156661368,-0.06938976892392101,-0.018784382963712914,-0.09357816307161435,0.09729772154452865,-0.1015882920147893,0.08804581488543069,0.09441548694995922,-0.10158711172716114,0.09634714888955756,-0.09498204944673284,-0.10486536837541498,0.10854076902008512,-0.11335383143290839,0.09928756598957389,0.10527954040199194,-0.11334773233145909,0.10807084833361516,-0.10401565148549463,0.0023405711661880165,0.004833941492478445,0.12257722202896965,0.30404210931529646,0.011460734793141632,0.012061004475338812
10,-0.017554230988025665,-0.003143223002552986,0.19929391145706177,0.9996884830358532,-0.01587634683237455,0.016756701827437406,0.009491651099731596,0.012598632568689417,0.006094046598982841,0.0036496901001118204,0.04882923082380339,-0.04367355524388747,0.0017639257144930198,-0.09357816307161435,0.09729772154452865,-0.1015882920147893,0.08804581488543069,0.09441548694995922,-0.10158711172716114,0.09634714888955756,-0.09498204944673284,-0.10486536837541498,0.10854076902008512,-0.11335383143290839,0.09928756598957389,0.10527954040199194,-0.11334773233145909,0.10807084833361516,-0.10401565148549463,-0.09990480259040964,0.0999970271667883,-0.09989586773287008,0.09999658642369899,0.03123619739648871,-0.09999622762795372,0.09640543785170869,-0.09999679612231892,-0.014432961698472349,-0.0016121302971546748,0.18110906364622165,0.9748004321243522,-0.012446268496576299,0.01282776010282873,0.008552289439525145,0.04046857203663865,0.023110371519600513,-0.2564743614625429,0.07195930778378787,-0.09930969257703348,-0.03050618310992534,-0.10067597335918697,0.10428132410007893,-0.10874788003318646,0.09525998984354732,0.0990283104672011,-0.10874729382876248,0.10350136774954341,-0.10081186282142159,-0.11223421442507057,0.11582695251126184,-0.12050957242037269,0.10680503548220445,0.105771171631591,-0.120513661785968,0.11500962091044564,-0.11141493981058914,0.002020766485268299,0.0010815944482069199,0.1083029836594226,0.017122178552380667,0.010966876650521146,0.010839722835439622
