Step,x0_px,x0_py,x0_pz,x0_qw,x0_qx,x0_qy,x0_qz,x0_vx,x0_vy,x0_vz,x0_wx,x0_wy,x0_wz,x0_u0_act,x0_u1_act,x0_u2_act,x0_u3_act,x0_u4_act,x0_u5_act,x0_u6_act,x0_u7_act,x0_u0_des,x0_u1_des,x0_u2_des,x0_u3_des,x0_u4_des,x0_u5_des,x0_u6_des,x0_u7_des,u_dot_0,u_dot_1,u_dot_2,u_dot_3,u_dot_4,u_dot_5,u_dot_6,u_dot_7,x_next_px,x_next_py,x_next_pz,x_next_qw,x_next_qx,x_next_qy,x_next_qz,x_next_vx,x_next_vy,x_next_vz,x_next_wx,x_next_wy,x_next_wz,x_next_u0_act,x_next_u1_act,x_next_u2_act,x_next_u3_act,x_next_u4_act,x_next_u5_act,x_next_u6_act,x_next_u7_act,x_next_u0_des,x_next_u1_des,x_next_u2_des,x_next_u3_des,x_next_u4_des,x_next_u5_des,x_next_u6_des,x_next_u7_des,pos_error,quat_error,vel_error,angvel_error,act_error,des_act_error
1,0.026732224971055984,0.04195432364940643,0.21460498869419098,0.9999659485172699,-0.0007901128822123054,-0.0014105247181151886,-0.008092462394702803,-0.0019823915164093753,0.0024062104240133164,0.0009688484274600995,-0.0,-0.0,-0.0,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.1000000044717174,0.09999998699250712,-0.10000000118452548,0.09999998628782454,0.07546524905678186,-0.06682972920285113,0.09999963097431532,-0.04157301088966696,0.0257812362470483,0.04120232630080813,0.174477067455007,0.9749667220060999,0.0015362958115972252,-0.0013997629841160282,-0.00788970502210628,-0.003618790902744818,0.0031580404002815284,-0.6993006955620003,0.10252769477517357,-1.8154557412317085e-06,-0.00011565703515653385,-0.047593750384288216,0.04759374888216858,-0.04759375010179516,0.047593748821609924,0.045485294840817196,-0.04474317985337002,0.04759371828685523,-0.04257268062333076,-0.04900000044717174,0.048999998699250716,-0.04900000011845255,0.04899999862878245,0.046546524905678184,-0.045682972920285114,0.04899996309743153,-0.0431573010889667,0.0,0.0,0.0,0.0,0.0,0.0
2,0.026732224971055984,0.04195432364940643,0.21460498869419098,0.9999659485172699,-0.0007901128822123054,-0.0014105247181151886,-0.008092462394702803,-0.0019823915164093753,0.0024062104240133164,0.0009688484274600995,-0.0,-0.0,-0.0,-0.047593750384288216,0.04759374888216858,-0.04759375010179516,0.047593748821609924,0.045485294840817196,-0.04474317985337002,0.04759371828685523,-0.04257268062333076,-0.04900000044717174,0.048999998699250716,-0.04900000011845255,0.04899999862878245,0.046546524905678184,-0.045682972920285114,0.04899996309743153,-0.0431573010889667,-0.09999208772734683,0.09999606188686942,-0.09999432059895574,0.09999725845347998,0.09999997266970995,-0.09999997943414979,0.09999997299991494,-0.09999997971279649,0.02573591149556086,0.04133024430009125,0.17686262729423488,0.9749714846968497,-0.000697915571773948,-0.0013761400617365717,-0.007905994982534716,-0.004784176528651135,0.006397339927788701,-0.6476483474066997,-0.007334183531011576,-1.175936245978849e-05,-0.000707977012680346,-0.055479001831789054,0.0554793418123022,-0.05547919342791713,0.05547944457980386,0.053305671598410716,-0.05254048468974317,0.05547964637705181,-0.05030250423095483,-0.057774209208727126,0.0577746049204564,-0.05777443217538681,0.05777472450841088,0.05538285905000722,-0.05454089654069297,0.05777496131998724,-0.05207836653302218,0.0038648421142134706,0.00033560810665330955,0.23346836857858907,0.03965442984097422,0.015948763686963106,0.01385214396008707
3,0.026820313185453415,0.04194291681051254,0.2146008163690567,0.9999701957877911,-0.0008621531289541014,-0.0016894541881714866,-0.007483981069934743,0.001660557274164508,0.0008597208008963445,0.00035882312279485987,-0.0,-0.0,0.0,-0.055479001831789054,0.0554793418123022,-0.05547919342791713,0.05547944457980386,0.053305671598410716,-0.05254048468974317,0.05547964637705181,-0.05030250423095483,-0.057774209208727126,0.0577746049204564,-0.05777443217538681,0.05777472450841088,0.05538285905000722,-0.05454089654069297,0.05777496131998724,-0.05207836653302218,-0.09706179817318576,0.09999855868313846,-0.09753429337483664,0.09914962243362234,0.09999993023113517,-0.09999993053482667,0.09999993214461654,-0.09999993523902496,0.026160490530678863,0.04117800153783005,0.1795580059507687,0.9749709377684037,-0.0007622137867259291,-0.0016439255723462672,-0.007310948065753717,-0.0015192534275511797,0.0050598917345847216,-0.5894640672727087,-0.0037099813026037548,0.00011550469640000605,-0.0006377170834365101,-0.0632200111888709,0.0634727396293758,-0.0632608138044726,0.06339989013435157,0.06127877849580423,-0.06050640464940205,0.06347317237943859,-0.05824740448559096,-0.06603603379582752,0.06633009566575884,-0.0660835007084858,0.06624531863906284,0.06399828059687056,-0.0631773671806583,0.0663305805014492,-0.060776400893599127,0.003608028933550498,0.0006753723185506418,0.21717460861627147,0.0002565188275616505,0.01722034807323039,0.015494220057492656
4,0.026852449402213097,0.041963569819927216,0.2147044986486435,0.9999708175647237,-0.0009102945628407869,-0.001707998290745244,-0.007390407606205622,0.0013805638553362222,0.0007835126638226579,0.0019548173684390394,-0.0,-0.0,0.0,-0.0632200111888709,0.0634727396293758,-0.0632608138044726,0.06339989013435157,0.06127877849580423,-0.06050640464940205,0.06347317237943859,-0.05824740448559096,-0.06603603379582752,0.06633009566575884,-0.0660835007084858,0.06624531863906284,0.06399828059687056,-0.0631773671806583,0.0663305805014492,-0.060776400893599127,-0.09999982714628965,0.09999955079217884,-0.09999979895845083,0.099999503236088,0.0999387366762752,-0.09855781522915048,0.09995010348600644,-0.09974527644111746,0.026156253046267466,0.041191843191020955,0.182567643294843,0.9749717412071509,-0.000685955306752306,-0.0016516761224934793,-0.007206919468232745,-0.0019158553168026884,0.004906557254878604,-0.5306470585811163,0.0048648116402755385,0.0007077576353959076,-0.0001230147642529365,-0.07119850380359762,0.07145905828559668,-0.07124056827542749,0.07138393750006446,0.0692674672999975,-0.06837909178769452,0.07145524869260331,-0.06622995185980783,-0.0743851156655608,0.07467179835333276,-0.07443139308661872,0.07458913599669509,0.07239219724957631,-0.0714537145240569,0.07466732633751362,-0.06923151851537089,0.0034190535920441585,0.00010816823412109908,0.20039493010847498,0.0005265826756455598,0.015903616535874316,0.014726800317234449
5,0.026746204122900963,0.0419590026140213,0.2146616280078888,0.9999674481584083,-0.0009164477744300659,-0.001468706282645346,-0.007880713729927971,-0.002465344913483033,0.00025610421033870256,-0.0002959066624834035,-0.0,0.0,-0.0,-0.07119850380359762,0.07145905828559668,-0.07124056827542749,0.07138393750006446,0.0692674672999975,-0.06837909178769452,0.07145524869260331,-0.06622995185980783,-0.0743851156655608,0.07467179835333276,-0.07443139308661872,0.07458913599669509,0.07239219724957631,-0.0714537145240569,0.07466732633751362,-0.06923151851537089,-0.10000026393227533,0.09999993349031384,-0.10000023641923639,0.09999990248800458,0.09943090995172453,-0.09935560176827787,0.09978502849436081,-0.09947056160923005,0.02567803850759224,0.04113470030741666,0.18505143486430342,0.9749685868233945,-0.0007082851231902283,-0.0014226668654925465,-0.007662197108923138,-0.005643919105279027,0.004300322625125305,-0.47650645352416227,0.005288453965154512,0.0004108900304249363,0.0009427576447704262,-0.079104599792091,0.07936756806959247,-0.07914705437481225,0.07929173758918565,0.07715169886755022,-0.07626188552432211,0.07934515825738518,-0.07415131177201857,-0.08252551416714932,0.08280499674353083,-0.0825706319013769,0.08272439784557817,0.08052548331350935,-0.07960293183778326,0.08277914602851186,-0.07744778671340963,0.0029115713144752175,0.0005445721115601934,0.1777549347614211,0.0018986780100498611,0.01508556256175635,0.014226887214465347
6,0.026731902733445168,0.04192444682121277,0.21461765468120575,0.9999654318930599,-0.0006860676994509766,-0.001290999512150362,-0.008185209239708424,-0.0005310660673900383,-0.0021824698102894283,-0.001559625408698403,-0.0,0.0,-0.0,-0.079104599792091,0.07936756806959247,-0.07914705437481225,0.07929173758918565,0.07715169886755022,-0.07626188552432211,0.07934515825738518,-0.07415131177201857,-0.08252551416714932,0.08280499674353083,-0.0825706319013769,0.08272439784557817,0.08052548331350935,-0.07960293183778326,0.08277914602851186,-0.07744778671340963,-0.09999347674074155,0.09999248300927162,-0.09999325490124558,0.099992239563248,0.09995363463979694,-0.0996021716065259,0.09995601985768379,-0.09957351243422304,0.0258547828117848,0.04085433727164748,0.18759320380767117,0.9749666801425961,-0.00047589805871973035,-0.0012399039034174464,-0.00795081883915608,-0.0037046493678132616,0.0017125870774492508,-0.4226805809694664,0.006305108198886611,0.0008974697860673576,0.001309760688238433,-0.08689277278442813,0.08715474211918886,-0.08693505979584605,0.08707915199277594,0.08496911556464447,-0.08406012193836167,0.08712857955011231,-0.08198457174982736,-0.09046172398704475,0.09073412012586973,-0.09050569159396704,0.09065551185576351,0.08850770969465131,-0.08757307570249126,0.09070526936356743,-0.08546894328899668,0.002672649597271191,0.00041442948069373705,0.16000302663348867,0.0016593537849510186,0.014277710440591495,0.01363238782060374
7,0.026768380776047707,0.04192521423101425,0.21466737985610962,0.9999681183053574,-0.0010244004730779542,-0.0014253117939385957,-0.007789830730108354,0.002406534940219473,0.0018343079515444117,0.0019964399619617763,-0.0,-0.0,0.0,-0.08689277278442813,0.08715474211918886,-0.08693505979584605,0.08707915199277594,0.08496911556464447,-0.08406012193836167,0.08712857955011231,-0.08198457174982736,-0.09046172398704475,0.09073412012586973,-0.09050569159396704,0.09065551185576351,0.08850770969465131,-0.08757307570249126,0.09070526936356743,-0.08546894328899668,-0.09999728725582219,0.09999625729129016,-0.09999717582696388,0.0999959648022486,0.09994669109980105,-0.09958346928024794,0.09995230048229604,-0.09963345636066642,0.026165763091185144,0.04126332478369217,0.19065080152636363,0.9749693644202917,-0.0007775284557244382,-0.0013750876487286573,-0.007565129075918099,-0.0010541450023910516,0.005941981910157858,-0.365386596465505,0.00799009248189703,0.0006943948421443761,0.0012732784650130707,-0.09453731201035531,0.09479621763064128,-0.09457910833406835,0.09472145758212304,0.09264699251577728,-0.0917207205186832,0.09476601014628606,-0.08969155762208467,-0.09819990961295084,0.09846539285185199,-0.09824276688681423,0.09838872053959428,0.09628968606226514,-0.09534209573795378,0.09843286767770786,-0.0932955653428384,0.0025002249049389568,0.0005452068437779843,0.14631148735503158,0.001776758440297297,0.013594389786247184,0.013080446896359545
8,0.026726117357611656,0.041927509009838104,0.2146916389465332,0.9999657418997866,-0.0007293660998449813,-0.0014272077449871375,-0.008120722255718868,-0.0010651937531604534,-0.0034394688317961504,0.0022472777271245045,-0.0,-0.0,0.0,-0.09453731201035531,0.09479621763064128,-0.09457910833406835,0.09472145758212304,0.09264699251577728,-0.0917207205186832,0.09476601014628606,-0.08969155762208467,-0.09819990961295084,0.09846539285185199,-0.09824276688681423,0.09838872053959428,0.09628968606226514,-0.09534209573795378,0.09843286767770786,-0.0932955653428384,-0.09999556536314967,0.09999314834419402,-0.09999486094067742,0.09999247325095324,0.09992840523852518,-0.09950465094826708,0.09994025912605344,-0.09960727610613875,0.025779888464980676,0.040737228351753994,0.19330749672053224,0.9749670333056839,-0.00045688789587825245,-0.0013809880083259663,-0.007886255059295848,-0.00455837743037848,0.0004903247334842181,-0.3126031912348614,0.009688118500950553,0.0005232165603627106,0.00131132568772054,-0.10202268927891302,0.10227716917906864,-0.10206374382375707,0.1022035646427226,0.10016703361675729,-0.09922019467896952,0.10224237727214235,-0.09724462708712314,-0.10574446840894204,0.10600307286497508,-0.10578618380871162,0.10592824985119975,0.10387528443456102,-0.10290900843933166,0.10596607189837051,-0.10092390381988131,0.0020560724130024325,0.00043409944631431755,0.12492022320647944,0.0021532965492017373,0.012947222953201151,0.012519121425817582
9,0.026726117357611656,0.041927509009838104,0.2146916389465332,0.9999657418997866,-0.0007293660998449813,-0.0014272077449871375,-0.008120722255718868,-0.0010651937531604534,-0.0034394688317961504,0.0022472777271245045,-0.0,-0.0,0.0,-0.10202268927891302,0.10227716917906864,-0.10206374382375707,0.1022035646427226,0.10016703361675729,-0.09922019467896952,0.10224237727214235,-0.09724462708712314,-0.10574446840894204,0.10600307286497508,-0.10578618380871162,0.10592824985119975,0.10387528443456102,-0.10290900843933166,0.10596607189837051,-0.10092390381988131,-0.09999451008396319,0.09999151944074063,-0.09999397180025654,0.09999016880991152,0.09993090392215408,-0.09975746577663289,0.09994505356971796,-0.09986410466508386,0.025774613358178617,0.0407348537424511,0.1958586842025131,0.9749670538424712,-0.0004200289861874461,-0.0013843093015328837,-0.00788394001945593,-0.0046618413422495975,0.0004227722803693827,-0.26135104776015106,0.011365175589827352,0.000378474207491789,0.0013972493022375912,-0.10934112728329659,0.10959040196574263,-0.109381335729278,0.10951810381127142,0.10752175971207925,-0.10657702440011133,0.10955172948871893,-0.104656741237802,-0.1131003077071148,0.11335214798742475,-0.11314092639351948,0.1132790604859109,0.11127149271591241,-0.11031202980601165,0.11331142545788304,-0.10838721669089268,0.001725620970542352,2.2282045252397564e-05,0.10664179445614386,0.002616490277961647,0.012340513319191936,0.011967256499924282
10,0.026793820783495903,0.04198485240340233,0.21484842896461487,0.9999679690271424,-0.0009735033155104987,-0.0014745096798456504,-0.00780634563870022,0.005207966929538007,0.00650497242007388,0.02750601242287723,-0.1,-0.1,0.1,-0.10934112728329659,0.10959040196574263,-0.109381335729278,0.10951810381127142,0.10752175971207925,-0.10657702440011133,0.10955172948871893,-0.104656741237802,-0.1131003077071148,0.11335214798742475,-0.11314092639351948,0.1132790604859109,0.11127149271591241,-0.11031202980601165,0.11331142545788304,-0.10838721669089268,-0.08400033505602975,0.09999322552218314,-0.09525296478711341,0.09999128404835886,0.09993564993249453,-0.099992324486073,0.08329864559513103,-0.09999364636207221,0.026351187263726056,0.041868311275525406,0.20093342011613438,0.9749980445656593,-0.00528673903841076,-0.005983794454298217,-0.0029706622145699666,-0.001787229104384969,0.01352600690060228,-0.18723587621491408,-0.08026377482037517,-0.09224508207337327,0.09450136948785572,-0.11511492509114662,0.1167332363497656,-0.11612129181301359,0.11666230823655024,0.1147072445067821,-0.11378594981769198,0.1152601375186378,-0.11191223458566278,-0.11867283352003992,0.12051766683995746,-0.11983769971239285,0.12044621237859902,0.11848327039126405,-0.11755346150946867,0.11880850438094906,-0.11567690090982757,0.001600422172518247,0.00041425798027616635,0.1150114218939118,0.17479763915163582,0.011785451069325202,0.011444896705047376
