Step,x0_px,x0_py,x0_pz,x0_qw,x0_qx,x0_qy,x0_qz,x0_vx,x0_vy,x0_vz,x0_wx,x0_wy,x0_wz,x0_u0_act,x0_u1_act,x0_u2_act,x0_u3_act,x0_u4_act,x0_u5_act,x0_u6_act,x0_u7_act,x0_u0_des,x0_u1_des,x0_u2_des,x0_u3_des,x0_u4_des,x0_u5_des,x0_u6_des,x0_u7_des,u_dot_0,u_dot_1,u_dot_2,u_dot_3,u_dot_4,u_dot_5,u_dot_6,u_dot_7,x_next_px,x_next_py,x_next_pz,x_next_qw,x_next_qx,x_next_qy,x_next_qz,x_next_vx,x_next_vy,x_next_vz,x_next_wx,x_next_wy,x_next_wz,x_next_u0_act,x_next_u1_act,x_next_u2_act,x_next_u3_act,x_next_u4_act,x_next_u5_act,x_next_u6_act,x_next_u7_act,x_next_u0_des,x_next_u1_des,x_next_u2_des,x_next_u3_des,x_next_u4_des,x_next_u5_des,x_next_u6_des,x_next_u7_des,pos_error,quat_error,vel_error,angvel_error,act_error,des_act_error
1,0.008143149316310883,0.010766150429844856,0.21379992365837097,0.9999028385986982,-0.0005630727358857896,0.0007832885557747786,-0.013906213373816648,-0.019028747955041826,-0.03058949545492586,-0.009240304362530382,-0.1,0.2,0.0,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.0969343475149306,0.08899278488170438,-0.09995833977064132,0.08756678090184047,0.0999949754791229,-0.09999458725404844,0.0999954254310735,-0.09999522982584214,0.006291764214692263,0.0076220163808060366,0.17359030707791678,0.9749052676337308,-0.005351751172206428,0.01033954832143426,-0.013567566165748534,-0.012733487378135448,-0.026815742225362083,-0.6919874106149342,-0.09533265764153352,0.18977525938661555,-0.0002702437883191529,-0.047330295489564356,0.04664781745077147,-0.04759016982403949,0.04652527023375192,0.04759331820523713,-0.04759328484214479,0.047593356872982884,-0.04759334006315831,-0.04869343475149306,0.04789927848817044,-0.048995833977064134,0.04775667809018405,0.04899949754791229,-0.04899945872540484,0.04899954254310735,-0.04899952298258421,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008245574310421944,0.010937928222119808,0.21385233104228973,0.9999070699534243,-0.0008276874379318887,0.001075457192587317,-0.013565020548827005,-0.007808590525069057,-0.012433964399092869,-0.0037473608372111905,-0.0,0.1,0.0,-0.047330295489564356,0.04664781745077147,-0.04759016982403949,0.04652527023375192,0.04759331820523713,-0.04759328484214479,0.047593356872982884,-0.04759334006315831,-0.04869343475149306,0.04789927848817044,-0.048995833977064134,0.04775667809018405,0.04899949754791229,-0.04899945872540484,0.04899954254310735,-0.04899952298258421,-0.09999240037446092,0.09998895082050224,-0.09999278179503832,0.09999031378746896,0.09998307448545524,-0.09983505673798887,0.09998482658839405,-0.09577718759623136,0.0073798397128988094,0.009470374103432502,0.17697138041563784,0.9749214849557287,-0.000489884804361183,0.005069450411254077,-0.013288691897568615,-0.004980522004080394,-0.011732672291582749,-0.6255167489077902,0.012245158996887995,0.06527409891261188,-0.002339688313582046,-0.05520738294010799,0.05450339007732566,-0.05547536959765239,0.05437714997293249,0.055477781640730264,-0.05546502696519986,0.05547797208201023,-0.05511636077367588,-0.057475338920151824,0.0567006916080164,-0.05777021630714137,0.05656179251667634,0.05777281755776001,-0.05775797793106861,0.057773036638369066,-0.05735225366764274,0.004393658807376614,0.003365565061825148,0.23446747762123063,0.14101276428953885,0.01773976363483761,0.015429936827238252
3,0.008256511762738228,0.010985846631228924,0.2138550579547882,0.9998983967679924,-0.00037131508839901623,0.00019284063165368577,-0.014248546536205995,0.004833314057724965,0.001198482685091434,0.004903741040801766,0.0,-0.1,-0.0,-0.05520738294010799,0.05450339007732566,-0.05547536959765239,0.05437714997293249,0.055477781640730264,-0.05546502696519986,0.05547797208201023,-0.05511636077367588,-0.057475338920151824,0.0567006916080164,-0.05777021630714137,0.05656179251667634,0.05777281755776001,-0.05775797793106861,0.057773036638369066,-0.05735225366764274,-0.09997873587407789,0.0999978647063098,-0.09603615472841451,0.09999767188754184,0.08130849900776199,-0.09999755439996914,0.0800182285529042,-0.09999768770812079,0.00849380864930969,0.010852891649124265,0.1806901495348249,0.9749384268132593,-0.0003158486826725779,-0.0050309420076492944,-0.014002872160357836,0.003635372407016834,0.0016524927186197056,-0.555913470179126,0.005354306772636735,-0.12133470193498724,-0.005374532766807827,-0.06319651604816216,0.06248754842248988,-0.0631282048998313,0.062360108585872626,0.0618649635836578,-0.06345790380690698,0.06175427646349271,-0.06309840773489746,-0.06603632903455582,0.06528296078844696,-0.06592957637230429,0.06514751489251361,0.0644593470195922,-0.0663137839227888,0.06433053357770026,-0.06591821609676375,0.003661346169789116,0.0025885321954270332,0.21842665005618375,0.18993611453871895,0.01693704030215888,0.015312255429956213
4,0.008205932565033436,0.010919398628175259,0.21394284069538116,0.9999079853437481,-0.0008823791473687465,0.0011312216014727195,-0.01348935100497315,-0.0006971679771466401,-0.001278689173527698,0.004040133731969257,-0.0,0.0,0.0,-0.06319651604816216,0.06248754842248988,-0.0631282048998313,0.062360108585872626,0.0618649635836578,-0.06345790380690698,0.06175427646349271,-0.06309840773489746,-0.06603632903455582,0.06528296078844696,-0.06592957637230429,0.06514751489251361,0.0644593470195922,-0.0663137839227888,0.06433053357770026,-0.06591821609676375,-0.09999989292363916,0.0935979993959929,-0.09999989051646202,0.08793277093120211,0.09999989069677526,-0.09954439047296769,0.09999989314181748,-0.0986665092486618,0.008003935134017977,0.010580008326430948,0.18346978287706375,0.9749325970645814,-0.0008703262169795893,0.0014607729467746534,-0.01319496335483375,0.0007160522753995881,-1.6661180289209406e-05,-0.49933549225566576,-0.0016182692657093255,0.0194592277041358,-0.0021581717773118286,-0.07118375640428663,0.06992713089092988,-0.07110397609792797,0.06931327721456249,0.06980136582934877,-0.07140497211241367,0.06968723287570108,-0.07096665608537005,-0.07438541010105586,0.07301068670833509,-0.07428132601464289,0.07231210411332098,0.07284785241377993,-0.07461037837201585,0.0727222595524395,-0.07413691161921082,0.003100690952074025,0.0028438550719513817,0.18837291722929198,0.11003457810797149,0.014913035696737492,0.013880210346076557
5,0.008217131718993187,0.010913520120084286,0.21384525299072266,0.9999049638307312,-0.0006230916314374315,0.0009275289240660191,-0.013740988085939805,-1.129182225610958e-05,-0.0008163914186802093,-0.0009190451802010332,-0.0,0.0,0.0,-0.07118375640428663,0.06992713089092988,-0.07110397609792797,0.06931327721456249,0.06980136582934877,-0.07140497211241367,0.06968723287570108,-0.07096665608537005,-0.07438541010105586,0.07301068670833509,-0.07428132601464289,0.07231210411332098,0.07284785241377993,-0.07461037837201585,0.0727222595524395,-0.07413691161921082,-0.09999947499257868,0.09999930499768114,-0.09999943891874048,0.09999929479801387,0.09979588098753937,-0.09997340898701823,0.0997949733261056,-0.09996242875697597,0.008114156393230492,0.010611677764730135,0.18573069651386692,0.9749083124937101,-0.0005571658297354702,0.0008272926780599052,-0.013356041315785624,0.0021516098057513928,0.0002400024799050596,-0.44608380335469383,0.0020853717276899807,-0.0031658973366964875,0.0020553890746209777,-0.07909530921968036,0.07782960391914995,-0.07900918963065175,0.07720205288545766,0.0776767948848248,-0.07931004076661308,0.07756150910091059,-0.07886969029162645,-0.08252572234778731,0.08118535004039483,-0.08242423675615086,0.08050423099028935,0.08100624420218937,-0.08274245981141728,0.08088370039623904,-0.08227973170442815,0.0026227664997184436,0.0004421182519799918,0.16529081457122555,0.006784407645214515,0.014585988274271709,0.013774132007634637
6,0.008294966071844101,0.010963729582726955,0.21395544707775116,0.9999000974149315,-0.0003243114025694245,0.00025906759994406657,-0.01412879668278446,0.00343260059852372,0.002811918515142537,0.00036838028447248536,0.0,-0.0,-0.0,-0.07909530921968036,0.07782960391914995,-0.07900918963065175,0.07720205288545766,0.0776767948848248,-0.07931004076661308,0.07756150910091059,-0.07886969029162645,-0.08252572234778731,0.08118535004039483,-0.08242423675615086,0.08050423099028935,0.08100624420218937,-0.08274245981141728,0.08088370039623904,-0.08227973170442815,-0.09998643639603146,0.09999352308115372,-0.09998358452031665,0.09999278665581535,0.09989045335514805,-0.09995315003116383,0.09990344347432713,-0.09995833933112731,0.00849591840318888,0.011001710645722305,0.18882477600329295,0.9749032315647974,-0.0002725183775070118,0.00018833793216086738,-0.01373161260463833,0.004860458274947856,0.003510641403913004,-0.38658729450007634,0.001800469223841123,-0.0025813547801832974,0.002029158499826607,-0.08688636536693865,0.08562731784431427,-0.08679688662703201,0.08499703060678575,0.0854604576354073,-0.08709355565317889,0.08534668247729513,-0.08665698943768795,-0.0904612229286958,0.08915506859750033,-0.09036198928927877,0.08849090388111365,0.08897013343264945,-0.09066921331924824,0.08885195223376577,-0.09021857234493016,0.002676962620725764,0.0008211201001006443,0.15227425708191866,0.0014492265017557221,0.01431477182206861,0.013645127002728082
7,0.008319022133946419,0.010981865227222443,0.21401360630989075,0.9999014921557159,-0.0003345640006291463,0.00030110015580670586,-0.014028663172186017,0.009625861612629837,0.009415129825987347,0.003227993943466641,0.1,-0.1,-0.1,-0.08688636536693865,0.08562731784431427,-0.08679688662703201,0.08499703060678575,0.0854604576354073,-0.08709355565317889,0.08534668247729513,-0.08665698943768795,-0.0904612229286958,0.08915506859750033,-0.09036198928927877,0.08849090388111365,0.08897013343264945,-0.09066921331924824,0.08885195223376577,-0.09021857234493016,-0.09999943221486195,0.09999936801356381,-0.09999922316310865,0.09999919391907126,0.0759412864219082,-0.09921392213179864,0.09999394176993577,-0.08996718144087902,0.009000633952288282,0.01159538223502786,0.1919393276896583,0.9748410138225105,0.004270048929016827,-0.004424879032391351,-0.018303267243742247,0.007587402478272427,0.007551751593263224,-0.3274038856559167,0.09513007272575714,-0.09491021585265993,-0.09297694625025299,-0.09453327365374624,0.09328954983918483,-0.09444267019651459,0.09266339252146705,0.09105317413393609,-0.09466805366457266,0.09300775815000682,-0.09344293537287797,-0.0981996355769646,0.09692612868391921,-0.09810286187335768,0.09627855067599292,0.09434000873902405,-0.0983238751994469,0.09663004760491521,-0.09695982618039482,0.0022587295552506923,0.00010843614476889107,0.1344874881452284,0.1726746413517531,0.01359857400913789,0.013071696144746668
8,0.008355551399290562,0.010924603790044785,0.21406054496765137,0.9999041835513879,-0.0003952017452205932,0.0004931713763319753,-0.013828387975707068,0.013964552218508328,0.01209749154713265,0.0027236547968842043,-0.0,0.1,0.1,-0.09453327365374624,0.09328954983918483,-0.09444267019651459,0.09266339252146705,0.09105317413393609,-0.09466805366457266,0.09300775815000682,-0.09344293537287797,-0.0981996355769646,0.09692612868391921,-0.09810286187335768,0.09627855067599292,0.09434000873902405,-0.0983238751994469,0.09663004760491521,-0.09695982618039482,-0.09472199591223109,0.06136171324033217,-0.09970284067046452,0.09379568628291837,0.09997313623597573,-0.09997740312694281,0.09997831300854781,-0.09998370658268244,0.009533626411817254,0.011965166645747101,0.1945366680699014,0.9750619366992956,-0.0006902868215800462,0.005533066299818756,-0.00854998170334156,0.0153078897241502,0.01461633495036202,-0.2756194428807841,-0.018780868539529733,0.11517340507561555,0.10847619601027814,-0.10156684481565062,0.09747710595614563,-0.10190443279470016,0.09964655468610167,0.09849492577194682,-0.10214627891857535,0.10051607507850768,-0.10090470852441,-0.1052168442787636,0.10063914679085446,-0.1056205743935702,0.10325115553738494,0.10197882214414605,-0.105863518632155,0.10421212771564711,-0.10453420118415319,0.0018888017025713493,0.0031519775448172016,0.11177314789352337,0.29980845023296854,0.012149294701715102,0.011793525782485322
9,0.008308203890919685,0.01088813878595829,0.21409572660923004,0.9999063437717777,-0.0006818292370711214,0.0012547730201243838,-0.013611184317138042,-0.0003658109085636391,-0.0026915826059943047,0.006904244195642802,-0.1,0.3,0.1,-0.10156684481565062,0.09747710595614563,-0.10190443279470016,0.09964655468610167,0.09849492577194682,-0.10214627891857535,0.10051607507850768,-0.10090470852441,-0.1052168442787636,0.10063914679085446,-0.1056205743935702,0.10325115553738494,0.10197882214414605,-0.105863518632155,0.10421212771564711,-0.10453420118415319,-0.09037588770548077,0.07321654558368126,-0.09993060171426071,0.07471611411125506,0.09999661130617957,-0.09999669998589444,0.09999774715474037,-0.09999779023120052,0.008222713335586156,0.010621581674817549,0.1974569143241238,0.9748850630112862,-0.0050100051612774485,0.014427650842905657,-0.009058068325897567,0.005711167752057392,0.003989936267824512,-0.22196493489838065,-0.08967106967085293,0.24702690830069016,0.07390024866083272,-0.1080454744077935,0.1024160887997681,-0.10921840268973336,0.10481186829999492,0.10582019854716546,-0.10946025938528398,0.10786363826526868,-0.10821974458465472,-0.11162401194234259,0.10544482267945124,-0.11297312020515701,0.10814148806007581,0.10942901272116037,-0.11321660066494056,0.11160659923822998,-0.11192062517766939,0.0016827992933269374,0.001798752280357587,0.10077002418048626,0.21356537003378867,0.011387838858654483,0.01106149906042175
10,0.008342362008988857,0.010919522494077682,0.21414373815059662,0.9999011866680009,-0.0003028513600565037,0.00039050868799786676,-0.01404893889024845,0.0003877121675329153,-0.0008215207078036269,0.004254163694456709,-0.1,0.1,0.1,-0.1080454744077935,0.1024160887997681,-0.10921840268973336,0.10481186829999492,0.10582019854716546,-0.10946025938528398,0.10786363826526868,-0.10821974458465472,-0.11162401194234259,0.10544482267945124,-0.11297312020515701,0.10814148806007581,0.10942901272116037,-0.11321660066494056,0.11160659923822998,-0.11192062517766939,-0.09017190043217121,0.09999874300478266,-0.0999720491789597,0.09999851816062624,0.07592039229621025,-0.09999822168220786,0.09417565365901438,-0.09999884377355867,0.008013028536436729,0.010779380857355093,0.19965238776965707,0.9750087299329,-0.004192323375794719,0.0030996938950734534,-0.0096400108264481,-0.0021944520172102,0.00451366831193966,-0.17654210187356567,-0.061281650931177045,0.0016002992451021325,0.06610905783380958,-0.11432011285292856,0.1094874980799591,-0.1163663080284101,0.1119264994576547,0.11093610793616085,-0.11660492408931766,0.11454325514408879,-0.11537646516947324,-0.11785060168700114,0.11280857641294323,-0.12014599711792406,0.11543780267463655,0.1142853266327524,-0.12038600781653785,0.11823399962317568,-0.11912249392558354,0.0011315365522174515,0.006455824440619637,0.07463096418854309,0.1886982525443059,0.01051660895592646,0.010250822901140714
