Step,x0_px,x0_py,x0_pz,x0_qw,x0_qx,x0_qy,x0_qz,x0_vx,x0_vy,x0_vz,x0_wx,x0_wy,x0_wz,x0_u0_act,x0_u1_act,x0_u2_act,x0_u3_act,x0_u4_act,x0_u5_act,x0_u6_act,x0_u7_act,x0_u0_des,x0_u1_des,x0_u2_des,x0_u3_des,x0_u4_des,x0_u5_des,x0_u6_des,x0_u7_des,u_dot_0,u_dot_1,u_dot_2,u_dot_3,u_dot_4,u_dot_5,u_dot_6,u_dot_7,x_next_px,x_next_py,x_next_pz,x_next_qw,x_next_qx,x_next_qy,x_next_qz,x_next_vx,x_next_vy,x_next_vz,x_next_wx,x_next_wy,x_next_wz,x_next_u0_act,x_next_u1_act,x_next_u2_act,x_next_u3_act,x_next_u4_act,x_next_u5_act,x_next_u6_act,x_next_u7_act,x_next_u0_des,x_next_u1_des,x_next_u2_des,x_next_u3_des,x_next_u4_des,x_next_u5_des,x_next_u6_des,x_next_u7_des,pos_error,quat_error,vel_error,angvel_error,act_error,des_act_error
1,-0.0072581530548632145,0.030191365629434586,0.21730276942253113,0.9999800171360516,0.00011825798538623388,0.0009575826551393657,0.00624774992214984,-0.0027755945934715485,0.0004083474788947929,-0.002022526558817382,-0.0,-0.0,0.0,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.09999958319804551,0.09999953618211968,-0.09999953428490761,0.09999951805106594,0.07583971264054033,-0.06701087151150487,0.0999941892071621,-0.04106835357832852,-0.007322821353119631,0.02949622087021435,0.17681574185893895,0.9749776983483853,0.0024203661875716142,0.0009491640654381015,0.006079079376996053,-0.0021036163013005756,0.00035790445791320175,-0.7022184533579224,0.10247880994041057,-0.00010163789890528172,-0.00028628344510013386,-0.04759371418108204,0.04759371014065091,-0.047593709977609255,0.04759370858251348,0.045517475305046434,-0.044758746770519955,0.047593250634990494,-0.04252931163563761,-0.048999958319804554,0.04899995361821197,-0.04899995342849076,0.04899995180510659,0.04658397126405403,-0.04570108715115048,0.048999418920716215,-0.04310683535783286,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0072581530548632145,0.030191365629434586,0.21730276942253113,0.9999800171360516,0.00011825798538623388,0.0009575826551393657,0.00624774992214984,-0.0027755945934715485,0.0004083474788947929,-0.002022526558817382,-0.0,-0.0,0.0,-0.04759371418108204,0.04759371014065091,-0.047593709977609255,0.04759370858251348,0.045517475305046434,-0.044758746770519955,0.047593250634990494,-0.04252931163563761,-0.048999958319804554,0.04899995361821197,-0.04899995342849076,0.04899995180510659,0.04658397126405403,-0.04570108715115048,0.048999418920716215,-0.04310683535783286,-0.09999810243196648,0.09978549570602818,-0.09999815399511894,0.09999613552230527,0.09999996991000266,-0.09999997164693682,0.09999997019437741,-0.09999997167200833,-0.007409452038733126,0.029638432070646464,0.17920204103836834,0.9749855531987657,0.0001814060379142484,0.0009185537277265787,0.006051088431576744,-0.004103558047196326,0.0038864433455250984,-0.6505477914905593,-0.007622944022063899,-0.0006692115344015382,-0.0017848167964776638,-0.055479481391696256,0.055461206335136994,-0.055479481488745076,0.05547930658776807,0.053338852322510025,-0.05255653491622938,0.05547916394469672,-0.050257786201804544,-0.05777476960500609,0.05775350434835948,-0.05777476999229038,0.05777456656220946,0.05541936897345294,-0.0545585571370654,0.05777443046713605,-0.05202916164108787,0.00396404914107623,0.0003355880093480693,0.23346764902661354,0.03965061365334322,0.015955231410110148,0.013857987963532716
3,-0.007158974185585976,0.03015788085758686,0.2174048274755478,0.9999796842424976,0.00017103157603171206,0.0013393735772325402,0.006229601022183447,0.00022830329873269528,-0.0005000788233595153,0.0009018463026149689,0.0,0.0,0.0,-0.055479481391696256,0.055461206335136994,-0.055479481488745076,0.05547930658776807,0.053338852322510025,-0.05255653491622938,0.05547916394469672,-0.050257786201804544,-0.05777476960500609,0.05775350434835948,-0.05777476999229038,0.05777456656220946,0.05541936897345294,-0.0545585571370654,0.05777443046713605,-0.05202916164108787,-0.09728639187867245,0.09999999432500561,-0.09724964729309993,0.099366198020116,0.09999999981475405,-0.09999999982710615,0.09999999982056344,-0.09999999984005035,-0.007004000316176863,0.029519242571396886,0.18234532669020337,0.9749804840280484,0.0002397493111858541,0.0012915897111263769,0.006032825552589798,-0.0008019764373675422,0.003009245956147635,-0.5889260647210394,-0.003940501189384597,-0.0007195804779079887,-0.001818393202919899,-0.06323980748990671,0.06345416455883042,-0.06323664994619167,0.06341836071682302,0.0613122768427474,-0.06052261156705292,0.06347269122653418,-0.05820227198143998,-0.0660590395527482,0.06630966617215105,-0.06605536547179311,0.06626682220016582,0.06403388473059202,-0.06319459319134939,0.066330069687514,-0.060728432584065704,0.003813842202839245,0.0003867457190505647,0.22067160850948594,0.0006298593568700909,0.017215005542950586,0.015489467030061429
4,-0.007140751462429762,0.03017142415046692,0.21741251647472382,0.9999797307391146,0.00018212570587520765,0.0012775818241597392,0.006234799582806524,0.0006104117204189253,-8.21412033637001e-05,0.0009019723548105985,0.0,0.0,0.0,-0.06323980748990671,0.06345416455883042,-0.06323664994619167,0.06341836071682302,0.0613122768427474,-0.06052261156705292,0.06347269122653418,-0.05820227198143998,-0.0660590395527482,0.06630966617215105,-0.06605536547179311,0.06626682220016582,0.06403388473059202,-0.06319459319134939,0.066330069687514,-0.060728432584065704,-0.09999962308919705,0.09999953912950797,-0.09999959714768497,0.09999951269867598,0.09997851357674258,-0.09867419472302205,0.09998478194545363,-0.09909076136276988,-0.006939467544878217,0.029569371814987734,0.18510581259053838,0.9749803771876284,0.0003700219392592731,0.0012470902985780377,0.006051225349835664,-0.00018041586211795543,0.0032365495730246447,-0.5316605295567769,0.0045279633524455375,0.00010425098173150291,-0.0011622800477704902,-0.0712188877771773,0.07144031094258646,-0.07121562988746108,0.07140298675567668,0.06930426832342365,-0.06840524421318324,0.07145774958161674,-0.06612872823995611,-0.07440752587284918,0.07465187843079807,-0.07440394104976678,0.07461010291502929,0.07243088897000147,-0.07148214783386786,0.07467029613987151,-0.06911929790574103,0.0033048275718009397,6.161938623397649e-05,0.1987919236939994,0.0008723028344730137,0.015908121614579884,0.014730671886923235
5,-0.0071432869881391525,0.03017483651638031,0.21743281185626984,0.9999800782787102,0.00019231819940995475,0.0013172896776486164,0.006170154562101232,0.0002980063991019197,-0.0010084490561068423,0.0023685435420077597,-0.0,-0.0,0.0,-0.0712188877771773,0.07144031094258646,-0.07121562988746108,0.07140298675567668,0.06930426832342365,-0.06840524421318324,0.07145774958161674,-0.06612872823995611,-0.07440752587284918,0.07465187843079807,-0.07440394104976678,0.07461010291502929,0.07243088897000147,-0.07148214783386786,0.07467029613987151,-0.06911929790574103,-0.09999964775921368,0.09999964351316407,-0.09999963332201205,0.09999963287761056,0.09937000243010241,-0.09932642003243494,0.09999238435179014,-0.09859423036455328,-0.006964431851192381,0.02947868561127982,0.1880115226299976,0.9749806770003935,0.00034581907172201383,0.0012736845922284511,0.005995370510908409,-0.00030165663505741505,0.0021957129901704385,-0.47393974673926564,0.004188031331428245,-0.0005092253742199948,-0.0008038586825726359,-0.07912511575305221,0.07934886256113187,-0.07912182600580812,0.07931094476760753,0.07718299370596093,-0.07628565816030929,0.07936557699921007,-0.07397353955033534,-0.08254730250194933,0.08278554582134452,-0.08254380585572381,0.08274481362991462,0.08055711698876167,-0.07962773614126467,0.08280277717155374,-0.07725073849455286,0.0030062233928868916,7.298275212305545e-05,0.18144577130452647,0.0018446446168365203,0.015072784652645065,0.014215687602016164
6,-0.007125531788915396,0.030161749571561813,0.2173825204372406,0.999979941427712,0.00017890691544460816,0.00134174882410522,0.006187442495772412,0.0007655633277906815,-0.000788180541819149,0.00019771553570632817,-0.0,-0.0,0.0,-0.07912511575305221,0.07934886256113187,-0.07912182600580812,0.07931094476760753,0.07718299370596093,-0.07628565816030929,0.07936557699921007,-0.07397353955033534,-0.08254730250194933,0.08278554582134452,-0.08254380585572381,0.08274481362991462,0.08055711698876167,-0.07962773614126467,0.08280277717155374,-0.07725073849455286,-0.09999858443329614,0.09999840549349562,-0.09999850805938229,0.09999835256292265,0.09997167838162893,-0.09977707233077761,0.0999771536150874,-0.09921519567561805,-0.006893536863841424,0.029488763441064873,0.19045618790909097,0.9749805754350531,0.00031916963523719006,0.0012977536980356866,0.006008247051750594,0.00032320444476368585,0.0024198943662220892,-0.4210553075669409,0.004213618100970072,-0.00045726332889455673,-0.000961104543706794,-0.08691365092464871,0.08713675770390264,-0.08691036593822743,0.08709881860565072,0.08500129481042755,-0.08409868441765289,0.08715140513147623,-0.08177384368743118,-0.09048347838273021,0.09071574772516047,-0.09048006151526894,0.09067602854545903,0.08854035690220553,-0.08761474997081081,0.09073042310377365,-0.08524098959975082,0.002575445684785612,4.1514582418184545e-05,0.15903199159058898,0.0013659292548486221,0.014257946540743301,0.013614604956732623
7,-0.0071170092560350895,0.03015701100230217,0.2173558920621872,0.9999795447721385,0.00024004027103762378,0.0012942296312591487,0.006259184262884035,-0.001505433170781894,2.149164059148833e-05,-0.0015764586709295072,0.0,-0.0,0.0,-0.08691365092464871,0.08713675770390264,-0.08691036593822743,0.08709881860565072,0.08500129481042755,-0.08409868441765289,0.08715140513147623,-0.08177384368743118,-0.09048347838273021,0.09071574772516047,-0.09048006151526894,0.09067602854545903,0.08854035690220553,-0.08761474997081081,0.09073042310377365,-0.08524098959975082,-0.09999920183149523,0.099999099779373,-0.09999914983596858,0.09999905063908478,0.0998976694405468,-0.09944430724992784,0.09994228584139987,-0.09927890146259652,-0.00710004907670798,0.029558194042760867,0.19291893424087272,0.9749802381622507,0.00039897692964044464,0.0012453421449854331,0.00606880922212746,-0.0017473518551662074,0.003088743578120703,-0.36896891458695563,0.005617260774810755,-0.0007355284497881367,-0.0014137666603605053,-0.09455813308801508,0.09477879411095969,-0.09455488055257137,0.09474118910253305,0.09267431488643853,-0.09174742633763354,0.09478820248592329,-0.08944972371236716,-0.09822131160631148,0.09844776400996877,-0.09821797496098406,0.09840903289573104,0.0963166149237051,-0.09536881194653331,0.09845639111031929,-0.09303785500601669,0.0023642134705112792,0.00010158792431832632,0.14094483671203029,0.0010932938500350944,0.013593144621848716,0.013078568401537228
8,-0.007195691578090191,0.03018256276845932,0.21735934913158417,0.9999804024195267,1.4454410753608146e-06,0.0009589868250439736,0.006186688860902512,-0.0014829367095951249,6.76023907858988e-05,0.0011130808512449554,-0.0,-0.0,-0.0,-0.09455813308801508,0.09477879411095969,-0.09455488055257137,0.09474118910253305,0.09267431488643853,-0.09174742633763354,0.09478820248592329,-0.08944972371236716,-0.09822131160631148,0.09844776400996877,-0.09821797496098406,0.09840903289573104,0.0963166149237051,-0.09536881194653331,0.09845639111031929,-0.09303785500601669,-0.09999953589921096,0.09999949769762898,-0.09999950877010115,0.09999947539264505,0.09997601979458506,-0.09960283943368042,0.09998406949260581,-0.0993216106612927,-0.007185832583538405,0.029597086526101095,0.19579129098270587,0.9749811244478099,0.00018660097591053753,0.0009127213355010867,0.005995133245043151,-0.0019518722859367549,0.0033049901676347124,-0.313848281006227,0.00674828314783423,-0.0009804263194480543,-0.0015249080863000899,-0.10204353017004575,0.10226065651594304,-0.1020403277859463,0.10222360371673267,0.10019762991955497,-0.09925467448670024,0.10226823601997863,-0.0969788476334884,-0.10576573240607479,0.10598651967948242,-0.10576247646396959,0.10594875461260227,0.10390630153007098,-0.10294487559123801,0.10599338828182191,-0.10064406969699553,0.0021507710459994665,0.0004227107340752962,0.12718993760765376,0.0014482672538532802,0.012934566080974617,0.012507348345028691
9,-0.007177915424108505,0.030188467353582382,0.21747127175331116,0.9999799153356002,0.00010872851294258247,0.0013877702906081573,0.006183138130184527,-0.0012896874625613626,9.471930471582023e-05,0.002802389584194771,-0.0,-0.0,-0.0,-0.10204353017004575,0.10226065651594304,-0.1020403277859463,0.10222360371673267,0.10019762991955497,-0.09925467448670024,0.10226823601997863,-0.0969788476334884,-0.10576573240607479,0.10598651967948242,-0.10576247646396959,0.10594875461260227,0.10390630153007098,-0.10294487559123801,0.10599338828182191,-0.10064406969699553,-0.09999832716720522,0.0999981672123817,-0.0999982285693739,0.09999807060899964,0.0999224099480601,-0.09973949747804761,0.09995459884162482,-0.09959302342010416,-0.007117771747885772,0.02959743731715009,0.1986159368439975,0.9749806667425412,0.00032241488686731736,0.001325000970704979,0.005986911817366749,-0.001114813887416151,0.0031509412656552443,-0.2609536871966947,0.0082257077437632,-0.0012520979553795526,-0.0017328723596393872,-0.10936192021224016,0.10957485952207952,-0.10935877105623033,0.10953848059455866,0.10755100539297273,-0.10660957360672116,0.10957826170343422,-0.1043694926587256,-0.11312142181264347,0.11333667340873355,-0.11311823740930774,0.11329984280818718,0.11130088498662523,-0.11034520344926183,0.11333901345893885,-0.10808727029658104,0.0018740916170524307,0.00044119511942828526,0.10836681919324734,0.0017214539558735528,0.012341084284860268,0.011967045493588208
10,-0.0071662236005067825,0.030162634328007698,0.21740800142288208,0.9999795361257423,0.0002150058256153318,0.001283474514268434,0.006263688642616626,-0.001372722682486518,-0.0009152634101798369,-0.00010088898811757923,-0.0,-0.0,0.0,-0.10936192021224016,0.10957485952207952,-0.10935877105623033,0.10953848059455866,0.10755100539297273,-0.10660957360672116,0.10957826170343422,-0.1043694926587256,-0.11312142181264347,0.11333667340873355,-0.11311823740930774,0.11329984280818718,0.11130088498662523,-0.11034520344926183,0.11333901345893885,-0.10808727029658104,-0.09999652873986316,0.09999591732757053,-0.09999645765784268,0.0999958027179427,0.09997703515140634,-0.09994754478076186,0.09997848608221535,-0.09994675413024716,-0.007110830608894451,0.02946187501181982,0.2007647109485489,0.974980268735418,0.0004720034808679647,0.0012225463429083657,0.006064055821057565,-0.0011228657620127615,0.0019057760779705743,-0.21376740036393543,0.010252133574727155,-0.0012890400241363413,-0.0017870640396482258,-0.11650998118237314,0.11671833705652924,-0.11650689256480536,0.11668270293141596,0.11473936583499975,-0.11381405107850509,0.11671979211535723,-0.1116237849461139,-0.12029303914131369,0.12050284830627227,-0.12028992723985932,0.12046692700977678,0.11851606637710024,-0.11758132784110648,0.12050338673068689,-0.11537976395219122,0.001352642225772425,0.00015938265814938857,0.08635155265691286,0.0021445361407908393,0.011780642930024423,0.01144017720278889
