Step,x0_px,x0_py,x0_pz,x0_qw,x0_qx,x0_qy,x0_qz,x0_vx,x0_vy,x0_vz,x0_wx,x0_wy,x0_wz,x0_u0_act,x0_u1_act,x0_u2_act,x0_u3_act,x0_u4_act,x0_u5_act,x0_u6_act,x0_u7_act,x0_u0_des,x0_u1_des,x0_u2_des,x0_u3_des,x0_u4_des,x0_u5_des,x0_u6_des,x0_u7_des,u_dot_0,u_dot_1,u_dot_2,u_dot_3,u_dot_4,u_dot_5,u_dot_6,u_dot_7,x_next_px,x_next_py,x_next_pz,x_next_qw,x_next_qx,x_next_qy,x_next_qz,x_next_vx,x_next_vy,x_next_vz,x_next_wx,x_next_wy,x_next_wz,x_next_u0_act,x_next_u1_act,x_next_u2_act,x_next_u3_act,x_next_u4_act,x_next_u5_act,x_next_u6_act,x_next_u7_act,x_next_u0_des,x_next_u1_des,x_next_u2_des,x_next_u3_des,x_next_u4_des,x_next_u5_des,x_next_u6_des,x_next_u7_des,pos_error,quat_error,vel_error,angvel_error,act_error,des_act_error
1,-0.010149577632546425,0.012653511017560959,0.20102103054523468,0.9999725876191812,0.0009244915034749703,0.0032556110714757275,-0.0065856147936560775,-0.00024116780352343142,-0.001333382374925285,0.002063333143700754,0.00962607530515991,-0.008689309713142876,0.009189576177705945,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.04,0.04,-0.04,0.04,0.04,-0.04,0.04,-0.04,-0.10000000217542644,0.10000000618674997,-0.09999999663805646,0.1000000048343752,0.0982623675487646,-0.1000000146407154,0.09646902900686526,-0.10000001383788318,-0.009762380069280263,0.012152485761538873,0.16174587999850848,0.9749732729287016,0.001367450924502031,0.002762557781402845,-0.005975957947007832,0.002840713076999767,-0.0024766996714908596,-0.6840437521983495,0.009182790796732175,-0.007715824072431574,0.008771397189029629,-0.042250385873178885,0.042250386003562374,-0.042250385693193,0.04225038595960498,0.04219390604397508,-0.042250386278348866,0.04213561562261898,-0.04225038625225372,-0.049000000217542646,0.049000000618674995,-0.048999999663805645,0.04900000048343752,0.04882623675487646,-0.04900000146407154,0.048646902900686524,-0.04900000138378832,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.010239878669381142,0.01269114762544632,0.200965017080307,0.9999703112777162,0.0005785789312655762,0.003759780420662618,-0.006701183533994778,-0.00540845818169426,0.0006240099753593241,-0.0018618045978380875,-0.024383254650418414,0.03943052779539936,-0.0015806655060266045,-0.042250385873178885,0.042250386003562374,-0.042250385693193,0.04225038595960498,0.04219390604397508,-0.042250386278348866,0.04213561562261898,-0.04225038625225372,-0.049000000217542646,0.049000000618674995,-0.048999999663805645,0.04900000048343752,0.04882623675487646,-0.04900000146407154,0.048646902900686524,-0.04900000138378832,-0.09852479388104773,0.09999996859788929,-0.09999999486975496,0.09999995514657864,0.09999999978643641,-0.09999999977827431,0.09999999977423049,-0.09999999977585405,-0.010375831383277117,0.012423928714039386,0.1626374549155285,0.9749672793794316,-0.0005995886225304654,0.0056261238236891675,-0.006624906232643687,-0.002309216289633822,0.0004766183280156418,-0.6562235841632399,-0.024540156515657635,0.04215240534417844,-0.002605876087516036,-0.04809809217910525,0.048146041324267315,-0.04814604152214641,0.04814604079413081,0.048026655162636066,-0.04814604291859302,0.04790344103800431,-0.04814604286335451,-0.05762747960020886,0.057774997462997045,-0.05777499915918599,0.057774995986009436,0.0576055808146482,-0.05777500140529717,0.05743073030559241,-0.05777500132677901,0.0036894584673015673,0.0008661905270757504,0.22472380574913067,0.059868249950155425,0.0051166953142222135,0.01590525155068708
3,-0.010145556181669235,0.01271263137459755,0.20097105205059052,0.9999727993421568,0.0008651104108880808,0.003181284925406939,-0.006597847073944465,0.0005195164763956651,0.0014118485707701341,-0.0012966400177553906,0.0043688989751705185,-0.01332907562269361,0.006938745106701976,-0.04809809217910525,0.048146041324267315,-0.04814604152214641,0.04814604079413081,0.048026655162636066,-0.04814604291859302,0.04790344103800431,-0.04814604286335451,-0.05762747960020886,0.057774997462997045,-0.05777499915918599,0.057774995986009436,0.0576055808146482,-0.05777500140529717,0.05743073030559241,-0.05777500132677901,-0.09999993488513491,0.09999349266763001,-0.0999999335195911,0.09842967590445663,0.09999993343666284,-0.09941266953476693,0.09999993475756967,-0.09999207235461775,-0.009723915217086295,0.01249572656319278,0.16503021354190056,0.974982632516654,0.0010370620761823402,0.002591289145433477,-0.0061472637383260835,0.0029065406387027864,0.0006046644229673304,-0.6068566338051826,0.0038544659034610573,-0.0077361426328754895,0.004937705489000689,-0.05537199826190172,0.055473143378958784,-0.05547335374611094,0.0554223122647699,0.05532951419442953,-0.055454267228421936,0.05518106275488295,-0.05547309998879321,-0.06618678609871713,0.06632997179318513,-0.06633061753216545,0.06617358867680487,0.06616543463794829,-0.06627189332364145,0.06599495552370957,-0.0663298335290713,0.003774467118422367,0.0014301905480802173,0.22163501644087338,0.06165678635401148,0.010797419236710229,0.015361529970028862
4,-0.010192334651947021,0.012739356607198715,0.20092713832855225,0.9999730740759052,0.0007518015003719796,0.0031123439336085317,-0.006602971522520132,-0.0011702621853485727,0.002520786418507845,-0.0025858714888486317,0.0040382338408017256,-0.007553567471535084,0.006173910321954155,-0.05537199826190172,0.055473143378958784,-0.05547335374611094,0.0554223122647699,0.05532951419442953,-0.055454267228421936,0.05518106275488295,-0.05547309998879321,-0.06618678609871713,0.06632997179318513,-0.06633061753216545,0.06617358867680487,0.06616543463794829,-0.06627189332364145,0.06599495552370957,-0.0663298335290713,-0.09999989102622296,0.09999983329968383,-0.09999987987547818,0.09999980588833346,0.09999966035793555,-0.09951317315145856,0.09999966790174068,-0.09999262405997258,-0.009920581513649562,0.012620119846495347,0.1675779063715365,0.9749759818047051,0.0009174528369188244,0.002797229625063419,-0.006181300010046534,0.0015175012211924618,0.0014651880749917668,-0.5528583920101786,0.0036534210079170997,-0.0023751775444247033,0.004634197826458456,-0.06316897676479573,0.06329064668894205,-0.06329109207139805,0.06318320009411203,0.06313913655295773,-0.06323492531682769,0.06298231653225303,-0.06329031802596956,-0.0745321055488715,0.07467170582832389,-0.07467234008140912,0.07451922954871808,0.07451126480779313,-0.07456641330569626,0.0743450484257909,-0.07467085009684178,0.0034476725726507542,0.00025792537388068856,0.2044563021802167,0.0040629584520967855,0.012877917878645359,0.014725870836535232
5,-0.010216422379016876,0.012714706361293793,0.20104685425758362,0.9999722961416129,0.0008669120315155692,0.003251774548397515,-0.0066393806252321025,0.00037057522555017895,-0.0004392539572605678,0.0014931144719143505,0.00727113538331351,0.0037537003324461596,-0.008620673977392872,-0.06316897676479573,0.06329064668894205,-0.06329109207139805,0.06318320009411203,0.06313913655295773,-0.06323492531682769,0.06298231653225303,-0.06329031802596956,-0.0745321055488715,0.07467170582832389,-0.07467234008140912,0.07451922954871808,0.07451126480779313,-0.07456641330569626,0.0743450484257909,-0.07467085009684178,-0.0999996549730346,0.0999994219553692,-0.09999960056008682,0.09999925831569892,0.09999913048835264,-0.09955014831410251,0.09999923677330629,-0.09999663147146212,-0.009762471183104594,0.012292572933790368,0.17093204795288758,0.974969200136635,0.0011794980838417124,0.0034596560683360146,-0.006906317284028519,0.00372301618995144,-0.0017436053863114174,-0.49168175033259176,0.0065379478805113675,0.008240699086851353,-0.009238371204143534,-0.07107173668219874,0.07120019040145346,-0.07120073403250574,0.07107073009635016,0.07104756079302432,-0.07110407381301201,0.07088951170515174,-0.07119949020594853,-0.0826687684074532,0.0828048553781527,-0.08280549163538256,0.08265617464157002,0.08264839623643357,-0.08265726780446411,0.08248634589247676,-0.08280374199156695,0.0033521976370551273,0.0002891009065668038,0.1915344080706543,0.017482569786475603,0.01344070450264128,0.014161874897960336
6,-0.010127408429980278,0.012665539979934692,0.2011190950870514,0.9999717506505514,0.0010229209471234466,0.00330139255293531,-0.006674753989380668,0.0037117755327619882,-0.0019580208475520277,0.0011321822135386063,0.029410230181341156,-0.015512362912007993,-0.0054252140558195446,-0.07107173668219874,0.07120019040145346,-0.07120073403250574,0.07107073009635016,0.07104756079302432,-0.07110407381301201,0.07088951170515174,-0.07119949020594853,-0.0826687684074532,0.0828048553781527,-0.08280549163538256,0.08265617464157002,0.08264839623643357,-0.08265726780446411,0.08248634589247676,-0.08280374199156695,-0.09999989538373814,0.09999989441882069,-0.09999987742374652,0.09999987946545207,0.09615488492562664,-0.0999944213841082,0.09884700814841609,-0.09747021953545676,-0.009343365361834232,0.012065267519682723,0.17381647785551016,0.9749712243184978,0.0023606584048812586,0.0025871483733649115,-0.00678157136588816,0.0069567136845198,-0.004016767936410325,-0.43490244141799606,0.027200959711130034,-0.010229795401577556,-0.005673883427404517,-0.07890520922821773,0.07903463769519146,-0.07903521797982772,0.0788978728087764,0.07875874604468124,-0.07891251912167901,0.07868995826156548,-0.07895150421478535,-0.09060203873564067,0.09073472343558095,-0.09073534208687264,0.09058975822207599,0.09019767482308537,-0.09059027824776332,0.09030888806000643,-0.09048067039532345,0.0028472043688700715,0.00011996306054336515,0.16779913506502345,0.03072860622547649,0.013354980503051273,0.013573175073601207
7,-0.010094676166772842,0.012591611593961716,0.2011866271495819,0.9999693573128591,0.0007178928893545317,0.003913376922913685,-0.006741998677411669,0.0011462355411117247,-0.001765335563149564,0.0015832013960446992,-0.007767078207207637,0.027815523255963658,-0.008546283689429567,-0.07890520922821773,0.07903463769519146,-0.07903521797982772,0.0788978728087764,0.07875874604468124,-0.07891251912167901,0.07868995826156548,-0.07895150421478535,-0.09060203873564067,0.09073472343558095,-0.09073534208687264,0.09058975822207599,0.09019767482308537,-0.09059027824776332,0.09030888806000643,-0.09048067039532345,-0.09734344704084692,0.09999814498518345,-0.09999880365230163,0.09998676750576585,0.0999999494934179,-0.09999994633054608,0.09999994838778425,-0.09999994902827769,-0.009483789576775457,0.012053263790757648,0.17672801732764354,0.9749663920431194,0.00026203273303884245,0.005305460992801429,-0.006985007870091611,0.00639205780778613,-0.002695443426607397,-0.37838169717385556,-0.01096989442071989,0.03428919003651132,-0.008715210003790294,-0.08651122985865077,0.08672549627722756,-0.08672610450448034,0.08658728359115998,0.08631334048646451,-0.08659424516605395,0.08634498602902266,-0.08655076643380775,-0.09807133247133436,0.09846616984820977,-0.09846683889993099,0.09832369101710069,0.09794272790185002,-0.09832551592462384,0.0980511606972847,-0.09821864853826813,0.0025325914617844157,0.00116956692484889,0.14920165884985526,0.05583586139458088,0.012924849830453687,0.012834097978833118
8,-0.009436242282390594,0.01224634051322937,0.1996513158082962,0.9999838192909696,0.0013260600394342152,0.0004889001293010691,-0.005510326458653228,0.011660829925624545,-0.006412677928228586,-0.022577865580934418,0.021612627224264436,-0.08946775380957385,0.0399636004297113,-0.08651122985865077,0.08672549627722756,-0.08672610450448034,0.08658728359115998,0.08631334048646451,-0.08659424516605395,0.08634498602902266,-0.08655076643380775,-0.09807133247133436,0.09846616984820977,-0.09846683889993099,0.09832369101710069,0.09794272790185002,-0.09832551592462384,0.0980511606972847,-0.09821864853826813,-0.09999927951694929,0.09999987488830828,-0.09916466328929917,0.09999982930954039,0.09885800954987924,-0.09999982416925181,0.07917577749038997,-0.0999998463583128,-0.008084228580536888,0.011203885217947539,0.17561795334144578,0.9750260814836423,0.0022097608835451475,-0.003527807970480853,-0.003539161184935741,0.010239754957766042,-0.00871530229915054,-0.3471076336125758,0.01719020006248551,-0.07533637687828335,0.03566592273857724,-0.09393844290463281,0.09424639823929458,-0.09421987701814408,0.09410929980870021,0.09374640130192291,-0.09411327019714773,0.09317961783143808,-0.0940361164264589,-0.10561947711124593,0.10600450309083534,-0.10592163425636264,0.10586558167262722,0.10537996065929169,-0.10586736044343342,0.1035174594288916,-0.1057631669606427,0.000884230319034439,0.004207492875934056,0.10585542176855472,0.13249848539807377,0.01245492036351043,0.012392882298542027
9,-0.009682085365056992,0.012346334755420685,0.20131835341453552,0.9999708398745526,0.001271080132839807,0.0034302284297565676,-0.006703528085833214,0.003146639058326204,-0.0012606124610971686,0.023032169484846425,0.011451277047898695,0.05375415049447978,-0.03244104537707196,-0.09393844290463281,0.09424639823929458,-0.09421987701814408,0.09410929980870021,0.09374640130192291,-0.09411327019714773,0.09317961783143808,-0.0940361164264589,-0.10561947711124593,0.10600450309083534,-0.10592163425636264,0.10586558167262722,0.10537996065929169,-0.10586736044343342,0.1035174594288916,-0.1057631669606427,-0.09999657222704186,0.09970057895243002,-0.09999605100786176,0.06607233961395713,0.09999624247692333,-0.09702027058446441,0.09999671313585479,-0.09964835010725945,-0.00879810219850908,0.011782547991528091,0.1843288863548434,0.9750003152858294,0.0016700187112834676,0.006370725510330183,-0.008264032610988912,0.010830491368222409,-0.004108897430212857,-0.2500248014168501,0.0057108235446760875,0.07202978264342111,-0.03922835892181271,-0.10124620725736802,0.10157910880122534,-0.1015319532144599,0.10035139057669253,0.10103292047711039,-0.10135998696325145,0.09976974229881802,-0.10135535601600949,-0.11297864740616896,0.11332444840880745,-0.11327319850073976,0.10982617609220725,0.11274508589050175,-0.11292270349079403,0.11092919425675478,-0.11308392279735255,0.004347296489666075,0.004801578064569662,0.15674431012211865,0.15789520447810987,0.011774563875459282,0.011444203431557208
10,-0.0096206646412611,0.012236017733812332,0.20153513550758362,0.9999680909292565,0.001320044753454136,0.00421702921100527,-0.00665516865155311,0.0030355909178636457,-0.0035052180890713454,0.00970765997556809,0.0015342838678698428,0.0454393731849623,-0.003753425338570709,-0.10124620725736802,0.10157910880122534,-0.1015319532144599,0.10035139057669253,0.10103292047711039,-0.10135998696325145,0.09976974229881802,-0.10135535601600949,-0.11297864740616896,0.11332444840880745,-0.11327319850073976,0.10982617609220725,0.11274508589050175,-0.11292270349079403,0.11092919425675478,-0.11308392279735255,-0.09999868626122321,0.0999952204919719,-0.0999992395406641,0.09999859281682938,0.09999928372358934,-0.0999990529659903,0.09999861568052353,-0.09999677403138929,-0.008546265355574276,0.011417731764390208,0.18577307308269764,0.9749561024108122,0.0012782916689244852,0.006500370924797037,-0.00664459101360309,0.014770017292383399,-0.006998471737982631,-0.21240928720525926,-0.002074118016450609,0.05140909244601204,-0.0010180765737552722,-0.10839953755057655,0.10873107804753879,-0.10868298663403382,0.10628897655613119,0.10818048356999707,-0.10841740720483178,0.10664575167206422,-0.10850377125685609,-0.12015404984713707,0.12049085924778447,-0.1204412924922877,0.117080380971585,0.11992638711559817,-0.1200995412001232,0.11815582596838826,-0.12025650213055768,0.0010203022705631915,0.0006468265145401047,0.0794216591503412,0.03594995889681023,0.01100169925335209,0.010719414061721319
