step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1763961547.9722993,0.010649593407509258,-0.07336979673397921,0.40914486964999464,-0.04530762848320032,0.0016429335306604575,-0.013165500023479715,0.051259845801084614,-0.0054460219234782415,0.1,0.027,-0.004,0.996,-0.003,-0.002,-0.086,-0.004,-0.014,0.002,0.0,0.0,0.002,0.024,-0.008,-0.006,0.999,0.006,-0.008,-0.032,-0.001,0.004,0.006,-0.1,-0.0,0.0,0.09196436870506512,0.026751441893954866,0.004940100132809178,0.9974259834574353,0.0,0.0,-0.0717036088629299,-0.09709422328590298,0.00042222102392030445,0.08904734978713051,0.0,0.0,0.07309552701398496,0.09967372573826588,0.02669464480881152,-0.008922895265252839,0.996952942953186,0.0009853355169594873,-0.017217654342738982,-0.07607503552305574,-0.016740786148574167,-0.0002239574334804412,-0.10294516019171177,0.0,0.0,0.04489294012370054,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0018,0.0013,0.0023,0.0057
1,1763961548.0441363,0.012532552267270486,-0.06976776379080704,0.41448072109685363,-0.04546239722474229,0.01074599347474478,0.008838940124113445,0.07782236594054442,-0.006437297268109905,0.1,0.028,-0.004,0.996,-0.003,-0.002,-0.086,-0.016,-0.012,0.004,0.0,0.0,-0.001,0.024,-0.008,-0.006,0.999,0.01,-0.004,-0.032,-0.003,-0.002,-0.011,0.2,0.3,-0.0,0.0877545097531627,0.030460421482858914,-0.004496635573293958,0.9973697863281485,-0.004725269419773255,-0.010760745343871964,-0.07152193725213446,-0.12404504297397005,0.01939333604762761,0.04229857139493631,0.0,0.0,0.0727503391677461,0.09964260151179277,0.028025674527732566,-0.00890980499695547,0.9969313576902014,-0.0012021404254259013,-0.02366067311947088,-0.07460962042460054,-0.024423196550170542,0.015325234555426101,-0.022801395771505202,0.0,0.0,0.0636045218355123,-1.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,25.004727643060175,0.09999827500699897,0.08,100.0,100.0,0.5,55.0,0.08,3.2795079276442866e-05,-4.131790823273751e-05,0.002,0.0016,0.0061,0.0065
2,1763961548.109375,0.011824502919601855,-0.06830949163341438,0.41299667458718853,-0.04466346707509373,-0.0019736777049343384,-0.001429609686887573,0.04438985758878114,-0.001688148904849981,0.1,0.027,-0.004,0.996,-0.003,-0.002,-0.086,0.013,-0.005,-0.001,0.0,0.0,-0.002,0.024,-0.008,0.004,0.999,0.003,-0.02,-0.028,-0.028,-0.001,0.215,-0.4,-0.5,0.1,0.09204381751409886,0.028895928932191086,0.0013609357823255856,0.9973171109138513,-3.0154877887072617e-05,-0.02128002056855954,-0.07004098866902074,-0.11128569781636746,0.008335551300284011,0.07982332880749561,0.0,0.0,0.07281648024283341,0.09949253347135334,0.027744572772821885,-0.008797302980750758,0.9969470504809218,0.0006169728706674381,-0.028597658777341082,-0.07265240391289039,-0.04102329970322492,0.007628191735369775,0.010222291423961145,0.0,0.0,0.07186748035843782,-1.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,25.006275965492378,0.09999884364803804,0.08,100.0,100.0,0.5,55.0,0.08,-2.998623850613324e-05,-0.0002241077974172342,0.0057,0.0014,0.0022,0.0056
3,1763961548.1893435,0.009137211994967821,-0.07218366151064876,0.4121045296363311,-0.042691261737490147,-0.011958391758219937,-0.027909535840348693,0.047163859569111566,0.004278093303631187,0.106,0.024,-0.006,0.997,-0.006,-0.014,-0.082,0.077,-0.053,-0.031,0.0,0.0,0.112,0.019,-0.008,0.036,0.998,0.017,-0.049,-0.023,-0.081,-0.0,0.509,0.5,-0.6,0.2,0.10803251082685944,0.021715683913840877,0.004419243035298994,0.9975771082226143,0.0018584656730003262,-0.02607367582133939,-0.06447187514500206,-0.05352039564652161,-0.017086166649834207,0.10618462082577482,0.0,0.0,0.0814782442340458,0.10423445392882347,0.02378737234861053,-0.009036061968531975,0.996972219718389,0.0015139405965956746,-0.031616940187638845,-0.07102443373114149,-0.034973286706381224,-0.014624163690844974,0.031723739203548845,0.0,0.0,0.07653975659167012,-1.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,25.00236475359131,0.09999772839523632,0.08,100.0,100.0,0.5,55.0,0.08,-0.00040019281171968046,-0.001292104715635629,0.0028,0.0061,0.0092,0.0104
4,1763961548.2454402,0.0110340064761726,-0.060046354919164394,0.4118859011789379,-0.04181315493984354,0.01062612390539485,0.05166357526859072,0.05041992391757539,-0.0009458737289532518,0.097,0.031,-0.009,0.996,-0.001,-0.032,-0.078,-0.069,0.066,-0.001,0.0,0.0,0.046,0.01,-0.008,0.086,0.999,0.006,-0.04,-0.023,-0.16,-0.004,0.793,-0.3,0.3,-0.1,0.0714966829760065,0.03823469548525889,0.004767272239110949,0.9973672271835468,0.0006701558293317891,-0.03202322040301526,-0.06505903769952208,-0.2066024728501141,0.030848721952345823,0.12061018963938756,0.0,0.0,0.07340294824475085,0.09323639695936042,0.03403791341364759,-0.010808427537198587,0.9970421616948675,0.0017216136423672313,-0.033756023678678394,-0.06902531937410009,-0.10702963433428758,0.032085503928907536,0.052786241192487066,0.0,0.0,0.07855921689405437,-1.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,24.991346134522406,0.09999751000825183,0.08,100.0,100.0,0.5,55.0,0.08,0.001423337671508206,0.00037007174715249214,0.0019,0.0017,0.004,0.0103
5,1763961548.318177,0.013785575688281896,-0.051814403393759055,0.38493426911656325,-0.04077453539679202,0.01513709687006805,0.03365396326213113,-0.08327242266450596,-3.354665222278681e-05,0.086,0.037,0.053,0.997,-0.003,-0.031,-0.076,-0.09,0.019,1.675,0.0,0.0,0.063,-0.004,-0.008,0.141,0.999,0.008,-0.04,-0.022,-0.226,0.004,0.871,-0.1,-0.4,0.1,0.056415222469485465,0.04952579900281208,0.10964224741978283,0.9972253658245196,0.0018552985364703697,-0.03967196983779308,-0.06296238903252521,-0.23843600203986207,0.05375751815191224,0.33940144930117383,0.0,0.0,0.07303202871936064,0.07994511080802927,0.042278523745289245,0.05291898095901265,0.9970138155449445,0.0019606829412592555,-0.037529500273195154,-0.06746216676152142,-0.17045390468784016,0.05475165743881025,0.26497479960751935,0.0,0.0,0.07803467470453279,-1.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,25.19328653326724,0.09994369495418756,0.08,100.0,100.0,0.5,55.0,0.08,0.003166446700924554,0.0005795441972199526,0.0022,0.0016,0.0041,0.0162
6,1763961548.3807826,0.01375000841963156,-0.031592602821716456,0.328293846338754,-0.03934406334542728,0.00154536061778355,0.09463220243599309,-0.2350853302494758,0.0020555433322246904,0.072,0.04,0.199,0.997,-0.002,-0.023,-0.073,-0.29,0.182,1.612,0.0,0.0,0.052,-0.021,-0.008,0.193,0.999,0.006,-0.049,-0.017,-0.275,0.001,0.884,-0.4,-0.9,0.2,0.002122562410868883,0.053554032029771485,0.336220074927365,0.9970919760210708,0.0027992306108199634,-0.04805069764182529,-0.05908372126497955,-0.4453404591826935,0.053589064726695064,0.7153241843475732,0.0,0.0,0.07035202081943974,0.0632109453240535,0.04611977804425871,0.2067228168766405,0.9970682894595191,0.0016637918202288045,-0.043141883542866605,-0.0631730625775028,-0.23871216913348559,0.05709178007378249,0.669950165985943,0.0,0.0,0.07565461686415448,-1.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,25.73802430097436,0.0987956874192098,0.08,100.0,100.0,0.5,55.0,0.08,0.00372314380340211,-0.0027873122254600423,0.0024,0.002,0.0043,0.0096
7,1763961548.437735,0.011615510105702902,-0.03506747864177148,0.31823657047513193,-0.036970459773361566,-0.008953740517189338,-0.02132345445298968,-0.009249648525765897,0.006950009942150183,0.054,0.038,0.283,0.997,-0.001,-0.02,-0.071,-0.161,-0.17,0.315,0.0,0.0,0.083,-0.043,-0.009,0.251,0.999,0.013,-0.039,-0.015,-0.436,0.001,1.057,0.4,0.7,0.1,0.016711161641442287,0.04392718889851793,0.43229417476832593,0.9976031919163866,0.0024346132001741455,-0.04339641403776669,-0.05383953366686427,-0.28484781963837547,0.020514523872917006,0.663531983281608,0.0,0.0,0.07087684204160716,0.04575538297178039,0.04069545111965586,0.2757748324812699,0.9975439147689269,0.0026161111093604746,-0.037720056904830095,-0.05896177895250055,-0.28827459445835835,0.027840728416155106,0.7726211672937642,0.0,0.0,0.07405882489541027,-1.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,25.833642969666872,0.09821508065535599,0.08,100.0,100.0,0.5,55.0,0.08,-0.0015213339992124321,-0.005074451404323839,0.0018,0.0015,0.0022,0.0048
8,1763961548.509855,0.01056860682579112,-0.02298688049177204,0.29608164866396336,-0.034749640877730234,-0.003782577636346044,0.05601955591977578,-0.07099503774645179,0.006482787006486449,0.025,0.043,0.396,0.998,0.0,-0.014,-0.069,-0.343,0.009,1.885,0.0,0.0,0.065,-0.066,-0.01,0.296,0.999,0.019,-0.037,-0.013,-0.341,-0.012,0.638,0.2,0.0,0.1,-0.04616934942973199,0.05210201012913023,0.5724352830483727,0.9979501398014371,0.002987822974614305,-0.03987923752271865,-0.04996236382289182,-0.44173871215039395,0.03163813621440383,0.7455502810794749,0.0,0.0,0.06600314995806823,0.0102483101365969,0.04731713622824513,0.3985105185463613,0.9979262246570952,0.003848035848362677,-0.03435424622527885,-0.054297592285841134,-0.3784228586682141,0.04059166226863667,0.9491446094925133,0.0,0.0,0.07215015763123539,-1.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,26.217477174305902,0.09454882102663548,0.08,100.0,100.0,0.5,55.0,0.08,0.001365326377715325,0.0012232869358861248,0.0016,0.0023,0.0042,0.0075
9,1763961548.5794706,0.008045197622297079,-0.0026979846340906763,0.30248292092034273,-0.03295285913086985,-0.011295970164246327,0.09857111922693532,0.06901656736489238,0.004640203624585641,-0.001,0.042,0.444,0.998,0.001,-0.011,-0.067,-0.533,-0.017,1.006,0.0,0.0,0.07,-0.089,-0.01,0.328,0.999,0.013,-0.03,-0.012,-0.378,-0.005,0.465,-0.2,0.2,0.0,-0.10975421256134224,0.051007818282089355,0.6032810385928908,0.9982374043607486,0.00421867607531379,-0.03467062125268903,-0.047981614491795194,-0.6061451754633487,0.02183942564207697,0.6061960160921587,0.0,0.0,0.0628749965240209,-0.022279203987934287,0.047569337842670145,0.46195651279511685,0.9982723970176125,0.004733664084392199,-0.026196218981863577,-0.05237911690837199,-0.4264001417626735,0.03076946239808402,0.8542688748784557,0.0,0.0,0.07007897344008013,-1.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,26.23202407731012,0.09438705614013622,0.08,100.0,100.0,0.5,55.0,0.08,-0.001297386155770844,0.006095803260748053,0.0033,0.0019,0.004,0.0072
