step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1763957922.4821851,-4.848000242853655e-10,-4.848000242853655e-10,0.09999999616627465,2.0177340805256137e-05,-2.4240001214268274e-09,-2.4240001214268274e-09,0.49999998083137326,0.00010088670402628068,0.182,-0.172,0.031,0.997,0.004,0.004,0.082,-0.008,-0.011,0.018,0.0,0.0,0.003,0.171,-0.09,-0.007,0.996,-0.0,-0.027,0.082,0.003,0.001,-0.008,0.1,0.0,0.0,0.182,-0.172,0.031,0.9973204387243373,0.0,0.0,0.07315697166159624,-0.008,3.0769230770806195e-05,-0.0001948717948817865,0.0,0.0,0.003,0.18113846154774932,-0.1714769230857167,0.030112820514364515,0.9973204387243371,0.0,0.0,0.07315697166159622,8.205128205548868e-05,3.0769230770806195e-05,-0.0001948717948817865,0.0,0.0,2.0512820513873225e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0023,0.0036,0.0029,0.002
0,1763957922.5448222,-0.0063408145250859515,-0.005134407123920927,0.19749993029333962,0.01678164608274358,-0.031704070262029635,-0.025672033256204516,0.49999967015610924,0.08380986587729229,0.182,-0.171,0.03,0.997,0.004,0.004,0.082,0.002,0.006,-0.009,0.0,0.0,-0.001,0.171,-0.089,-0.006,0.996,-0.004,-0.03,0.082,-0.002,0.004,0.033,-0.3,-0.1,-0.0,0.1821333333325011,-0.17099390862882302,0.0143889611632722,0.9973218685914663,0.0,0.0,0.07313747622953573,0.0019999999611050832,9.137058727757454e-05,-0.458278723085754,0.0,0.0,-0.0004611556067357611,0.18114720813102123,-0.17147208122697816,0.03011167512843184,0.9973201917762308,0.0,0.0,0.07316033813086355,0.00010152284264474632,9.137055838027018e-05,-0.0002842639594052909,0.0,0.0,1.015228426447553e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0018,0.0022,0.0026,0.0024
0,1763957922.6076455,-0.0087592117191015,-0.007064585462135869,0.2925624318249042,0.027350193397264105,-0.012884587785713483,-0.010292692581564827,0.49999999894449054,0.05494044233294556,0.182,-0.171,0.031,0.997,0.004,0.004,0.082,-0.003,0.017,0.018,0.0,0.0,-0.003,0.171,-0.09,-0.006,0.996,-0.002,-0.03,0.082,-0.005,0.002,0.005,-0.2,-0.1,0.0,0.18158333625921685,-0.1709647594891535,-0.025212545724152387,0.9973526088605398,0.0,0.0,0.07271707914290251,-0.003762801434068402,0.0008516673083849217,-0.7510019350452778,0.0,0.0,-0.020228725472712095,0.1811641791134891,-0.1714726368244514,0.030119402986572896,0.9973197105131967,0.0,0.0,0.07316689840271956,-5.97014925402849e-05,0.0001492537313507068,-9.950248756712004e-06,0.0,0.0,9.950248756714654e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0013,0.0013,0.0023,0.0002
0,1763957922.687614,-0.010855013213158973,-0.00951369511414939,0.3852483667019125,0.0338750749204031,-0.01157390893517505,-0.013128621442834599,0.4999999783631543,0.03604318179035301,0.182,-0.172,0.031,0.997,0.004,0.004,0.082,0.009,-0.027,-0.014,0.0,0.0,0.005,0.171,-0.09,-0.006,0.996,-0.001,-0.029,0.082,-0.003,-0.001,0.008,-0.0,-0.0,-0.0,0.1836510014073716,-0.1718863141841953,-0.08005845755152713,0.9974032161307319,0.0,0.0,0.07201961157957261,0.005509200773562986,0.0031049555102494564,-0.8842870567399181,0.0,0.0,-0.037107948181018424,0.18117241380202667,-0.1714778325207625,0.030128078819217915,0.9973194759741653,0.0,0.0,0.07317009527543636,2.9556650247760286e-05,-0.00011822660099104808,-0.0001477832512388053,0.0,0.0,5.9113300495523566e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0111,0.0024,0.0045,0.0003
0,1763957922.741975,-0.012116312103746342,-0.010641680308103418,0.44602853509353546,0.03752021213370009,-0.00766337110458172,-0.0068291378590388165,0.3520568877958543,0.02246007043153533,0.182,-0.171,0.03,0.997,0.004,0.004,0.082,0.003,0.011,-0.01,0.0,0.0,-0.003,0.171,-0.089,-0.006,0.996,-0.004,-0.028,0.082,0.004,0.006,0.024,-0.2,0.1,0.0,0.18205612243380445,-0.17050275396800108,-0.03332403008503135,0.9975304615265216,0.0,0.0,0.07023516445972712,-0.0057456524091652455,0.007920103867902185,-0.41378018643055825,0.0,0.0,-0.051286481159417,0.18118048781371465,-0.17147317074007198,0.030126829269762054,0.9973192453541084,0.0,0.0,0.07317323859384427,5.8536585368708025e-05,-9.756097561453944e-06,-0.0002439024390362863,0.0,0.0,2.92682926843553e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0018,0.0017,0.0025,0.0002
0,1763957922.819564,-0.012854366054292849,-0.011456983791720665,0.4195587587693373,0.03969526619673991,-0.00520480876570081,-0.005406727456599163,-0.0765953147342989,0.015565296831911619,0.182,-0.171,0.03,0.997,0.004,0.004,0.082,0.005,-0.005,0.001,0.0,0.0,0.003,0.171,-0.09,-0.007,0.996,0.002,-0.026,0.082,0.005,-0.003,-0.045,0.4,0.2,0.0,0.1821196633753109,-0.1701653785295686,0.011415561058581521,0.9975701980273733,0.0,0.0,0.06966850082804457,-0.008125636541419129,0.011779333526017649,-0.012283972229610182,0.0,0.0,-0.05811561949022695,0.18118660287948105,-0.17145454546274902,0.030124401915316717,0.9973187954655442,0.0,0.0,0.07317937011997255,-0.00016267942584510556,0.0002488038277630981,-0.000229665071781322,0.0,0.0,-2.87081339726648e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0032,0.0058,0.0077,0.0003
0,1763957922.8764977,-0.013490762888751007,-0.015001749689807466,0.3996472908297209,0.040900095858164176,-0.004788779929077402,-0.019155952464399103,-0.047112494851914724,0.010986056581713772,0.183,-0.172,0.03,0.997,0.004,0.004,0.082,0.044,-0.042,0.004,0.0,0.0,-0.002,0.172,-0.089,-0.006,0.996,-0.001,-0.025,0.082,0.001,-0.005,-0.027,0.2,0.1,0.0,0.19058916946729415,-0.17099883375203548,0.04429858255999549,0.9976150519532792,0.0,0.0,0.06902324330438367,0.028096124699656274,0.013390703008323223,0.16403140398938754,0.0,0.0,-0.06283918565608608,0.18120187794277812,-0.17144600939772048,0.030122065729113513,0.9973183600718891,0.0,0.0,0.07318530360337253,0.0001971830986008056,-0.00013145539906720717,-0.00022535211268663444,0.0,0.0,-9.389671361942498e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0023,0.0018,0.0027,0.0003
0,1763957922.9471154,-0.013613399469094054,-0.016383831105570082,0.3969091441722976,0.0416249646718995,-0.0022995282628090977,-0.008785625790039005,0.036265178066598694,0.00873685605094715,0.183,-0.172,0.03,0.997,0.004,0.004,0.082,0.044,-0.042,0.004,0.0,0.0,-0.002,0.171,-0.089,-0.006,0.996,-0.004,-0.029,0.082,-0.001,0.003,0.02,-0.2,0.0,-0.0,0.190485586985462,-0.17092628044602345,0.05220717090114182,0.9976331908635899,0.0,0.0,0.0687605736402191,0.026829850659426304,0.013765760111509352,0.15682514595455188,0.0,0.0,-0.06525559864352769,0.18120187794277812,-0.17144600939772048,0.030122065729113513,0.9973183600718891,0.0,0.0,0.07318530360337253,0.0001971830986008056,-0.00013145539906720717,-0.00022535211268663444,0.0,0.0,-9.389671361942498e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0041,0.0024,0.004,0.0006
0,1763957923.0136824,-0.013223110423662962,-0.013977867630056168,0.4053198088662241,0.04202713271688944,0.0002497702935186936,0.009981838489373309,0.09166696649116973,0.007213960808937095,0.182,-0.171,0.03,0.997,0.004,0.004,0.082,0.011,0.027,0.005,0.0,0.0,-0.007,0.172,-0.089,-0.006,0.996,-0.003,-0.029,0.082,0.004,0.006,0.027,-0.2,0.1,0.0,0.1827884398822695,-0.1699012910313022,0.038045531474586496,0.99765599677863,0.0,0.0,0.06842888346040953,-0.008122350296917378,0.01385713524331501,0.05886393548007898,0.0,0.0,-0.06710148918942259,0.18121658987010078,-0.17144700461619578,0.030119815669590582,0.9973179384503449,0.0,0.0,0.0731910489414793,0.00013824884793263697,0.00011981566820828401,-0.00016589861751916418,0.0,0.0,-3.686635944870287e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0027,0.0042,0.0039,0.0003
0,1763957923.083501,-0.012970855431856552,-0.01103133151546899,0.4078946220293102,0.04237185150773196,-0.0003916138439258258,0.012985447119178867,0.06353904192370845,0.0069769855438238,0.182,-0.172,0.03,0.997,0.004,0.004,0.082,-0.01,-0.036,-0.003,0.0,0.0,0.006,0.171,-0.089,-0.005,0.996,-0.006,-0.03,0.082,-0.001,0.0,0.004,-0.0,-0.0,-0.0,0.17833594414159928,-0.17098038333542906,0.033296781664401365,0.9976290891033829,0.0,0.0,0.06882005939226289,-0.03137215006780584,0.01353706748657763,0.044908026341334194,0.0,0.0,-0.06681723277802175,0.18122374430051105,-0.1714520548023494,0.03011872146256232,0.9973177325915707,0.0,0.0,0.0731938539660833,4.5662100458704856e-05,-0.00021004566211005028,-0.0001917808219265638,0.0,0.0,1.8264840183483116e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0046,0.0019,0.0058,0.0007
