step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1763963614.1059582,-0.0057489256039143,0.0020236115696727498,0.41076577202941905,-0.035822372288221015,-0.0012979806040228706,0.007421105202446449,0.05177850196726369,-0.004538187855001129,-0.032,-0.071,0.015,0.998,-0.003,0.001,-0.064,-0.007,0.025,-0.012,0.0,0.0,-0.004,0.034,-0.01,-0.006,0.998,0.004,0.008,-0.065,0.007,-0.002,0.007,0.2,0.1,-0.0,-0.03435374291709203,-0.07501445642143334,0.016103852875135324,0.9984026602173218,0.0,0.0,-0.05649892097177681,-0.006865335887857758,0.003169270790912859,0.033615136707779984,0.0,0.0,0.033572877673974,-0.033796439679214516,-0.07501300728001117,0.011153154474348316,0.9983984165990837,-0.0012819076377568826,-3.218701027088113e-05,-0.05655932645680263,0.001506557980242791,0.0032951505963754613,-0.10039374780158075,0.0,0.0,0.03522700765956091,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0018,0.0034,0.0038,0.0048
1,1763963614.172539,-0.007563702524993371,-0.0005716952364459606,0.41555087393841555,-0.035654160734741244,-0.00979250030588464,-0.012723582584384458,0.0752712310486599,-0.0036367387686287046,-0.031,-0.072,0.015,0.998,-0.002,0.001,-0.064,0.022,-0.002,-0.026,0.0,0.0,0.005,0.034,-0.01,-0.006,0.998,-0.0,0.007,-0.064,-0.003,0.006,0.03,-0.0,-0.1,0.0,-0.03182909260441651,-0.07637167816397486,0.013333884080451577,0.9984109813553799,0.005197086616017001,0.0041071974393311955,-0.05596100007047187,0.02613616876128287,-0.01472134717250388,-0.007649656238475028,0.0,0.0,0.037525816481470055,-0.03265940538765695,-0.07636726592964296,0.0118184181303417,0.998466469897244,0.0010183043932598303,0.002594725526359898,-0.05528959166553645,0.013414504346151872,-0.014239668314117465,-0.013732646902377823,0.0,0.0,0.05021764141120588,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,25.004653305334255,0.09999813014217475,0.08,100.0,100.0,0.5,55.0,0.08,-3.0026776257519107e-05,-2.008084152987119e-05,0.0018,0.0017,0.0035,0.0068
2,1763963614.244352,-0.00678600367904888,0.001242455113836257,0.4138585611893114,-0.03540273227895655,0.002943031414098291,0.008999289846855343,0.043482295496781294,-0.0031996278129192163,-0.031,-0.072,0.015,0.998,-0.003,0.001,-0.064,-0.007,0.011,0.021,0.0,0.0,-0.007,0.033,-0.01,0.007,0.998,0.002,-0.025,-0.057,-0.01,-0.015,0.277,-0.1,-1.1,0.1,-0.03380447712536264,-0.0755027802830271,0.01595151503828597,0.9984852562470599,-0.0005122409376888869,0.0012353946506608062,-0.05500367684548138,-0.005812611975394644,-0.0005939011842672292,0.03637469867133475,0.0,0.0,0.032076206046436934,-0.03306369095806494,-0.07549733425641361,0.013542716614572486,0.9985524551954698,-0.001957767890526691,0.0006418572484627529,-0.05374708724441652,0.005216000714396209,-0.0005381313468569616,0.03554786786374879,0.0,0.0,0.05651905236063104,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,25.006886544800505,0.09999876200257482,0.08,100.0,100.0,0.5,55.0,0.08,7.194733861233944e-05,8.425290940551882e-05,0.0016,0.0017,0.0048,0.0108
3,1763963614.3190691,0.0016811073690549821,0.005152510417468363,0.40532426211057937,-0.033725327033248556,0.041487304780638196,0.019705583407390058,0.009060824755003322,0.0039616846936704015,-0.031,-0.058,0.035,0.998,-0.004,-0.005,-0.061,-0.037,0.209,0.326,0.0,0.0,0.108,0.032,-0.01,0.045,0.998,0.007,-0.015,-0.053,-0.032,0.006,0.688,0.7,0.0,0.2,-0.03575935480503443,-0.05871782684697642,0.04223575347128394,0.9986680222885835,-0.00665851567883765,0.0002779864207637895,-0.051164129531479086,-0.035938849970102806,0.09072963236057809,0.12810882790785308,0.0,0.0,0.08212904660200453,-0.03313312907374727,-0.05872391481931047,0.030096201591572974,0.9986194763544177,-0.004665134302180601,0.0007996663367732111,-0.052313846172128524,0.003466909384101057,0.09022235835536668,0.12787451038118225,0.0,0.0,0.05964630980257235,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,25.034776498957036,0.09999856866715713,0.08,100.0,100.0,0.5,55.0,0.08,0.0020088160004896743,0.0003755092538184309,0.0029,0.0033,0.0046,0.0133
4,1763963614.3777215,0.004343736605566691,-0.002494982798542591,0.39795026625571706,-0.03242659594287252,0.01352328460369043,-0.03759340227787122,0.013795553489510972,0.0022779895727241773,-0.027,-0.059,0.056,0.998,-0.002,-0.007,-0.059,0.077,-0.004,0.432,0.0,0.0,0.097,0.028,-0.01,0.112,0.998,0.005,-0.026,-0.053,-0.063,-0.017,1.01,-0.3,-0.6,-0.1,-0.024776404113128665,-0.057967209297610615,0.06811703505435107,0.9987355006765812,-0.004342213068995038,0.0013217437978757165,-0.05006793252467001,0.07954333064248946,0.07062735224770601,0.1931817552895685,0.0,0.0,0.07539865779948483,-0.028488070460582438,-0.05797970320702908,0.05200634234444074,0.9987009450274227,-0.0013772909966542001,0.002139204347029777,-0.05089154424465235,0.023859054437233712,0.07018579434893155,0.19299618372923288,0.0,0.0,0.05943507139940979,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,25.06979855815904,0.09995950245607456,0.08,100.0,100.0,0.5,55.0,0.08,0.0008715435355701464,-0.0006929897053530765,0.0017,0.007,0.0035,0.0066
5,1763963614.4503446,0.004006725805775608,-0.0031343765793405455,0.37100476811482885,-0.03192517606361424,-0.0011420869232595821,-0.0035088417538075914,-0.08498370742247639,-0.001546225096567707,-0.025,-0.058,0.162,0.998,-0.003,-0.001,-0.057,0.037,0.002,1.591,0.0,0.0,0.062,0.024,-0.01,0.184,0.999,0.001,-0.018,-0.048,-0.081,0.009,1.111,-0.2,0.0,0.2,-0.025340819928628487,-0.05728990888528576,0.18735101282832303,0.9987286119591817,-0.0018078288964260645,0.002501924475731917,-0.05031532353752073,0.038557262183524156,0.05613044960461416,0.38776568079228346,0.0,0.0,0.05887375642680444,-0.026038625828928505,-0.057301906716556494,0.1276180704529276,0.9987303368823528,-2.6506768765303024e-05,0.0001956208370863624,-0.05037534338087711,0.027962351920605047,0.0558343430068399,0.3875896982511555,0.0,0.0,0.05776037100603543,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,25.27357110688399,0.09949776272421619,0.08,100.0,100.0,0.5,55.0,0.08,-0.0005673378466036709,-0.0010159889736725053,0.0022,0.0042,0.0057,0.0127
6,1763963614.5130224,0.0030677606663311796,0.009895843851247223,0.33281521092712396,-0.03207536058785806,-0.004193984971500192,0.06475930508052127,-0.14457218992417087,-0.004741569629170892,-0.025,-0.053,0.309,0.998,-0.002,0.003,-0.055,-0.131,0.059,1.44,0.0,0.0,0.032,0.018,-0.01,0.259,0.999,0.007,-0.009,-0.051,-0.09,-0.003,1.159,0.2,0.2,-0.0,-0.03765696563780196,-0.053277417051085456,0.3515768002303321,0.9986648672791504,-0.0005328354718733057,0.00043487821238081615,-0.0516527814315673,-0.1313168722490341,0.0564869298572233,0.6235792296534965,0.0,0.0,0.04540018387239724,-0.02788800475824052,-0.053285659314379424,0.2559879844942827,0.9986932136858541,0.00042112821764127685,-0.0004988799827093586,-0.05110223779452507,0.015213828032412002,0.05631841020520503,0.6234185635568008,0.0,0.0,0.056124440067689296,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,25.65127042949573,0.09785178268191387,0.08,100.0,100.0,0.5,55.0,0.08,-0.0009898541800124204,0.0007256624471378655,0.0035,0.0016,0.0038,0.0116
7,1763963614.5911474,0.0012275405322013234,0.014700851258831086,0.30917803211586214,-0.03172709594427225,-0.008817630587357883,0.025262017519325226,-0.07658399269041881,-0.002268096855553181,-0.03,-0.056,0.413,0.999,-0.002,0.005,-0.054,-0.112,-0.052,2.43,0.0,0.0,0.066,0.011,-0.011,0.337,0.999,0.009,-0.01,-0.049,-0.114,-0.009,1.189,0.2,0.3,-0.0,-0.040539479581199626,-0.05506137584402965,0.46412013409720876,0.9987110641759134,0.0004735419021003325,-0.0006164938692297976,-0.0507504284316002,-0.11056793454385745,0.03890064601236409,0.7200128370157374,0.0,0.0,0.06054455965410655,-0.03336037816110493,-0.05506434121858253,0.3729750300837402,0.9986955632848986,0.0009758795197209526,0.0028264681488480207,-0.050972841906506514,-0.00277737952287825,0.038885571729504506,0.7198713008674189,0.0,0.0,0.05631160037246974,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,25.975280501108667,0.0953163339322613,0.08,100.0,100.0,0.5,55.0,0.08,-0.004391999193469403,0.0038548754193461873,0.0038,0.0039,0.0098,0.0127
8,1763963614.6575172,0.0029848597582468363,0.02020509540383756,0.2920952581987647,-0.032130262646355906,0.00894003869675273,0.02935882713238624,-0.04676661557100428,-0.005981720503452304,-0.038,-0.043,0.526,0.999,-0.002,0.009,-0.054,-0.153,0.251,2.301,0.0,0.0,0.012,0.003,-0.011,0.41,0.999,0.01,-0.007,-0.048,-0.103,-0.017,1.083,0.3,0.2,-0.1,-0.04981376243976532,-0.04115649811875606,0.5806841276219951,0.9986334345467116,0.0006721736955429603,0.002703306036897083,-0.052187198855969896,-0.14857175606813097,0.0704946918142103,0.758728484427684,0.0,0.0,0.03648238843893538,-0.04130700404478613,-0.04115563696832765,0.489101253611794,0.9986746690881187,0.0007176419063563242,0.005028914049082367,-0.05121621164550929,-0.02102775169412946,0.07055533479405868,0.758600001393769,0.0,0.0,0.055393004859600525,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,26.286689423676005,0.09179381383250353,0.08,100.0,100.0,0.5,55.0,0.08,0.0015006549826410134,0.00923768593662893,0.0024,0.0029,0.0139,0.0129
9,1763963614.7158132,0.003645265013963467,0.029314718648690914,0.2791759571294009,-0.03201699377778355,0.003675133748364008,0.04807375314974646,-0.028084598071973443,-0.0034499384879327242,-0.054,-0.037,0.665,0.999,-0.003,0.013,-0.052,-0.236,0.086,2.013,0.0,0.0,0.042,-0.007,-0.012,0.472,0.999,0.005,-0.01,-0.044,-0.136,-0.006,0.896,0.1,0.1,0.1,-0.06638308767422621,-0.03548208412300343,0.719236459858218,0.9986732637420273,0.0007449651593972737,0.004938268503525029,-0.05125203232990564,-0.2293779613794108,0.0717302806218277,0.7408794637546641,0.0,0.0,0.05014458739002943,-0.05419083890464044,-0.03547945476080985,0.5964227000726736,0.9986712737306381,0.001528893690294468,0.007493079789908612,-0.05096276350994468,-0.046621199019061255,0.0717998104471125,0.7407599606770732,0.0,0.0,0.055855194644581774,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,26.550953336150304,0.08797124726691156,0.08,100.0,100.0,0.5,55.0,0.08,0.0011697090421032012,0.016783492918060746,0.0023,0.0057,0.0054,0.0087
