step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1763963747.2984827,-1.7389401634110064e-10,-1.7389401634110064e-10,0.09999999963909258,-6.727704333257848e-06,-8.694700817055032e-10,-8.694700817055032e-10,0.49999999819546287,-3.363852166628924e-05,-0.034,-0.039,0.001,0.998,-0.002,0.001,-0.056,0.006,-0.005,-0.0,0.0,0.0,-0.001,0.013,-0.011,-0.005,0.999,0.004,-0.013,-0.049,-0.011,0.003,0.026,-0.2,-1.1,-0.0,-0.03416528925902196,-0.038743801656094756,0.001,0.9987507418436461,0.0,0.0,-0.049969547394053404,0.006,-0.00041322314053001026,1.6528925621209124e-05,0.0,0.0,-0.001,-0.03416528925902196,-0.038743801656094756,0.001173553719105238,0.998750741843646,0.0,0.0,-0.04996954739405341,0.00014876033059079173,-0.00041322314053001026,1.6528925621209124e-05,0.0,0.0,0.000280991735560413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0028,0.0024,0.0053,0.0004
0,1763963747.3587613,-0.0013822074716125304,0.000973803572066949,0.19749991813612636,-0.011488739750446307,-0.006911036510329322,0.004869018708068075,0.4999995924400555,-0.0574109011936069,-0.034,-0.039,0.001,0.998,-0.002,0.001,-0.056,0.0,-0.002,-0.001,0.0,0.0,-0.002,0.013,-0.011,-0.005,0.999,0.004,0.006,-0.049,-0.001,0.002,0.011,-0.0,0.2,0.0,-0.034160000002968226,-0.03878080000281484,-0.014591087602819255,0.9987480040722267,0.0,0.0,-0.05002423774275221,-1.1000576604408208e-11,-0.00043199998657853335,-0.45798044749703676,0.0,0.0,-0.0008671875622230096,-0.03416000000273284,-0.03875200000310046,0.0011680000000934274,0.9987502469502348,0.0,0.0,-0.0499794379404683,9.600000000766535e-05,-0.00043200000003455264,1.6000000001288052e-05,0.0,0.0,0.00024000000001920022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0016,0.0023,0.0027,0.0002
0,1763963747.4273982,-0.0019718462032200824,0.0019680731332793197,0.29256242001812094,-0.018711273463909016,-0.003120969591989325,0.005093073252570222,0.4999999991769886,-0.03754876103611933,-0.035,-0.039,0.001,0.998,-0.002,0.001,-0.056,-0.009,0.006,0.003,0.0,0.0,0.001,0.014,-0.011,-0.006,0.999,0.013,0.007,-0.048,0.002,0.0,-0.01,0.2,0.2,0.0,-0.035370156145465355,-0.03879645141859347,-0.05520285322086439,0.9987636871199983,0.0,0.0,-0.049710132673995135,-0.008859363183813532,-0.00016823222829099696,-0.7509280787494427,0.0,0.0,0.013644557684426198,-0.034173228349147516,-0.03875590551486295,0.0011653543308004083,0.9987500093240231,0.0,0.0,-0.0499841862518929,-4.724409449192341e-05,-0.0003307086614433554,6.299212598921993e-05,0.0,0.0,0.0002519685039568483,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0028,0.0021,0.0022,0.0016
0,1763963747.494045,-0.002136530604507247,-0.0009184748426176747,0.3852483514964064,-0.023135744991567193,-0.0010699027818383336,-0.01418673073782506,0.49999995989369234,-0.02446126682127952,-0.034,-0.039,0.001,0.998,-0.002,0.001,-0.056,0.041,0.025,-0.011,0.0,0.0,-0.002,0.014,-0.011,-0.007,0.999,0.016,0.007,-0.048,-0.002,-0.004,-0.017,0.4,0.3,-0.1,-0.025953209965692947,-0.0388109799233081,-0.11000450159001217,0.998791256882992,0.0,0.0,-0.04915307898894227,0.041758462547845814,0.0004248049224594922,-0.8840076855922167,0.0,0.0,0.02550744889365618,-0.034183206109479655,-0.038778625957158884,0.0011603053436000088,0.9987495523888991,0.0,0.0,-0.04999331558292336,0.0003358778626210459,-0.00032061068704736744,0.000122137404589484,0.0,0.0,0.00021374045803158377,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0018,0.0019,0.0035,0.0007
0,1763963747.5604374,-0.0025797733759628087,0.0010237733007108115,0.44817312483378124,-0.02563730526319775,-0.002483280182841213,0.00959643136131522,0.362779910623925,-0.015399769482098686,-0.034,-0.039,0.001,0.998,-0.002,0.001,-0.056,-0.005,0.005,0.002,0.0,0.0,-0.002,0.014,-0.011,-0.007,0.999,0.015,-0.003,-0.046,0.007,-0.012,-0.066,0.4,-0.9,0.2,-0.03507483187217801,-0.03872884027936489,-0.06226145689528209,0.9988407035934864,0.0,0.0,-0.048137810968811375,-0.0037468536193197345,0.0015460797234385188,-0.41343211742559394,0.0,0.0,0.034702736427870556,-0.03417777778030948,-0.038785185188058374,0.00115555555564114,0.998749118277508,0.0,0.0,-0.05000198735950592,0.00010370370371137199,-0.0002962962963182367,5.9259259263656425e-05,0.0,0.0,0.00020740740742277163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0019,0.003,0.0032,0.0003
0,1763963747.6349187,-0.0027826247255325377,0.0016319350795548234,0.4217594626394061,-0.02702473754153251,-0.0013367284198439933,0.0031687805568089123,-0.07604667036765303,-0.01014182454957352,-0.034,-0.039,0.0,0.998,-0.002,0.001,-0.056,0.002,-0.016,-0.008,0.0,0.0,0.005,0.014,-0.011,-0.005,0.999,0.008,0.004,-0.048,0.002,0.001,-0.005,0.0,-0.0,0.0,-0.033670875375245005,-0.03870992521959305,-0.018413488494376615,0.9988785914480238,0.0,0.0,-0.04734511111838309,0.0030260632290501207,0.0021834190191149985,-0.007869860197362032,0.0,0.0,0.040299468812824785,-0.03417518248424641,-0.03878832117071465,0.0011386861314699643,0.9987489092284867,0.0,0.0,-0.05000616276928422,0.0001313868613234456,-0.0005255474452938285,-5.839416058819656e-05,0.0,0.0,0.00027737226279396954,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0056,0.0047,0.0046,0.0003
0,1763963747.7005017,-0.002833723487871888,0.0016832764617912238,0.4014256458633314,-0.02787365023526074,-0.0006033219023883173,0.0004606987961263563,-0.04894915105044772,-0.007622655661332737,-0.034,-0.039,0.001,0.998,-0.002,0.001,-0.057,0.005,0.001,-0.001,0.0,0.0,-0.0,0.014,-0.011,-0.006,0.999,0.009,0.002,-0.047,-0.003,0.004,0.025,-0.2,0.3,-0.1,-0.03318755501592366,-0.03863550843610597,0.015884478105535404,0.9988839323164938,0.0,0.0,-0.04723229573013028,0.005505136233199085,0.0027792969164021227,0.17219805313613631,0.0,0.0,0.04270511513619483,-0.03417021276838091,-0.038794326243886276,0.001134751773130111,0.9987478418855212,0.0,0.0,-0.050027475740977545,0.00022695035462601208,-0.00042553191492378977,1.4184397164133966e-05,0.0,0.0,0.00021276595746189887,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0054,0.0021,0.0073,0.0003
0,1763963747.7619069,-0.002836363728638269,0.0016420940150814675,0.39843507719645793,-0.028346923606150133,-0.00036741663981588795,4.497324175120783e-06,0.03522536239854883,-0.005850573133854548,-0.034,-0.039,0.0,0.998,-0.002,0.001,-0.056,0.004,-0.007,-0.008,0.0,0.0,0.002,0.014,-0.011,-0.007,0.999,0.013,-0.011,-0.045,-0.002,-0.001,-0.003,0.0,-0.2,0.0,-0.033194381266296265,-0.038640122759585116,0.023387521779702748,0.9988955471352914,0.0,0.0,-0.0469860182744496,0.006280784812334182,0.0027715414322658214,0.167699438016261,0.0,0.0,0.04452416616808304,-0.03416783217022155,-0.03879720279991607,0.0011188811189593482,0.9987476580102741,0.0,0.0,-0.05003114648888749,0.00027972027973982783,-0.0005174825175186982,-9.790209790893697e-05,0.0,0.0,0.00023776223777886512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0026,0.0019,0.0034,0.002
0,1763963747.8261228,-0.0028705541669315224,0.002429190924388303,0.40696370821861033,-0.028689239446935993,-0.0005254976575460517,0.004140746298419359,0.09244753976031929,-0.005254944654698066,-0.034,-0.039,0.0,0.998,-0.002,0.001,-0.057,-0.006,-0.004,0.003,0.0,0.0,-0.005,0.014,-0.011,-0.007,0.999,0.013,-0.005,-0.046,0.004,-0.003,-0.026,0.2,0.5,-0.0,-0.03517254811235687,-0.038648683717595896,0.009054920068395426,0.9988873100264988,0.0,0.0,-0.047160808602328276,-0.003582813210437946,0.002754408132738376,0.06806811586862767,0.0,0.0,0.04488105600358105,-0.03416326530844644,-0.038802721091075174,0.0010884353742236894,0.9987466663302788,0.0,0.0,-0.050050938993735666,0.00012244897960015424,-0.0005034013605784565,-6.802721088897449e-05,0.0,0.0,0.00021768707484474172,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0018,0.0016,0.0039,0.0002
0,1763963747.8942838,-0.0027448818903904916,0.0007810460494953411,0.4095750474405874,-0.028762221804666088,0.00026954211183871516,-0.00793707550891627,0.06392715963721157,-0.003951066719517478,-0.034,-0.039,0.001,0.998,-0.002,0.001,-0.056,0.018,0.002,0.001,0.0,0.0,0.009,0.014,-0.011,-0.007,0.999,0.012,-0.012,-0.045,0.004,-0.0,-0.01,-0.1,-0.5,0.1,-0.030371809083832624,-0.03864566205403751,0.005150456706976753,0.9989141255897359,0.0,0.0,-0.04658937322279963,0.020566734026756957,0.0028107552013573152,0.053273766609770505,0.0,0.0,0.04668245428549511,-0.03416107382779598,-0.03880536913012131,0.0010872483222206081,0.9987465042810422,0.0,0.0,-0.05005417251736687,0.0003624161074068616,-0.0004697986577496444,-5.3691275171381786e-05,0.0,0.0,0.0003355704698211805,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0031,0.0024,0.0031,0.0002
