step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1763963847.5910552,-0.0010505752713418878,0.00131046501157044,0.41214742602870963,-0.008384865814626217,-3.6124779949653915e-05,-0.005573136954397512,0.051496427896370475,-0.0009976302696928724,-0.029,-0.013,-0.002,1.0,0.0,0.001,-0.015,0.013,-0.004,0.003,0.0,0.0,0.002,0.022,-0.01,-0.004,1.0,-0.002,0.003,-0.008,0.011,0.002,0.011,-0.2,-0.1,-0.1,-0.02801913322437809,-0.013325259316745108,-0.0008527146274871643,0.9999122919341173,0.0,0.0,-0.013244185103683564,0.01355135829745784,0.00020478409394834586,0.03550107473662324,0.0,0.0,0.009156088622341444,-0.028874997047084988,-0.013324939445384126,-0.0064482382804467225,0.9999110570312967,-0.00023728098456680762,0.0005899866198393663,-0.013321923287487599,0.0007376430742491026,0.0002304781115473936,-0.09898600507309231,0.0,0.0,0.008312463757874256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0025,0.003,0.0035,0.0119
1,1763963847.6555676,0.0026998793255670747,0.0030367890227839863,0.4166945835274394,-0.008395093899614499,0.018620951075627074,0.008795428182514036,0.07425421574723777,-0.0010992486517696766,-0.029,-0.011,-0.002,1.0,0.0,0.001,-0.015,-0.01,0.05,0.004,0.0,0.0,-0.003,0.021,-0.009,-0.004,1.0,0.002,0.009,-0.006,-0.006,-0.003,0.01,0.1,0.2,-0.0,-0.02979940103584828,-0.010653025101221918,-0.00344390235150988,0.9998571228203138,-0.010261754080107311,-0.0019487366070465916,-0.013290326343612739,-0.011423837838207423,0.03165271622186338,-0.003210878870403975,0.0,0.0,0.006956486148940899,-0.02943294839450654,-0.010666261086909712,-0.005506091422192204,0.9999020347502414,-0.005082812869978336,-0.0006325902952617154,-0.013026348113493036,-0.00577662142495898,0.030732686972088905,-0.009314732878562947,0.0,0.0,0.01170291855463148,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,25.004315470458526,0.09999820449079957,0.08,100.0,100.0,0.5,55.0,0.08,4.769109410668731e-05,1.305857382687335e-05,0.0018,0.0014,0.0043,0.0115
2,1763963847.7222612,0.0013646689112169594,0.003156976674157511,0.41499895982442425,-0.008371303038406575,-0.0063385671560546916,0.0009805368847156234,0.04360870442585428,-0.0009304324314121952,-0.028,-0.012,-0.002,1.0,0.0,0.001,-0.016,-0.01,0.008,0.013,0.0,0.0,-0.0,0.022,-0.01,0.008,1.0,0.004,-0.024,-0.003,-0.003,-0.001,0.301,-0.2,-1.3,0.2,-0.029226492660147332,-0.012219658212046913,-0.0008218789403338268,0.9999132376726065,-0.0016820108252942573,0.000793735128563067,-0.013040626948684192,-0.008542077933828742,0.006951730165682184,0.04066142031493333,0.0,0.0,0.008282966627342236,-0.02828591984070769,-0.012237436837574632,-0.003699965990417756,0.9999174300218574,-0.00044579122156979394,0.0011052325405053098,-0.012795033009011808,0.005530413839633144,0.0066258626692685466,0.04001430225139466,0.0,0.0,0.013084022652206706,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,25.005627361378416,0.09999854315428608,0.08,100.0,100.0,0.5,55.0,0.08,-0.00019427170610576564,-9.02341775011725e-05,0.0023,0.0065,0.0032,0.0061
3,1763963847.7992992,0.0010663034556237447,0.008113317031847608,0.4055251832325969,-0.007741235025512548,-0.001321243664063952,0.02517632387272017,0.004505987018915941,0.0021039271846692983,-0.03,-0.01,0.016,1.0,-0.001,-0.007,-0.014,-0.075,0.043,0.25,0.0,0.0,0.05,0.021,-0.01,0.05,1.0,0.01,-0.012,-0.002,-0.02,-0.007,0.724,0.4,0.5,-0.0,-0.03263889927508187,-0.010740677960466589,0.024301531730068743,0.9999307635082957,-0.0009065695706744388,0.0014417344768083895,-0.011643355316615232,-0.07295215921144074,0.012554861702774962,0.14509158049158688,0.0,0.0,0.030129834227176702,-0.02695751184477363,-0.010751287466340971,0.015532363218371564,0.9999216280532895,-0.00046060587757364293,0.0014493701567799611,-0.012426782352370394,0.012199707458137032,0.01236469326552822,0.1448622781778725,0.0,0.0,0.014908265927772613,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,25.040300062752113,0.09999463413301787,0.08,100.0,100.0,0.5,55.0,0.08,-4.671343882185742e-05,-0.00022525039487544753,0.0027,0.0031,0.0106,0.0129
4,1763963847.8556764,0.0017458220388368083,0.005146804850882247,0.39804823698697595,-0.006865899399752755,0.0035308808480182864,-0.013818396275845852,0.013305916675969885,0.0034090237506098943,-0.031,-0.008,0.033,1.0,0.002,-0.009,-0.013,-0.009,0.058,0.499,0.0,0.0,0.063,0.017,-0.011,0.109,1.0,0.007,-0.013,-0.002,-0.076,-0.014,1.16,-0.3,-0.5,0.1,-0.028308756239507595,-0.007609785219058838,0.04639522746262379,0.9999389418199832,-0.0007812033173598553,0.0013803165313970695,-0.01093604496983496,-0.005895694553624695,0.02265243813225213,0.21243040793323104,0.0,0.0,0.03508446036188792,-0.027212478084714734,-0.007616077763326935,0.0388677176595196,0.9999237040068464,-0.000274405761580106,0.002942545166717995,-0.011993844031360034,0.010525968136895669,0.02252097172972288,0.21224930598732683,0.0,0.0,0.014543089092676431,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,25.080171077788002,0.09993924675370992,0.08,100.0,100.0,0.5,55.0,0.08,0.0005576855183396991,9.238954740923286e-05,0.0015,0.0015,0.0044,0.0117
5,1763963847.921848,0.00028569857943541656,-0.0070023800973786935,0.3871528879097292,-0.0066739273108528925,-0.007082389542152357,-0.06010257413494442,-0.004720715762861594,0.00010162301953021719,-0.024,-0.013,0.076,1.0,0.001,-0.006,-0.011,0.124,-0.094,0.786,0.0,0.0,0.041,0.013,-0.012,0.173,1.0,0.002,-0.012,-0.001,-0.083,-0.002,1.02,-0.1,0.2,0.1,-0.014238857947262661,-0.012439500962186335,0.09507249156040183,0.9999335127096103,2.5484539869840774e-06,0.003388658667797509,-0.011022120764997905,0.12806539459862226,-0.0008030180391503843,0.29250053689509353,0.0,0.0,0.024550084738881577,-0.020332103921037604,-0.012442847958755339,0.07639022742807502,0.9999287395846963,0.0003737313637475799,0.002778144715590492,-0.01160422291097292,0.03649802095372484,-0.0008524043532204583,0.29232904218276445,0.0,0.0,0.013250678297174787,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,25.163854553829683,0.0997199752672623,0.08,100.0,100.0,0.5,55.0,0.08,-0.0017429219170629518,-0.002197028132045373,0.0051,0.0045,0.0035,0.005
6,1763963847.9992483,0.0010286819067117092,-6.126529856737267e-05,0.33906944055519594,-0.007169582481112165,0.00375062895881089,0.03383027648188426,-0.1920231257839497,-0.0033125167651529767,-0.033,-0.007,0.277,1.0,0.0,0.003,-0.012,-0.033,0.057,1.678,0.0,0.0,-0.012,0.006,-0.013,0.248,1.0,0.003,-0.014,-0.001,-0.099,-0.015,1.103,-0.1,0.1,0.0,-0.031092578691931407,-0.007287533902291435,0.3172795122500375,0.9999192582381379,0.00010758809266128654,0.003109966315585431,-0.012320452053817788,-0.03196061075153652,0.017024878293809168,0.605955403940887,0.0,0.0,0.0012975091430843216,-0.0288661415514921,-0.00728932895366647,0.21443221781184385,0.9999304633488064,-4.050716566692727e-05,-0.0006927290451509267,-0.011772295981706161,0.0012191581277434423,0.017001721096721316,0.6057854489165106,0.0,0.0,0.011945072886815233,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,25.642196515370507,0.09782673441080689,0.08,100.0,100.0,0.5,55.0,0.08,0.0004753336401109424,0.0031310396722831852,0.0032,0.0022,0.0064,0.0126
7,1763963848.0489056,0.00167897597540933,0.009468859604773356,0.31921004552351245,-0.007307517395143375,0.0033800555818270664,0.04764296635438271,-0.05691329508901773,-0.001585872380295069,-0.038,-0.005,0.376,1.0,0.001,0.007,-0.012,-0.103,0.042,1.936,0.0,0.0,-0.0,-0.001,-0.015,0.32,1.0,0.01,-0.021,0.001,-0.11,-0.017,1.095,0.1,0.2,0.0,-0.039922420119476526,-0.004938909137505558,0.42262668273309134,0.9999291182568278,-9.47413594449919e-05,-0.000706204698346207,-0.011884896344592973,-0.10344808132933522,0.020867052711709244,0.6554333775170181,0.0,0.0,0.007163598075426129,-0.03403437556820113,-0.004939670732198788,0.30808404145414214,0.9999323966478059,0.00022297754090689996,0.00023743001559616998,-0.011623082301148375,-0.01506483008531867,0.020843613938258523,0.6552896430947774,0.0,0.0,0.01226240397038384,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,25.887842504667564,0.09607348749671661,0.08,100.0,100.0,0.5,55.0,0.08,0.0010565533567042022,0.006222994237733156,0.0015,0.0012,0.0036,0.0061
8,1763963848.1239307,0.0027698599594717793,0.021325583698996987,0.3048025200891333,-0.007428363918889791,0.005664291917238413,0.060467227921714835,-0.03213637148145665,-0.0015176722931250024,-0.048,-0.001,0.474,1.0,0.001,0.011,-0.012,-0.198,0.088,2.012,0.0,0.0,-0.008,-0.009,-0.016,0.391,1.0,0.008,-0.014,-0.001,-0.133,0.0,1.051,-0.3,0.3,0.1,-0.05478821050927404,-0.00018700815735758888,0.5232069947419082,0.9999293555144533,0.0001201732186256443,-1.9523651827244705e-07,-0.011885686299478051,-0.19623027340893612,0.030516439505097633,0.6850411651344898,0.0,0.0,0.0037334488041576106,-0.04440180987440001,-0.00018706952954161465,0.40849791664335156,0.9999304413199177,0.0005074796699944621,0.0028151262197931297,-0.011442466976408905,-0.040375166218966765,0.030517076928467127,0.6849062232247474,0.0,0.0,0.01238383991949301,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,26.163202869713245,0.09326111782197483,0.08,100.0,100.0,0.5,55.0,0.08,0.003050281208638025,0.012350526668298058,0.0034,0.0036,0.0087,0.0049
9,1763963848.1895447,0.0031494750997949367,0.01726094351936435,0.2941945740125091,-0.007309224129338782,0.0022443081965497595,-0.017657502935788556,-0.014939415371979334,-0.00033284654210617996,-0.053,-0.0,0.596,1.0,0.001,0.014,-0.012,-0.072,0.007,1.703,0.0,0.0,0.004,-0.018,-0.016,0.447,1.0,0.008,-0.007,-0.001,-0.14,-0.005,0.882,0.1,0.1,0.1,-0.05066653497318934,0.0006570343588624688,0.6443747272618562,0.9999308658532207,0.0005531825107035592,0.0028314561038085676,-0.011399138540718065,-0.06623682753505714,0.02625600515168897,0.6632967407405213,0.0,0.0,0.009099889298551262,-0.0488848071807384,0.0006580146539325888,0.4999941278164808,0.9999114062979788,0.0010613928137770735,0.00708284064772154,-0.011219909485021684,-0.03954042830117205,0.026290441515758017,0.6631712827174934,0.0,0.0,0.012677940200944593,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,26.385442276625543,0.09039881790644866,0.08,100.0,100.0,0.5,55.0,0.08,0.002149609874313621,0.013594502945907999,0.0022,0.0034,0.0053,0.0085
