step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,fixed_angle_max_deg,est_param_tau_angle,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1762931767.3059962,-1.248088575204097e-05,0.00016001135577771138,0.09999999710551247,1.040502275923138e-05,-6.240442876020485e-05,0.0008000567788885568,0.4999999855275623,5.2025113796156896e-05,0.216,-0.002,-0.005,1.0,-0.003,0.003,-0.025,-0.001,-0.008,-0.003,0.002,-0.0,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,-0.002,-0.005,0.9996870199368919,0.0,0.0,-0.025017237451331897,-0.001,-0.008,-0.003,0.002,-0.0,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0029,0.0027,0.0033,0.0003
0,1762931767.3710237,0.016885533365562963,-0.004179224830748809,0.19999998430769456,-0.006021874542530351,0.08449007125657501,-0.0216961809326326,0.49999993601091053,-0.030161397826447913,0.216,-0.001,-0.005,1.0,-0.003,0.002,-0.026,0.001,0.004,-0.0,0.002,-0.001,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21606653504785558,-0.000733602994052324,-0.019819720702755745,0.9996595509097255,4.816318960672373e-05,-1.7730362259723986e-05,-0.026091755786148425,0.0009944472538060576,0.003987938285599816,-0.4332582848981516,0.0009527437459318659,-2.7646176154366687e-05,-0.0017316509545949328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0022,0.0025,0.0028,0.0003
0,1762931767.4411314,0.0039345341889859085,-0.022015171985672585,0.2999999196769635,-0.008083654293041791,-0.06475499588288525,-0.08917973577461888,0.4999996768463444,-0.010308898752557201,0.216,-0.001,-0.005,1.0,-0.003,0.002,-0.026,0.001,0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21613126699380744,-0.0008694289054635217,-0.0572685346961629,0.9996625187551172,0.0008179852091635538,-0.0002506718644048629,-0.025964378357933384,0.0009093280222557118,0.0007889645497633495,-0.676324267354705,0.04914943238376419,-0.012194594137881693,0.004967646680200016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0034,0.0023,0.0048,0.0004
0,1762931767.5017457,-0.0010800760897215793,-0.025518666929466114,0.38949808369851346,-0.009617311405705209,-0.02507305139353744,-0.017517474718967647,0.4474908201077501,-0.0076682855633170835,0.216,-0.002,-0.005,1.0,-0.003,0.003,-0.026,-0.003,-0.004,0.005,-0.003,0.003,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2155770504601478,-0.00259921592061259,-0.03181008003063131,0.9996692708594781,0.0019599578176302842,-0.0015424574836478018,-0.025596891006288276,-0.003922427397344562,-0.005903163759874857,-0.3020862320499254,0.023395109054842003,-0.06693250038432756,0.010177533560079695,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0011,0.0011,0.0025,0.0002
0,1762931767.5725434,0.0008893642463019798,-0.025055465112717386,0.36196223439352837,-0.010812481833556587,0.009847201680117792,0.0023160090837436448,-0.13767924652492525,-0.0059758521392568945,0.216,-0.001,-0.005,1.0,-0.003,0.002,-0.026,0.001,0.003,-0.002,0.001,-0.001,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2159957849212796,-0.0006073402834094435,-0.008785035205758353,0.9996650864340204,5.487943968650472e-05,-0.003749517144770033,-0.02560811395650242,-0.003070407157904802,0.0028946038428869004,0.03676513055619945,-0.003485568475158595,-0.08973423042493794,0.010988402731135442,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0032,0.0028,0.0027,0.0003
0,1762931767.646503,0.0005669171007757646,-0.024316253159917908,0.3528920110554661,-0.011631352328812579,-0.0016122357276310757,0.0036960597639974016,-0.045351116690311416,-0.004094352476279973,0.216,-0.001,-0.005,1.0,-0.003,0.003,-0.026,-0.002,-0.004,0.002,-0.002,0.002,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21559700276690444,-0.0015117955823879155,0.005475612736540165,0.9996687547953615,-0.0003043853286568344,-0.0037217191270848826,-0.025468341570498973,-0.005714305121481109,-0.0034809651641632,0.11389929153522897,0.0008417185538516806,-0.08703911395624991,0.013057980232042864,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0054,0.0042,0.0061,0.0004
0,1762931767.702571,0.0005417874436894768,-0.024141245310108587,0.3620714683799269,-0.012209487282659392,-0.00012564828543143967,0.0008750392490465969,0.04589728662230405,-0.0028906747692340616,0.216,-0.001,-0.005,1.0,-0.003,0.002,-0.026,-0.0,-0.002,-0.003,0.001,-0.002,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158637892099282,-0.0012681320254508222,-0.003910981827175179,0.9996690771922194,8.493594961616387e-05,-0.0037235732522745302,-0.025457045568002087,-0.003707079442642056,-0.002021431099986732,0.011779580226072268,0.002683908234038217,-0.08431727049522092,0.013808132459909708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0015,0.0011,0.0028,0.0003
0,1762931767.7699924,2.2344332129846725e-05,-0.02376951771083225,0.3606487787334916,-0.012606800219408864,-0.0025972155577981496,0.0018586379963816818,-0.007113448232176597,-0.001986564683747347,0.216,-0.002,-0.004,1.0,-0.003,0.003,-0.026,-0.004,-0.005,0.005,-0.003,0.003,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21534743023436004,-0.0026545470103483816,-0.0023336599493237126,0.9996707487397363,-0.00011536095921147896,-0.0034612875977389555,-0.02542837276158077,-0.0073993087215660745,-0.004724075665914372,0.03129177950090095,0.0015098313475728608,-0.0827743887484234,0.014503291265065965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0015,0.0019,0.003,0.0003
0,1762931767.838104,0.0005146780641273858,-0.02403459853702886,0.36013910968573387,-0.012747140828966427,0.002461668659987695,-0.001325404130983046,-0.0025483452387883403,-0.0007017030477878196,0.216,-0.002,-0.005,1.0,-0.003,0.002,-0.025,-0.001,-0.001,-0.006,0.002,-0.004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21572579531570757,-0.002134936857789861,-0.00274623266989463,0.9996945841635896,3.091061740834624e-05,-0.003679429697506968,-0.02444137163907471,-0.004800137154818715,-0.0009987055770533302,0.03703149735061356,0.0006376713630619938,-0.08253374196267062,0.01469141064193577,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0025,0.002,0.0032,0.0003
0,1762931767.9018552,0.0014575389708396359,-0.024576595621277047,0.35900702077517704,-0.013030565321267598,0.00471430453356125,-0.002709985421240929,-0.00566044455278379,-0.0014171224615058607,0.216,-0.001,-0.004,1.0,-0.003,0.003,-0.026,-0.0,0.002,0.011,-0.004,0.006,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21589209814918028,-0.0007159514008091524,-8.809305775325901e-05,0.9996691173426082,-0.00020306631903500464,-0.0033032561938576748,-0.02551285852113026,-0.003131624956908153,0.0023943022025250463,0.04708061490661818,0.0009841008347552637,-0.08189456370092027,0.014228556314569929,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.5,55.0,0.16,0.0011,0.0013,0.0023,0.0003
