step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,est_param_angle_max_deg,est_param_tau_angle,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1762839664.9713652,-7.292563527953309e-06,1.4574191309262485e-05,0.099999989397884,-3.67186680155409e-09,-3.6462817639766546e-05,7.287095654631243e-05,0.49999994698941996,-1.835933400777045e-08,0.006,-0.035,0.001,1.0,-0.002,0.001,-0.027,0.0,-0.003,-0.002,0.001,-0.002,0.0,0.982,-0.023,-0.003,0.999,0.0,-0.025,-0.036,0.001,-0.003,-0.016,-0.1,0.1,-0.0,0.006,-0.035,0.001,1.0,-0.002,0.001,-0.027,0.0,-0.003,-0.002,0.001,-0.002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0041,0.0037,0.0042,0.0005
0,1762839665.0331964,-0.003081143050585746,-0.0017126897982511426,0.19999998913905861,-0.004112503033435832,-0.015369252435288961,-0.008636319947802024,0.499999998705873,-0.020562496807845148,0.006,-0.035,0.001,1.0,-0.002,0.001,-0.027,0.0,-0.0,-0.0,-0.001,-0.001,-0.0,0.982,-0.023,-0.003,0.999,0.007,-0.03,-0.035,0.002,-0.001,-0.01,-0.3,0.2,-0.1,0.00601254583045439,-0.03497616859865614,-0.014557320410677619,1.0000005580182054,-0.0017737686455719963,0.00085150928821181,-0.027000402507709114,0.0003855728943768958,0.0007370882036934301,-0.4564458941929316,0.013191664784064706,-0.006801374943014382,-2.426684746404705e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.003,0.0031,0.0028,0.0003
0,1762839665.09681,-0.003562112282061183,-0.0009710679682766908,0.29999998550878526,-0.00702506624827344,-0.002404846157377186,0.003708109149872258,0.4999999818486332,-0.014562816074188037,0.006,-0.035,0.002,1.0,-0.002,0.001,-0.027,-0.001,0.006,0.001,-0.001,-0.001,0.0,0.982,-0.023,-0.002,0.999,0.002,-0.027,-0.036,0.001,0.001,0.003,-0.7,0.4,-0.1,0.005923267463248995,-0.0340890553650922,-0.053679900350912746,1.000002996445883,-0.0014452271305023165,0.00046025537352625465,-0.026939130579013343,-9.693387257505265e-05,0.007870494022022632,-0.7403124487729233,0.006474121383755313,-0.0152217738847998,0.003565164763699342,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0016,0.0017,0.0024,0.0004
0,1762839665.1683767,-0.003395525177011765,-0.0014423556741084338,0.39999996861475046,-0.009051913853417155,0.0008329355252470888,-0.002356438529158714,0.49999991552982603,-0.010134238025718572,0.006,-0.035,0.001,1.0,-0.002,0.001,-0.027,0.002,0.005,0.001,0.002,0.0,-0.001,0.982,-0.023,-0.003,0.999,-0.007,-0.022,-0.038,-0.001,0.001,0.002,-0.2,0.1,-0.0,0.006531438925194037,-0.03372887419300804,-0.1082018991942961,1.000007201896852,-0.001245299304250173,8.01191631015399e-06,-0.026796552097861796,0.003214248970771013,0.008130881871535801,-0.8558318768001792,0.0004582911360603444,-0.01289214248112939,0.007464702682342906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0038,0.0029,0.0038,0.0004
0,1762839665.238818,-0.004429852193667323,-0.000480439306272604,0.4526773550011804,-0.010389150258454001,-0.005171635083277786,0.004809581839179148,0.26338693193214996,-0.006686182025184225,0.006,-0.036,0.001,1.0,-0.002,0.001,-0.027,-0.004,-0.002,0.0,0.001,-0.0,0.001,0.982,-0.023,-0.003,0.999,-0.001,-0.022,-0.037,-0.004,0.001,-0.018,0.5,0.0,-0.0,0.0053893045253696386,-0.035885003044582635,-0.0590585828518464,1.0000175352291913,-0.0017845553693684258,-0.00015323847807809324,-0.02637664923473658,-0.002521162994238536,0.003926642524218371,-0.3666672413371559,0.002881907544918922,-0.013082804969787143,0.011559294112425306,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0055,0.0033,0.0053,0.0005
0,1762839665.2981029,-0.004119328447681209,-0.0004048248840512927,0.40626938153332753,-0.011316825021335871,0.0015526187299305686,0.00037807211110655594,-0.2320398673392641,-0.004638373814409354,0.005,-0.036,0.001,1.0,-0.002,0.001,-0.027,-0.004,-0.001,-0.001,-0.001,0.001,-0.001,0.982,-0.023,-0.002,0.999,0.002,-0.027,-0.036,-0.002,-0.002,0.014,0.4,-0.3,0.1,0.004496464858784146,-0.035488284910771314,-0.01282372842614967,1.0000199966166636,-0.0018815711835609725,2.430638576999955e-05,-0.02627686571986879,-0.0015215888280545467,0.00668336781059844,0.031064994769157934,-0.0003757732765709447,-0.010460096733435674,0.013544475984645527,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0021,0.0017,0.0028,0.0003
0,1762839665.3658087,-0.0033323078249338726,-0.0016999235097718073,0.38743060866138174,-0.011919650967237376,0.003935103113736682,-0.006475493128602574,-0.09419386435972905,-0.0030141297295075186,0.006,-0.035,0.001,1.0,-0.002,0.001,-0.027,0.001,0.001,0.0,-0.001,-0.0,0.002,0.982,-0.023,-0.004,0.999,-0.001,-0.019,-0.037,0.003,0.004,-0.009,-0.1,0.1,-0.0,0.006544255208602303,-0.033958729638119245,0.01904092419314598,1.0000271396434117,-0.0019744460515378117,5.5446751712354355e-05,-0.02599663949466963,0.003714425386245065,0.009335672672073433,0.16213717668263292,-7.362252095359463e-05,-0.008950322280568159,0.015726354065968822,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0017,0.0016,0.0047,0.0005
0,1762839665.4335089,-0.0034542997541767814,-0.0019029995617455642,0.39254851500601695,-0.012354772017423103,-0.0006099596462145404,-0.001015380259868784,0.025589531723176285,-0.002175605250928638,0.006,-0.035,0.001,1.0,-0.002,0.001,-0.027,0.001,0.0,0.0,0.0,0.001,-0.001,0.981,-0.023,-0.002,0.999,-0.003,-0.025,-0.038,-0.002,-0.0,0.005,-0.5,0.2,-0.1,0.006591681560439053,-0.034137127315788905,0.020464421217748094,1.0000256073153655,-0.0019978180213875464,0.0001603515673036347,-0.02605335048930939,0.004192373080951784,0.008325751290161212,0.10789177813813917,0.0036446628185908677,-0.01469374771551795,0.016197952072006798,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0031,0.0022,0.0038,0.0004
0,1762839665.4963176,-0.0032130870871628055,-0.0022999638213488847,0.4062432322183404,-0.012639692840249198,0.0012060633350698792,-0.0019848212980166026,0.06847358606161685,-0.0014246041141304723,0.006,-0.035,0.002,1.0,-0.002,0.001,-0.027,0.004,0.002,0.002,0.002,0.0,0.0,0.981,-0.023,-0.002,0.999,-0.007,-0.023,-0.038,-0.005,0.0,0.002,-0.2,0.1,-0.1,0.007133103450240969,-0.03384483699045527,0.002963633661418915,1.0000288909312005,-0.0017684723295902274,-8.988135783325561e-05,-0.02594400348030796,0.006567431543920411,0.009391661061659723,0.00016958833433106655,0.003147223500618821,-0.01625975658851683,0.01712812700980836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0017,0.0014,0.0022,0.0003
0,1762839665.5673678,-0.0036508158953220933,-0.0013644512312261515,0.4053432652944395,-0.012810785510320876,-0.002188644040796441,0.004677562950613664,-0.004499834619504869,-0.0008554633503583919,0.006,-0.035,0.001,1.0,-0.002,0.001,-0.027,0.0,0.0,-0.0,-0.001,0.001,0.002,0.981,-0.023,-0.002,0.999,-0.003,-0.025,-0.037,-0.005,-0.001,0.008,0.2,-0.2,0.0,0.006300552054791252,-0.03424518573298965,-0.00016077484119849717,1.0000324257436477,-0.0017584897699035181,-0.0003064871175217286,-0.025806445009466602,0.0021026177239195907,0.007501248785404265,0.015246117431636952,0.004083287684027516,-0.017313933219532333,0.017998591013436892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0032,0.0019,0.0038,0.0006
