step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,est_param_angle_max_deg,est_param_tau_angle,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1762915776.8175614,1.4628935054432211e-05,-2.194335869485163e-05,0.09999999984167907,-5.335986090218885e-06,7.314467527216105e-05,-0.00010971679347425815,0.4999999992083953,-2.667993045109442e-05,-0.002,0.003,-0.002,0.999,0.003,-0.001,0.041,-0.007,0.001,0.003,-0.002,0.003,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.003,-0.002,0.999,0.003,-0.001,0.041,-0.007,0.001,0.003,-0.002,0.003,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0054,0.0087,0.0084,0.0006
0,1762915776.8714004,-0.0008049955909890972,0.0009305518346289282,0.19999999050188894,0.006222286092889266,-0.004098122630217647,0.004762475966618899,0.49999995330104924,0.03113811039489742,-0.001,0.004,-0.002,0.999,0.003,-0.001,0.041,-0.002,0.003,0.0,-0.0,0.0,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011438594020028155,0.004163503756324268,-0.01755737777879675,0.999004351606091,0.0026240040398319707,-0.0008755144053131437,0.040922750115825086,-0.0023248773581096595,0.0018738474541292536,-0.4564476222463073,-0.01990795058656541,0.007491149185483912,-0.0017600335081734476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0023,0.0029,0.005,0.0004
0,1762915776.9366577,-0.00016577843277445928,0.0002762199841780523,0.2999999904753501,0.01065256592037303,0.003196085791073189,-0.00327165925225438,0.4999999998673057,0.02215139913741882,-0.001,0.003,-0.002,0.999,0.003,-0.001,0.041,-0.0,-0.001,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010481098711902874,0.002699380193437651,-0.05781171112945861,0.9990072940526536,0.0017461206760911198,-0.0005430902757830685,0.040903676218439836,-0.0007802099736348865,-0.0037370370396015624,-0.7412895951809241,-0.029911477047440783,0.013717660821431428,-0.005532783530243346,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0011,0.0027,0.0049,0.0005
0,1762915777.0053499,-0.000255213895674629,-0.0004253546538645313,0.3999999903512958,0.013738455386164626,-0.0004471773145008481,-0.0035078731902129174,0.4999999993797285,0.015429447328957978,-0.001,0.003,-0.002,0.999,0.003,-0.001,0.041,0.004,-0.001,-0.001,0.0,-0.001,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003161547006047766,0.002400935954795988,-0.11159451818100512,0.999016636121367,0.000781677083093988,-0.00018962927720312644,0.04070800825644866,0.002852328801210199,-0.005069386545013842,-0.8577571931925873,-0.025819422644124696,0.011258077324666644,-0.011326726257891672,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0021,0.0023,0.0035,0.0003
0,1762915777.0721576,-0.00034030148575783494,0.0004157674923918336,0.44469036766624165,0.015791197817570168,-0.0004254379504160296,0.004205610731281824,0.2234518865747298,0.0102637121570277,-0.002,0.003,-0.002,0.999,0.003,-0.001,0.041,-0.001,-0.0,0.001,-0.001,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002370842248580218,0.0023675874878133114,-0.06186307669434207,0.999040402026787,0.000718069419534125,-0.0001666067521405522,0.04012181376519516,-0.0025134114846688165,-0.005931617206355513,-0.36570775366498764,-0.024980026556227344,0.007255965405216962,-0.01735983609904046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0024,0.002,0.0062,0.0007
0,1762915777.1322465,-0.000831983924297333,0.0004000191726476331,0.4089316117205886,0.01719247300684129,-0.0024584121926974904,-7.874159872100247e-05,-0.17879377972826546,0.007006375946355621,-0.001,0.003,-0.002,0.999,0.003,-0.001,0.041,0.001,0.0,-0.0,0.001,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010596370394325766,0.002092336179606322,-0.016119455763973254,0.999050272452793,0.0008778588278104676,-0.00032399379895555505,0.039871171880649696,-0.0013989339932537063,-0.008269353984431545,0.016590025196781735,-0.02620104963474717,0.01039380435224063,-0.02077721192721082,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0013,0.0012,0.0021,0.0002
0,1762915777.2074075,-0.0009098463848332676,0.0007676665654645331,0.3906018149045823,0.01813081779299198,-0.00038931230267967294,0.0018382369640844998,-0.09164898408003194,0.00469172393075345,-0.001,0.003,-0.002,0.999,0.003,-0.001,0.041,-0.001,0.001,-0.0,0.003,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015133620323752293,0.0020965053932115417,0.014739593760593967,0.999060359608346,0.0008611448941342635,-0.0002599976123795438,0.0396184854563795,-0.0036619748534129385,-0.008405433442198533,0.15425620139775484,-0.02847063841593436,0.011177161742459439,-0.02341458732934897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0028,0.004,0.0054,0.0006
0,1762915777.2824514,-0.0008245043487733015,0.000829274855482517,0.3935464261860555,0.018765168839814026,0.00042671018029983004,0.00030804145008991987,0.01472305640736607,0.003171755234110201,-0.002,0.003,-0.002,0.999,0.003,-0.001,0.041,-0.001,0.001,-0.0,0.002,0.001,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024953113439916733,0.0020929186664420635,0.015820239103735888,0.9990658999985782,0.0007378351269098353,-0.00010367291228092315,0.03948177600488531,-0.0032873659912709863,-0.008060218529627204,0.10550817539585737,-0.028886363246978016,0.012024271390423185,-0.025056006348177687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0056,0.0042,0.0104,0.0009
0,1762915777.3361444,-0.0006565789217155572,0.0007808158727211403,0.4038652928441966,0.019193969888077315,0.0008396271352887218,-0.00024229491380688346,0.05159433329070569,0.002144005241316445,-0.002,0.003,-0.002,0.999,0.003,-0.001,0.041,-0.001,0.001,-0.0,0.002,0.001,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024722036842271737,0.0021952938739941445,0.00032795733508000013,0.999069620336298,0.0006615312479156171,-7.174615105561967e-05,0.03938899121771091,-0.003128517250429788,-0.00729950038000294,0.011773072552465461,-0.0283086564651499,0.012570479617729531,-0.02616575763607067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0022,0.0019,0.0039,0.0006
0,1762915777.3984194,-0.0006644624487268534,0.00031863388131309685,0.4045706333377042,0.019483636837718078,-3.941763505648126e-05,-0.002310909957040217,0.0035267024675377694,0.0014483347482038267,-0.001,0.003,-0.002,0.999,0.003,-0.001,0.041,0.001,0.001,-0.001,0.002,-0.001,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010726379510518367,0.0022138975137712936,-0.002510916674350167,0.9990720765608909,0.0006856820499526239,-7.127587250082004e-05,0.039326262827637584,-0.0011533852072393052,-0.007261271340709932,0.015696515070118437,-0.02756647029073345,0.012582814890834798,-0.02691574078158196,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.2,0.12,100.0,100.0,0.5,55.0,0.12,0.0013,0.001,0.0018,0.0002
