step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1763013479.4167821,0.0004940060083175522,-0.0029637319756989863,0.09999999646638319,-1.2939052852745024e-19,0.002470030041587761,-0.014818659878494931,0.49999998233191595,-6.469526426372511e-19,0.042,-0.079,0.009,1.0,0.001,0.0,0.031,0.008,0.017,-0.005,0.005,0.0,-0.001,0.024,-0.022,-0.002,1.0,0.003,-0.002,-0.031,0.003,-0.002,0.016,-0.1,0.6,0.0,0.024,-0.022,-0.002,1.0,0.0,0.0,0.0,0.003,-0.002,0.016,-0.1,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0059,0.0056,0.0062,0.0004
0,1763013479.469429,-0.0004214705889367613,-0.006667682523992607,0.19999899645739477,2.4685643813948126e-05,-0.004577358285971151,-0.01851990092806689,0.4999999999548813,0.00012342821906974127,0.042,-0.079,0.009,1.0,0.001,0.0,0.031,0.007,-0.002,-0.005,0.0,-0.001,0.001,0.024,-0.022,-0.002,0.999,0.003,-0.004,-0.031,-0.0,0.0,0.005,-0.0,-0.2,-0.0,0.023974486408187317,-0.022000027320839177,-0.017506384506631327,0.999999999999999,0.0,0.0,-4.548529357393103e-08,-0.0011660789583097671,-1.7563247916838439e-06,-0.4607873295734074,0.0007769360607755249,-0.13912616136620826,-6.883152025608056e-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0017,0.0011,0.0015,0.0001
0,1763013479.5391788,-0.010840887838935742,0.02788293516464537,0.2999969696968332,-0.001463574506891134,-0.05209710732352436,0.1727527550590637,0.4999998661470151,-0.007441299519243219,0.041,-0.081,0.01,1.0,0.001,0.0,0.031,-0.016,-0.014,0.01,-0.004,0.001,-0.0,0.024,-0.022,-0.003,0.999,0.01,-0.025,-0.033,0.003,-0.004,-0.039,0.5,-1.7,-0.1,0.023799104788328848,-0.022383660533010396,-0.01611982973313669,0.9999938115645284,0.0,0.0,-0.003518072291266403,-0.01491724306724393,-0.00921603262165304,-0.34566841967804574,0.33519366528685884,-1.1528020385349362,-0.07300982654646394,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0024,0.0023,0.0026,0.0003
0,1763013479.6098187,-0.006096963526228979,0.013630896085195708,0.39999360833445097,2.485960720621295e-05,0.023719079519141862,-0.07125880125049008,0.4999981930365739,0.007442097391761388,0.041,-0.08,0.01,1.0,0.001,0.0,0.031,-0.008,-0.0,0.011,0.001,0.002,-0.003,0.024,-0.022,-0.002,1.0,0.003,-0.004,-0.031,0.001,-0.001,0.007,-0.1,0.2,0.0,0.02413965768376147,-0.022030636609997982,-0.0067308685238171816,0.9999999999920447,0.0,0.0,-3.988830802359667e-06,0.004314757249056021,0.0006257969478539162,-0.13988272832734935,-0.08418833146551934,0.1798944073114365,0.0009742134716287212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0027,0.0036,0.0044,0.0006
0,1763013479.672458,-0.003204480351699959,-0.001700188153195661,0.41995095762801593,-1.3073329276721722e-05,0.014462111024468793,-0.07665473964715258,0.09980674614824181,-0.00018966343943431323,0.041,-0.08,0.009,1.0,0.001,0.0,0.031,-0.003,-0.001,-0.003,0.001,-0.0,0.001,0.024,-0.022,-0.002,0.999,0.004,-0.004,-0.031,-0.002,-0.0,0.0,0.0,0.1,0.0,0.02391462568222213,-0.021998795766452188,-0.0018744463480448582,0.9999999999981103,0.0,0.0,-1.94410207554947e-06,0.00013609291110352703,6.25617111220631e-05,0.01263934733981402,-0.007018776728317544,0.08206145505819197,-0.00014118334197034242,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0016,0.0012,0.0043,0.0004
0,1763013479.738579,-0.00220258379804742,0.0017981055703215672,0.42149332336807926,-8.056179818328092e-06,0.0050093225442451135,0.01749138360817848,0.007732826248198166,2.508509362550429e-05,0.041,-0.08,0.01,1.0,0.001,0.0,0.031,-0.0,0.007,0.002,0.001,-0.002,-0.001,0.024,-0.022,-0.003,0.999,0.006,-0.015,-0.031,-0.004,0.003,-0.01,-0.0,-0.1,0.0,0.02368700649782018,-0.021799357018690735,-0.00295036962833571,0.9999999999999616,0.0,0.0,2.7715073529115623e-07,-0.006045905178592858,0.0030325653635666157,0.013235548278550738,-0.0035946488842666232,-0.07313720486738896,9.695734958563965e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0016,0.0011,0.0039,0.0004
0,1763013479.8078027,-0.005646895997951941,0.013034040407160588,0.42202544567241745,-3.7574748303481403e-06,-0.017221671128712507,0.05617976408947362,0.002681686187859595,2.1493122130908826e-05,0.044,-0.077,0.009,1.0,0.001,0.0,0.031,0.036,0.026,-0.007,0.001,0.001,0.001,0.024,-0.022,-0.002,0.999,0.004,-0.004,-0.031,-0.002,0.002,-0.013,0.1,-0.4,-0.0,0.02368374991635866,-0.0219120453701972,-0.0021776908426173135,0.999999999516056,0.0,0.0,-3.111089882947098e-05,-0.00997554345036734,2.3521580275942078e-05,0.007754474559048324,0.06452760660876783,-0.2656993487145737,-7.606691355968805e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0028,0.0031,0.0033,0.0002
0,1763013479.870829,-0.0031609555031242896,-0.002125522514953404,0.42082139045008227,4.524887999278617e-05,0.01242942012933836,-0.0757971629085496,-0.0059991748393920345,0.00024503158624193005,0.041,-0.08,0.009,1.0,0.001,-0.0,0.031,-0.035,-0.039,0.004,-0.001,-0.002,0.005,0.024,-0.022,-0.002,1.0,0.003,-0.0,-0.031,-0.002,0.0,-0.0,-0.0,0.1,0.0,0.02391513409774338,-0.0219988700598947,-0.0012904522831073161,0.999999999999969,0.0,0.0,-2.490661485879986e-07,0.00015596566670284537,6.55993468196918e-05,0.02130823615773063,-0.00835897583083997,0.08730530962289838,3.036225641360918e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0021,0.0013,0.0022,0.0002
0,1763013479.936441,-0.0061877055741513184,-0.002301142333833023,0.42079137930955324,4.834993282497649e-05,-0.015133908402910304,-0.0008782053705238477,-0.0001290146331228252,1.550752660495124e-05,0.041,-0.082,0.009,1.0,0.001,0.0,0.031,-0.024,-0.104,-0.003,-0.003,-0.002,0.031,0.024,-0.022,-0.002,0.999,0.004,-0.003,-0.032,0.0,0.0,-0.0,0.1,0.0,-0.0,0.023999576190149443,-0.022045066829053966,-0.0013647876325045315,0.9999999999998339,0.0,0.0,-5.76398654528582e-07,-3.841094770801024e-05,-0.0019615757566155767,0.01892702697665221,0.06359960352396579,-0.0064322025949201805,-3.97116256402445e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0015,0.0012,0.0018,0.0002
0,1763013480.0068524,-0.0031662102245129248,-0.005962194740628713,0.4205808596437299,3.887361378842222e-05,0.015107167362913261,-0.01830537709109514,-0.001031558760151128,-4.7379177686130154e-05,0.041,-0.082,0.009,1.0,0.001,0.0,0.031,-0.012,-0.051,-0.003,0.004,-0.0,0.011,0.024,-0.022,-0.002,1.0,0.004,-0.0,-0.031,-0.001,0.001,0.002,-0.0,0.1,0.0,0.023978589418191795,-0.0219320990710832,-0.0012265497500105838,0.9999999999997633,0.0,0.0,-6.881210734226931e-07,0.0009694104802222496,0.0010709020602350247,0.021178230667006102,-0.00898229092012768,0.06411723180044834,-2.5213693637450656e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.1,0.2,100.0,100.0,0.5,55.0,0.2,0.0,0.0,0.0032,0.0026,0.0023,0.0002
