step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1762398678.679472,-0.05751253994150878,-0.12193979605540067,-0.3956861898217757,0.0030681241295794515,0.011,-0.015,0.039,0.999,0.022,0.048,0.002
1,1762398678.687563,-0.0599105778083919,-0.12174190572740592,-0.39189109473525563,0.0021127271561957985,0.011,-0.015,0.039,0.999,0.023,0.048,0.001
2,1762398678.6956434,-0.05751253994150878,-0.12168901105540066,-0.38875273756291295,0.0030681241295794515,0.011,-0.015,0.039,0.999,0.022,0.048,0.002
3,1762398678.7042155,-0.06017518462843223,-0.12375686088657366,-0.38430090456221544,0.002136249606917722,0.011,-0.015,0.039,0.999,0.023,0.049,0.001
4,1762398678.71288,-0.0599105778083919,-0.12174190572740592,-0.38378949904658244,0.0021127271561957985,0.011,-0.015,0.039,0.999,0.023,0.048,0.001
5,1762398678.7209554,-0.0599105778083919,-0.12174190572740592,-0.38327809353094944,0.0021127271561957985,0.011,-0.015,0.039,0.999,0.023,0.048,0.001
6,1762398678.7293909,-0.06004771141578363,-0.12420048732235076,-0.3834234259294941,0.00314006261777831,0.011,-0.015,0.039,0.999,0.023,0.049,0.002
7,1762398678.7372084,-0.060031349595679816,-0.12218554347879669,-0.38291202041386097,0.003116344880665129,0.011,-0.015,0.039,0.999,0.023,0.048,0.002
8,1762398678.7454724,-0.057261754941508786,-0.12219058105540066,-0.3889679940400024,0.0030681241295794515,0.011,-0.015,0.039,0.999,0.022,0.048,0.002
9,1762398678.7539518,-0.05697991450797507,-0.11766056953164722,-0.3927308577824743,0.003022779916132051,0.011,-0.015,0.04,0.999,0.022,0.046,0.002
10,1762398678.7629216,-0.054310640899433195,-0.11230714094941044,-0.4142256452077371,0.0019090542583248427,0.012,-0.015,0.041,0.999,0.021,0.043,0.001
11,1762398678.7710924,-0.05693323289755383,-0.10381211285717741,-0.427182839748693,0.0008606171500531045,0.012,-0.015,0.042,0.999,0.022,0.039,0.0
12,1762398678.778901,-0.05022063742341808,-0.09999438049096362,-0.44539393760306845,0.0017066696649411651,0.012,-0.015,0.043,0.999,0.019,0.037,0.001
13,1762398678.787349,-0.04818204728955971,-0.09635194599111484,-0.47181973220061346,0.0016147308866675183,0.013,-0.015,0.045,0.999,0.018,0.034,0.001
14,1762398678.7959864,-0.04891740398715421,-0.09534420469449921,-0.505146747712973,0.0015782301410839535,0.013,-0.015,0.048,0.999,0.018,0.032,0.001
15,1762398678.8041182,-0.046899699857842696,-0.09496965378267602,-0.5194174180822839,0.0015289369182931634,0.014,-0.015,0.049,0.999,0.017,0.031,0.001
16,1762398678.8124774,-0.04756397119188281,-0.09388204095230059,-0.5560281231655306,0.0004938304625350627,0.015,-0.015,0.052,0.999,0.017,0.029,0.0
17,1762398678.820639,-0.04831145628239586,-0.09438269708780311,-0.5896889804509304,0.00047674739566422515,0.015,-0.015,0.056,0.999,0.017,0.028,0.0
