step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1762398806.6335897,0.020712980375187165,-0.07865098286727562,-0.39206865847784844,0.0027232562410190414,0.011,-0.011,0.038,0.999,-0.009,0.031,0.003
1,1762398806.6418693,0.020963765375187165,-0.07940333786727562,-0.39155725296221555,0.0027232562410190414,0.011,-0.011,0.038,0.999,-0.009,0.031,0.003
2,1762398806.6502736,0.020968567482532268,-0.07639240269281723,-0.3890756337040501,0.0027319395287465622,0.011,-0.011,0.038,0.999,-0.009,0.03,0.003
3,1762398806.6585486,0.020893227507981428,-0.07641500822353631,-0.3859372765317074,0.003732769210981514,0.011,-0.011,0.038,0.999,-0.009,0.03,0.004
4,1762398806.666985,0.021241954443424665,-0.07696932455719914,-0.3854258710160745,0.0027349449028571033,0.011,-0.011,0.038,1.0,-0.009,0.03,0.003
5,1762398806.6755066,0.018729863045836424,-0.07696178935850326,-0.38294425175790925,0.0027649986330573573,0.011,-0.011,0.038,1.0,-0.008,0.03,0.003
6,1762398806.6836672,0.020991169443424666,-0.07696932455719914,-0.3811193704139214,0.0027349449028571033,0.011,-0.011,0.038,1.0,-0.009,0.03,0.003
7,1762398806.6921048,0.018484263039113623,-0.07419942158597898,-0.3809418066713287,0.002772685191722667,0.011,-0.011,0.039,1.0,-0.008,0.029,0.003
8,1762398806.700363,0.018484263039113623,-0.07419942158597898,-0.3810871390698731,0.002772685191722667,0.011,-0.011,0.039,1.0,-0.008,0.029,0.003
9,1762398806.7085116,0.018559829563593234,-0.07141725719801412,-0.3851728989534823,0.0017787958896919454,0.011,-0.011,0.039,1.0,-0.008,0.028,0.002
10,1762398806.716922,0.019064223113895846,-0.06915703657518159,-0.38925865883709154,0.00178661157991103,0.011,-0.011,0.039,1.0,-0.008,0.027,0.002
11,1762398806.725155,0.016807030292969392,-0.06764442188096015,-0.40024563963551507,0.001820467802819011,0.011,-0.011,0.04,1.0,-0.007,0.026,0.002
12,1762398806.7336874,0.0171245983409552,-0.0647387610037583,-0.42174042706077775,0.0008329604666972907,0.012,-0.011,0.041,1.0,-0.007,0.024,0.001
13,1762398806.7420275,0.01837938523026068,-0.06423506512751072,-0.4461960079157905,0.000839889493739683,0.012,-0.011,0.043,1.0,-0.007,0.023,0.001
14,1762398806.750294,0.018698769119726982,-0.06600812914236559,-0.46046667828510135,0.001840954147010158,0.012,-0.01,0.044,1.0,-0.007,0.023,0.002
15,1762398806.7586374,0.017947866114738645,-0.06662910388230761,-0.49379369379746085,0.0018698162327344889,0.013,-0.01,0.047,1.0,-0.006,0.022,0.002
16,1762398806.7669337,0.016198382411986904,-0.06411309846191637,-0.5271207093098204,0.001901527273986749,0.013,-0.01,0.05,1.0,-0.005,0.02,0.002
17,1762398806.7755365,0.017957923726333785,-0.06624443717712843,-0.5801498622475031,0.0019063824280568717,0.014,-0.01,0.053,1.0,-0.005,0.019,0.002
18,1762398806.7836845,0.01884069425617132,-0.06687125695452932,-0.6092135541336607,0.001911244473760542,0.015,-0.009,0.057,1.0,-0.005,0.018,0.002
19,1762398806.7924013,0.016833334966000188,-0.06849726929877989,-0.6356502943631087,0.001929256023846764,0.016,-0.009,0.061,1.0,-0.004,0.018,0.002
20,1762398806.8003926,0.01984797903973431,-0.06963085770324696,-0.6778487445328152,0.0019161134679431375,0.017,-0.009,0.065,1.0,-0.005,0.017,0.002
21,1762398806.8085306,0.017885289874244224,-0.06898905342415684,-0.7013356369644161,0.0009364802563614161,0.018,-0.009,0.07,1.0,-0.004,0.016,0.001
22,1762398806.8169303,0.019265534874244223,-0.07212479342415684,-0.7359870739370334,0.0009364802563614161,0.019,-0.008,0.075,1.0,-0.004,0.016,0.001
23,1762398806.8255153,0.020232939476316155,-0.07175902012274894,-0.7555335388835699,0.001940879178649696,0.02,-0.008,0.08,1.0,-0.004,0.015,0.002
24,1762398806.8337057,0.01910479283978402,-0.07413738846263529,-0.7691693626025091,0.001955885823921595,0.021,-0.007,0.085,1.0,-0.003,0.015,0.002
