step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1760765630.451529,0.0,0.0,-0.4547980749136967,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
1,1760765630.4599175,0.0,0.0,-0.45273005886522566,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
2,1760765630.4689813,0.0,0.0,-0.4578861598727064,-0.0,0.0,0.0,0.1,1.0,-0.0,-0.0,0.0
3,1760765630.4760942,0.0,0.0,-0.5057302253017206,-0.0,0.0,0.0,0.1,1.0,0.0,0.0,-0.0
4,1760765630.4842494,0.0,0.0,-0.49414498231362824,-0.0,0.0,0.0,0.101,1.0,0.0,0.0,-0.0
5,1760765630.4928844,0.0,0.0,-0.5180235866911174,-0.0,0.0,0.0,0.102,1.0,0.0,0.0,-0.0
6,1760765630.50162,0.0,0.0,-0.4864023645046617,-0.0,0.0,0.0,0.102,1.0,0.0,0.0,-0.0
7,1760765630.50928,0.0,0.0,-0.5365504854492484,-0.0,0.0,0.0,0.103,1.0,0.0,-0.0,-0.0
8,1760765630.5174816,0.0,0.0,-0.5581359799430681,-0.0,0.0,0.0,0.105,1.0,0.0,-0.0,-0.0
9,1760765630.5257978,0.0,0.0,-0.5275053374438299,-0.0,0.0,0.0,0.106,1.0,0.0,-0.0,-0.0
10,1760765630.534833,0.0,0.0,-0.5129593010259876,-0.0,0.0,0.0,0.106,1.0,-0.0,-0.0,-0.0
11,1760765630.542529,0.0,0.0,-0.5680384291428566,-0.0,0.0,0.0,0.108,1.0,-0.0,-0.0,-0.0
12,1760765630.5519009,0.0,0.0,-0.49569945627739975,-0.0,0.0,0.0,0.108,1.0,-0.0,-0.0,-0.0
13,1760765630.5600066,0.0,0.0,-0.48017378580424264,-0.0,0.0,0.0,0.109,1.0,-0.0,-0.0,-0.0
14,1760765630.5680354,0.0,0.0,-0.5336055963197166,-0.0,0.0,0.0,0.11,1.0,-0.0,-0.0,-0.0
15,1760765630.576267,0.0,0.0,-0.48786998179439744,-0.0,0.0,0.0,0.111,1.0,-0.0,-0.0,-0.0
16,1760765630.5850544,0.0,0.0,-0.5025542553734024,-0.0,0.0,0.0,0.112,1.0,-0.0,-0.0,-0.0
17,1760765630.5933206,0.0,0.0,-0.5428513076053276,-0.0,0.0,0.0,0.113,1.0,-0.0,-0.0,-0.0
18,1760765630.601241,0.0,0.0,-0.6035072351767534,-0.0,0.0,0.0,0.114,1.0,-0.0,-0.0,-0.0
19,1760765630.6090665,0.0,0.0,-0.5955395235325884,-0.0,0.0,0.0,0.116,1.0,-0.0,-0.0,-0.0
20,1760765630.6175904,0.0,0.0,-0.5340421990670107,-0.0,0.0,0.0,0.117,1.0,-0.0,-0.0,-0.0
21,1760765630.6257708,0.0,0.0,-0.5536574798182979,-0.0,0.0,0.0,0.119,1.0,-0.0,-0.0,-0.0
22,1760765630.6340654,0.0,0.0,-0.5476599819166652,-0.0,0.0,0.0,0.121,1.0,-0.0,-0.0,-0.0
23,1760765630.642383,0.0,0.0,-0.5387016905852826,-0.0,0.0,0.0,0.122,1.0,-0.0,-0.0,-0.0
24,1760765630.65071,0.0,0.0,-0.5435348954516261,-0.0,-0.0,0.0,0.123,1.0,-0.0,-0.0,-0.0
25,1760765630.6590557,0.0,0.0,-0.5427913008634129,-0.0,-0.0,0.0,0.125,1.0,-0.0,-0.0,-0.0
26,1760765630.6676843,0.0,0.0,-0.5285791062186107,-0.0,-0.0,0.0,0.126,1.0,-0.0,-0.0,-0.0
27,1760765630.6757982,0.0,0.0,-0.5275016698573572,-0.0,-0.0,0.0,0.127,1.0,-0.0,-0.0,-0.0
28,1760765630.6840763,0.0,0.0,-0.5149367928139502,-0.0,-0.0,0.0,0.129,1.0,-0.0,-0.0,-0.0
29,1760765630.6924353,0.0,0.0,-0.5453827763332137,-0.0,-0.0,0.0,0.13,1.0,-0.0,-0.0,-0.0
30,1760765630.7007658,0.0,0.0,-0.5512065608867749,-0.0,-0.0,0.0,0.132,1.0,-0.0,-0.0,-0.0
31,1760765630.7090466,0.0,0.0,-0.5452090629851423,-0.0,-0.0,0.0,0.134,1.0,0.0,-0.0,0.0
32,1760765630.7175198,0.0,0.0,-0.5638337640492119,-0.0,-0.0,0.0,0.135,1.0,0.0,-0.0,0.0
33,1760765630.726051,0.0,0.0,-0.5952703272556932,-0.0,-0.0,0.0,0.137,1.0,0.0,-0.0,0.0
34,1760765630.7351384,0.0,0.0,-0.4943687279394692,-0.0,-0.0,0.0,0.138,1.0,0.0,-0.0,0.0
35,1760765630.7425306,0.0,0.0,-0.5402535252578541,-0.0,-0.0,0.0,0.14,1.0,0.0,-0.0,0.0
36,1760765630.751258,0.0,0.0,-0.5536243230085043,-0.0,-0.0,0.0,0.141,1.0,0.0,-0.0,0.0
37,1760765630.7591212,0.0,0.0,-0.5249638942517985,-0.0,-0.0,0.0,0.142,1.0,0.0,-0.0,0.0
38,1760765630.7676685,0.0,0.0,-0.5281607271486499,-0.0,-0.0,0.0,0.144,1.0,0.0,-0.0,0.0
39,1760765630.7757692,0.0,0.0,-0.5806129036088091,-0.0,-0.0,0.0,0.146,1.0,0.0,-0.0,0.0
40,1760765630.784053,0.0,0.0,-0.5414446682252643,-0.0,-0.0,0.0,0.147,1.0,0.0,-0.0,0.0
41,1760765630.7924073,0.0,0.0,-0.5321634807527444,-0.0,-0.0,0.0,0.149,1.0,0.0,-0.0,0.0
42,1760765630.800688,0.0,0.0,-0.5590028785599837,-0.0,-0.0,0.0,0.151,1.0,0.0,-0.0,0.0
43,1760765630.8091655,0.0,0.0,-0.5424975740315119,-0.0,-0.0,0.0,0.153,1.0,0.0,-0.0,0.0
44,1760765630.817572,0.0,0.0,-0.545360565155323,-0.0,-0.0,0.0,0.154,1.0,0.0,-0.0,0.0
45,1760765630.8257613,0.0,0.0,-0.5413332809962226,-0.0,-0.0,0.0,0.156,1.0,0.0,-0.0,0.0
46,1760765630.83405,0.0,0.0,-0.5573310304035826,-0.0,-0.0,0.0,0.157,1.0,0.0,-0.0,0.0
