step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1763003040.035952,-0.00012043676632758757,0.0008299890377054132,0.05000000005927935,-0.004147901789821163,-0.0012043676632758757,0.008299890377054132,0.5000000005927934,-0.04147901789821163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029000754346100447,-0.02103314352553925,-0.008515444702154321,1.0000278655963455,0.002158576415255886,-0.009524129259920106,0.009305767205602652,4.541417682536124e-05,-0.0009887872278294535,-0.32949426669784415,0.012289894501007434,-0.08469578646826802,-0.42328022314120817,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0022,0.0047,0.0048,0.0
0,1763003040.061927,-0.016559354041822537,0.02739392782771235,0.09949998148443265,0.011396116732276952,-0.16440121643158226,0.26572238680383986,0.4999998142574609,0.15502539504199903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.021,-0.003,1.0,0.003,-0.01,0.013,0.001,0.001,0.003,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0011,0.0011,0.002,0.0
0,1763003040.1073167,-0.0021362048780688044,0.012625149110591777,0.14850497992320516,0.020246789048308907,0.14257555623335505,-0.14494839438843446,0.4999999825361683,0.08964633483354724,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.021,-0.002,1.0,0.001,-0.007,0.013,-0.003,0.002,0.002,-0.1,0.1,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0035,0.0055,0.0071,0.0
0,1763003040.1361105,-0.010535562851549968,0.030974600914445285,0.19701993001216977,0.02604887231126005,-0.08420720022261853,0.1847570329495942,0.49999999888196683,0.06004551153434233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.021,-0.003,1.0,0.002,-0.008,0.014,0.0,-0.001,-0.002,0.0,-0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0056,0.0033,0.0026,0.0
0,1763003040.1625926,-0.014278222689913758,0.02703944805411485,0.2450497306942029,0.02924647245351083,-0.0384801546687929,-0.03625406851185983,0.49999999982154864,0.03458088865363383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.021,-0.002,1.0,0.001,-0.007,0.014,-0.002,0.001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0013,0.0013,0.0024,0.0
0,1763003040.2087831,-0.01944981261725074,0.022537515698535408,0.29259892878706206,0.029872408669857978,-0.053143721542361175,-0.04231537875038293,0.49999695399801153,0.009184009408822528,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.021,-0.002,1.0,0.002,-0.007,0.013,0.002,-0.001,-0.002,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0079,0.0058,0.0038,0.0
0,1763003040.2290235,-0.04366541997670515,-0.02353964316711869,0.3336939467084683,0.030146918218144223,-0.2441010548562692,-0.45851783708668736,0.4402100720927685,0.005732336349848256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.021,-0.002,1.0,0.003,-0.004,0.013,0.0,0.0,0.001,0.1,0.2,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0015,0.0011,0.0018,0.0
0,1763003040.279325,-0.029024120454686404,0.0010620184145386027,0.3538956279032585,0.030403905347331873,0.14204645322251697,0.24366265149986108,0.2353862066187487,0.005584563113690939,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.021,-0.002,1.0,0.002,-0.005,0.013,0.001,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0026,0.0065,0.0125,0.0
0,1763003040.3003037,-0.024385327040464467,-0.012928573433907025,0.36363449068201714,0.030536546247216877,0.043485522096750634,-0.1397997166430024,0.13277819057791185,0.004366799533583179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.021,-0.002,1.0,0.002,-0.004,0.013,-0.002,-0.0,-0.0,-0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0042,0.0014,0.003,0.0
0,1763003040.3279088,-0.021346529635552034,-0.05814841475609178,0.3678454885767381,0.030563960137390597,0.027949441345077868,-0.45349127056523825,0.07847342801541203,0.003327793526458917,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-0.021,-0.002,1.0,0.002,-0.003,0.013,-0.004,0.004,0.011,-0.0,0.3,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.2,0.12,100.0,100.0,0.0,0.0008,0.0009,0.0019,0.0
