step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761197652.5977228,-4.110577329808144e-05,4.585843015107109e-05,0.049999998778070376,-0.020030707767064993,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0032,0.0031,0.0032,0.0
0,1761197652.6293972,-0.034873575089441736,-0.05176668864506621,0.09874999774055468,-0.021505955369736877,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0021,0.0027,0.003,0.0
0,1761197652.6605315,-0.039247054011379796,-0.053141413188499104,0.14628123887425157,-0.022740374234317805,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0019,0.0017,0.0022,0.0
0,1761197652.6942697,-0.039024576675940184,-0.05297812887123178,0.19262420790036974,-0.02347743995132834,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0019,0.0019,0.0024,0.0
0,1761197652.7284434,-0.038565095478741394,-0.056909514790775204,0.23780661443773923,-0.02282288055736935,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0026,0.0017,0.0024,0.0
0,1761197652.7618203,-0.043648672946309745,-0.06804529581725888,0.2767471762834209,-0.02241428696343754,0.018,-0.02,-0.003,1.0,0.001,0.004,-0.008,0.0019,0.0021,0.003,0.0
0,1761197652.7923875,-0.04372047649494381,-0.05984459215189768,0.28420615275723204,-0.023257227550023928,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0013,0.0011,0.0019,0.0
0,1761197652.8269985,-0.04367922773483206,-0.06147740881062412,0.28580295900554326,-0.023769530399729722,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0012,0.0012,0.0032,0.0
0,1761197652.8593888,-0.03456161693447765,-0.06038027523807356,0.2859274122689287,-0.02410823926083611,0.018,-0.02,-0.003,1.0,0.0,0.003,-0.009,0.0011,0.0011,0.0025,0.0
0,1761197652.8931694,-0.04330849965901776,-0.060338776773260897,0.28622836375878724,-0.024230973420700477,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0012,0.0014,0.0025,0.0
0,1761197652.9275956,-0.04382859937870688,-0.060336699027835894,0.2861829602315462,-0.023216396222744917,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0014,0.0018,0.0029,0.0
0,1761197652.959623,-0.04249062568563669,-0.013858640032663405,0.28621140061173794,-0.02362956587715978,0.018,-0.02,-0.003,1.0,0.001,0.002,-0.009,0.0012,0.0014,0.0024,0.0
0,1761197652.993148,-0.043724393464529616,-0.05985415659734361,0.28622526348565525,-0.02404820031468906,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0012,0.0015,0.0024,0.0
0,1761197653.0298476,-0.04379000981511044,-0.0626859352589672,0.28608230122712447,-0.023199119939932948,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0023,0.0023,0.0038,0.0
0,1761197653.0622258,-0.04495595272973363,-0.060410510590556105,0.28606627982658883,-0.02373113903910512,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0019,0.0018,0.0037,0.0
0,1761197653.0958273,-0.04500255696431639,-0.0603840746803162,0.28597273846009036,-0.024042654675281366,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0022,0.0021,0.0034,0.0
0,1761197653.1289308,-0.04380739042977523,-0.060364973415927975,0.28604599363220246,-0.024235701034220715,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0021,0.0019,0.0034,0.0
0,1761197653.1630561,-0.043754410767468374,-0.060372522265380424,0.2858785654671731,-0.02434129770378073,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0022,0.0021,0.004,0.0
0,1761197653.1956477,-0.043733115055608576,-0.06035664651217773,0.2860279156286471,-0.024400440075955276,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0024,0.0021,0.003,0.0
0,1761197653.2295868,-0.043764933146037986,-0.061475194368339814,0.2861453846289655,-0.023335126461366693,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0022,0.0021,0.0037,0.0
0,1761197653.2660146,-0.04378191294363528,-0.05924934515370225,0.2859893248590784,-0.02380211665929551,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0051,0.0023,0.0036,0.0
0,1761197653.297339,-0.043728617816644305,-0.06031891726659365,0.28613926240611964,-0.024091336004800297,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0024,0.0024,0.0044,0.0
0,1761197653.3318965,-0.03456090736883205,-0.060340717917089545,0.28589981848928153,-0.02430034360099111,0.018,-0.02,-0.003,1.0,0.0,0.003,-0.009,0.0025,0.0031,0.0047,0.0
0,1761197653.361822,-0.03276380873404463,-0.060296186429390664,0.2860447261509833,-0.024399463631508533,0.018,-0.02,-0.003,1.0,0.0,0.003,-0.009,0.0021,0.0019,0.0029,0.0
0,1761197653.3968656,-0.03381395405400734,-0.06028648936716747,0.28607067724440105,-0.02332301446686856,0.018,-0.02,-0.003,1.0,0.0,0.003,-0.008,0.0024,0.0018,0.0045,0.0
0,1761197653.4281735,-0.0432569667964037,-0.06029909794276048,0.2861631502956647,-0.022645949066654243,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.002,0.0017,0.003,0.0
0,1761197653.4609523,-0.04384097981099576,-0.060313415423531525,0.28617046084674547,-0.02228616802941658,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0017,0.0015,0.0029,0.0
0,1761197653.495827,-0.04381533930755508,-0.05916245466728973,0.2861747906807991,-0.022088642812155505,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0018,0.0021,0.0038,0.0
0,1761197653.529444,-0.04380168784021461,-0.060274152882962825,0.2861740912277596,-0.021986283294912375,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0024,0.0023,0.0032,0.0
0,1761197653.5634055,-0.04380783838533896,-0.0603239170337726,0.2860834963880391,-0.0219240342835135,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.002,0.0022,0.0043,0.0
0,1761197653.5959382,-0.043803032111004885,-0.06031548677910184,0.28606660807693257,-0.021886358387790475,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0024,0.002,0.0028,0.0
0,1761197653.6273327,-0.04382302974219497,-0.05916472366808796,0.28597413488092677,-0.021859040762335653,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0015,0.0016,0.0028,0.0
0,1761197653.6623988,-0.0438016594981946,-0.0602700684817792,0.2859550278330978,-0.021853079576140085,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0023,0.0021,0.0034,0.0
0,1761197653.6964574,-0.04260290453685659,-0.06029887125342944,0.2860426513703221,-0.02185480430532488,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0023,0.0022,0.0036,0.0
0,1761197653.730361,-0.04368161702625327,-0.06034812467222135,0.28614940008130013,-0.022944973243179123,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0021,0.002,0.004,0.0
0,1761197653.7672246,-0.04372869994045528,-0.060373500147662164,0.28616941513498273,-0.023589627206712854,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.009,0.0055,0.0029,0.0041,0.0
0,1761197653.7961605,-0.04378311432185478,-0.06033419567074025,0.28617340360322,-0.0228618746075267,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0019,0.0019,0.0042,0.0
0,1761197653.8295376,-0.04381372051870658,-0.06032069381980428,0.28599299536031314,-0.022429395457892465,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0019,0.0021,0.0041,0.0
0,1761197653.8615518,-0.043806037213457175,-0.0603115565886154,0.28595893530478766,-0.022179151896915168,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0019,0.0016,0.0033,0.0
0,1761197653.8956118,-0.04379982406358052,-0.06030874241312509,0.28604310183524734,-0.022034153976665548,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0022,0.0018,0.0033,0.0
0,1761197653.9312167,-0.043802537455175775,-0.06031415351371706,0.28605898995825385,-0.021950028658792066,0.018,-0.02,-0.003,1.0,0.001,0.003,-0.008,0.0024,0.0027,0.0047,0.0
