step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1762151543.5911183,0.0008535367613849662,-0.0025923384326968155,0.0500000001528523,-0.007669645900524081,0.00853536761384966,-0.025923384326968155,0.5000000015285231,-0.0766964590052408,-0.02,0.006,-0.004,1.0,-0.001,0.0,0.011,-0.035,0.073,0.034,0.005,0.009,-0.009,0.009631825002842863,-0.005099924329331263,-0.007508422603949067,0.999647574774647,-0.0011122911992527253,0.027749919643504962,-0.018454467034097557,-0.01109764294436548,-0.002997284823492168,-0.29916264338803394,-0.14926478626461429,0.4534753032314282,-1.345142346088588,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0022,0.0014,0.0017,0.0
0,1762151543.656257,0.012899891711024847,-0.05252602585268184,0.09874999575749865,-0.011254548630064101,0.12067693368674504,-0.49998495880802446,0.49999995608467673,-0.03776643877053122,-0.019,0.005,-0.006,1.0,-0.001,-0.0,0.011,0.055,-0.015,-0.076,-0.012,-0.025,-0.009,0.01,-0.005,-0.003,1.0,0.002,0.019,-0.005,-0.007,-0.004,0.019,-0.1,0.4,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0013,0.001,0.0016,0.0
0,1762151543.7257702,0.021760580450166205,-0.10121271424492445,0.1462812454165057,-0.011356722557932256,0.0918318603191698,-0.49999839038559657,0.49999999552944524,-0.00383537643619759,-0.018,0.006,-0.005,1.0,-0.001,-0.0,0.011,0.032,0.006,0.029,0.001,0.007,0.003,0.011,-0.005,-0.004,1.0,0.003,0.013,-0.005,0.002,0.002,-0.01,0.0,-0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0011,0.001,0.0046,0.0
0,1762151543.7988083,-0.02875899782674507,-0.04868250906150062,0.19262421314119382,-0.008975323428243014,-0.4997556376565712,0.49999887327300707,0.4999999886010078,0.020974810657409335,-0.019,0.004,-0.005,1.0,-0.001,-0.0,0.011,0.001,0.013,0.001,0.001,-0.001,-0.001,0.011,-0.005,-0.004,1.0,0.003,0.014,-0.005,-0.0,0.002,0.002,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0044,0.0052,0.0035,0.0
0,1762151543.858804,-0.0058871054676977105,-0.0974627749773906,0.2378085930788976,-0.01283599425043962,0.22152917413378725,-0.4999732864242748,0.49999985266233626,-0.04085053907902683,-0.02,0.005,-0.004,1.0,-0.001,-0.0,0.011,-0.023,0.007,0.027,-0.004,0.005,-0.001,0.011,-0.005,-0.004,1.0,0.004,0.012,-0.004,0.003,0.001,-0.001,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0019,0.0017,0.0029,0.0
0,1762151543.9337552,-0.036659663493076165,-0.11320584242344503,0.28186337154903723,-0.005676807176778346,-0.3091973566207089,-0.18179636820489192,0.4999999329711208,0.06838287217400284,-0.019,0.004,-0.006,1.0,-0.001,-0.0,0.011,0.007,-0.01,-0.074,0.008,-0.015,0.001,0.011,-0.005,-0.004,1.0,0.003,0.012,-0.005,0.004,0.006,-0.004,-0.0,-0.1,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0041,0.0041,0.0061,0.0
0,1762151543.9908628,-0.03251592171707164,-0.06510524238400386,0.3248167858983811,-0.009323108618708269,0.03227250188677616,0.45270453978855035,0.4999999863806987,-0.03788221621349382,-0.02,0.007,-0.007,1.0,-0.001,-0.0,0.01,-0.008,0.144,-0.064,0.011,-0.006,-0.042,0.011,-0.005,-0.004,1.0,0.004,0.011,-0.005,0.002,-0.0,-0.002,0.0,-0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0028,0.0009,0.0015,0.0
0,1762151544.0572755,-0.05477657721472452,-0.013766453472677909,0.3666962287097539,-0.011551245626394903,-0.23073553540579672,0.4971115785172588,0.499998624588323,-0.024612147231543424,-0.019,0.007,-0.007,1.0,-0.001,-0.0,0.011,-0.03,0.079,0.023,0.006,0.01,-0.014,0.011,-0.005,-0.004,1.0,0.004,0.01,-0.005,0.008,-0.001,-0.023,0.1,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0012,0.002,0.002,0.0
0,1762151544.1226134,-0.039046161785504324,-0.021934256441567712,0.4075287337246458,-0.013133088234224582,0.14361000998852072,-0.08511964305706754,0.49999910732635816,-0.0187062374848955,-0.018,0.006,-0.007,1.0,-0.001,-0.0,0.011,0.011,0.013,-0.014,-0.003,-0.01,-0.004,0.011,-0.005,-0.004,1.0,0.003,0.011,-0.005,0.002,0.002,-0.004,-0.0,-0.1,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.001,0.001,0.0018,0.0
0,1762151544.189714,-0.0011725868815140247,-0.0713856998646706,0.44733660734162756,-0.024356241928102595,0.368974208593527,-0.4999979983414207,0.4999609196009792,-0.1155148089973363,-0.019,0.005,-0.007,1.0,-0.001,-0.0,0.011,-0.088,-0.085,-0.046,-0.006,-0.002,0.011,0.01,-0.005,-0.003,1.0,0.002,0.017,-0.005,-0.012,-0.002,0.03,-0.1,0.5,-0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0008,0.001,0.0025,0.0
