step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761194714.5275433,-9.824897954795987e-06,-1.0508481608862916e-05,0.05000000000034363,-0.021137266242150284,0.004,0.004,0.013,0.999,0.02,0.037,-0.025,0.0031,0.004,0.0028,0.0
0,1761194714.5551584,-0.09705083462980091,-0.09992196911792528,0.09874994414805757,-0.040544257705047736,0.004,0.004,0.013,0.999,0.02,0.037,-0.025,0.001,0.0012,0.0021,0.0
0,1761194714.5885355,-0.15769324770126877,-0.19731219419674978,0.14628112364927262,-0.0565316784353236,0.004,0.004,0.013,0.999,0.019,0.039,-0.025,0.0012,0.0013,0.002,0.0
0,1761194714.6214883,-0.10442072433268977,-0.2916334020911098,0.19262409526596908,-0.06233800822358326,0.004,0.004,0.013,0.999,0.019,0.041,-0.025,0.0009,0.0011,0.002,0.0
0,1761194714.654513,-0.1713907031991374,-0.2802062877799278,0.23780849266573528,-0.06162357302623213,0.004,0.004,0.013,0.999,0.022,0.043,-0.025,0.0009,0.001,0.0019,0.0
0,1761194714.694421,-0.1879817194557377,-0.2643170456782949,0.2818618186235986,-0.05380161343431553,0.004,0.004,0.013,0.999,0.021,0.043,-0.024,0.0035,0.0025,0.0041,0.0
0,1761194714.7212005,-0.15310277742416323,-0.25571745997936973,0.3212025019730772,-0.05890227785665308,0.004,0.004,0.013,0.999,0.02,0.042,-0.025,0.0011,0.001,0.0016,0.0
0,1761194714.7546694,-0.15959037692259898,-0.23523756488316505,0.33033183948068795,-0.060990049172573904,0.004,0.004,0.013,0.999,0.021,0.041,-0.025,0.001,0.001,0.0018,0.0
0,1761194714.7892804,-0.10075972925779564,-0.2901443478809498,0.33255528902076725,-0.07168548796353437,0.004,0.004,0.013,0.999,0.017,0.042,-0.026,0.0014,0.001,0.0023,0.0
0,1761194714.8208323,-0.1935149495703427,-0.2773356975573903,0.33189805732663563,-0.05862698287231472,0.004,0.004,0.013,0.999,0.021,0.042,-0.025,0.0009,0.0009,0.0015,0.0
0,1761194714.8612611,-0.16800624443832007,-0.26580948985440145,0.33210527742194657,-0.06069088937763003,0.004,0.004,0.013,0.999,0.021,0.04,-0.025,0.002,0.0027,0.0055,0.0
0,1761194714.8890352,-0.196032449542968,-0.35083176862086407,0.3313416894538216,-0.0634589443247636,0.004,0.004,0.013,0.998,0.022,0.047,-0.025,0.0012,0.0012,0.0023,0.0
0,1761194714.9215436,-0.20346884999543355,-0.28019487846014346,0.3313790165059438,-0.06347404960222552,0.004,0.004,0.013,0.998,0.024,0.046,-0.025,0.0011,0.001,0.0018,0.0
0,1761194714.9552233,-0.14341300107191524,-0.3022449227863915,0.3319195223959404,-0.06498849259997046,0.004,0.004,0.013,0.998,0.023,0.045,-0.025,0.0011,0.0011,0.0021,0.0
0,1761194714.9883778,-0.0973478461527269,-0.26357558538022574,0.3318503891536571,-0.06568176157038094,0.004,0.004,0.014,0.998,0.02,0.045,-0.025,0.001,0.001,0.0021,0.0
0,1761194715.0213804,-0.11404377240033794,-0.28231387696200366,0.3326738163342555,-0.06453004514727657,0.004,0.004,0.013,0.999,0.018,0.043,-0.025,0.0008,0.001,0.0021,0.0
0,1761194715.0549963,-0.14989577049027197,-0.2522038366465087,0.33274842722653886,-0.07061473040044014,0.004,0.004,0.013,0.999,0.019,0.041,-0.026,0.0009,0.001,0.0023,0.0
0,1761194715.0906978,-0.1169195954650267,-0.2618033268466485,0.3331126121535768,-0.0680127876761299,0.004,0.004,0.013,0.999,0.019,0.042,-0.025,0.002,0.0017,0.0025,0.0
0,1761194715.1224046,-0.152152223342771,-0.28117110920397786,0.3328519203374685,-0.06534514520183198,0.004,0.004,0.013,0.999,0.019,0.042,-0.025,0.0012,0.0013,0.0022,0.0
0,1761194715.1547112,-0.11920320286538008,-0.27971177492536997,0.3325108683418025,-0.06513470139923286,0.004,0.004,0.013,0.999,0.019,0.043,-0.025,0.0009,0.0009,0.002,0.0
