step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761197569.6282117,-0.00046911865838440855,0.00015179952734779473,0.049999995347300485,-0.01810526915221778,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0033,0.0034,0.0032,0.0
0,1761197569.6569078,-0.04297763199169724,-0.09985177076079606,0.09874999506551603,-0.1175369815662417,0.146,-0.061,-0.004,0.991,0.002,0.005,-0.13,0.0016,0.0015,0.0022,0.0
0,1761197569.6921945,-0.05582222331137274,-0.19735497084095383,0.14628124500549947,-0.2004681491070623,0.146,-0.061,-0.004,0.991,0.002,0.005,-0.13,0.0019,0.0021,0.0032,0.0
0,1761197569.7261271,-0.061808952898058975,-0.2089823936737513,0.1926242079631187,-0.23886165689026767,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0023,0.0022,0.0032,0.0
0,1761197569.760912,-0.06607026794950469,-0.19397217176416198,0.2377788458117877,-0.2542395483095127,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.002,0.0021,0.0051,0.0
0,1761197569.7918658,-0.0716266703143272,-0.20548372213014826,0.2769797155311329,-0.26088654342809053,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0023,0.0018,0.0028,0.0
0,1761197569.8249555,-0.07223121289935336,-0.2025375695897429,0.28432899632673064,-0.2628996888736491,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0022,0.0017,0.0027,0.0
0,1761197569.8594737,-0.07260415799014192,-0.20216811913190086,0.2857425525831377,-0.2638796605773877,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0021,0.002,0.0037,0.0
0,1761197569.8973417,-0.07252146238341896,-0.20307902311588866,0.28599831074031057,-0.2642867025661765,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0045,0.0029,0.005,0.0
0,1761197569.9248483,-0.07270593639036702,-0.2023521567097487,0.28613917371748027,-0.26441628767638636,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0018,0.0017,0.0031,0.0
0,1761197569.9593859,-0.072563301627586,-0.2030137100813244,0.28607433345868816,-0.26449495520005184,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.002,0.0021,0.0036,0.0
0,1761197569.9911222,-0.07254793137527507,-0.20290996045518317,0.2860607409220675,-0.26451502708594077,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0017,0.0017,0.0028,0.0
0,1761197570.0246484,-0.07236636101224309,-0.20341862559827129,0.2860571666563215,-0.2645394973843232,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0019,0.0017,0.0028,0.0
0,1761197570.0585792,-0.0725370157105418,-0.2027788548279728,0.28605900460419764,-0.2645154514211271,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0018,0.0019,0.0033,0.0
0,1761197570.0916464,-0.07255051596439538,-0.2028860258115485,0.28606006874766476,-0.26451568808824716,0.146,-0.061,-0.004,0.991,0.002,0.004,-0.13,0.0018,0.0017,0.0032,0.0
0,1761197570.1271737,-0.0726861726678531,-0.20220045579429197,0.28606243343247467,-0.26441209181213954,0.146,-0.061,-0.004,0.992,0.002,0.004,-0.13,0.0018,0.002,0.0051,0.0
