step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time,mot_cap_x,mot_cap_y,mot_cap_z,mot_cap_qw,mot_cap_qx,mot_cap_qy,mot_cap_qz,mot_cap_vx,mot_cap_vy,mot_cap_vz,mot_cap_avx,mot_cap_avy,mot_cap_avz
0,1762138254.380801,6.765071645743239e-06,1.5742478588624625e-05,0.04999999987065237,-0.0069726445529573605,6.76507164574324e-05,0.00015742478588624625,0.4999999987065238,-0.0697264455295736,-0.009,-0.022,-0.008,0.999,0.003,0.012,-0.051,0.001,-0.004,-0.004,0.001,0.003,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0026,0.0018,0.0027,0.0,-0.002,0.003,-0.004,1.0,0.005,0.007,-0.03,0.0,0.001,-0.0,0.0,-0.0,-0.0
0,1762138254.4148483,-0.020356067803373727,-0.04894533308768974,0.09749999887930477,-0.054033287546265074,-0.20362494621437185,-0.48960288442348926,0.49999999002185014,-0.4740927522095558,-0.01,-0.023,-0.008,0.999,0.003,0.011,-0.051,0.003,0.001,-0.003,-0.004,-0.003,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0022,0.0025,0.0034,0.0,-0.002,0.003,-0.004,1.0,0.004,0.007,-0.03,-0.001,-0.001,0.001,-0.0,-0.0,0.0
0,1762138254.4501214,-0.036533016791382635,-0.08315343277111706,0.14262499822359095,-0.0877561622409481,-0.1719475237817759,-0.3665536633781181,0.499999992882514,-0.36424539071996287,-0.01,-0.023,-0.008,0.999,0.003,0.011,-0.051,-0.015,-0.023,-0.004,0.004,0.002,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0033,0.0029,0.0038,0.0,-0.002,0.003,-0.004,1.0,0.005,0.007,-0.03,0.0,0.0,-0.005,0.0,-0.0,-0.0
0,1762138254.4816568,-0.015658458364513468,-0.07779411438856573,0.18549374060133497,-0.10774563013121782,0.19047907587300025,0.012016467439954583,0.49999992288923584,-0.2437727600231715,-0.009,-0.022,-0.008,0.999,0.003,0.011,-0.051,0.023,0.035,0.009,-0.007,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0028,0.0022,0.0032,0.0,-0.002,0.003,-0.004,1.0,0.004,0.007,-0.03,-0.002,-0.0,0.002,-0.0,-0.0,-0.0
0,1762138254.5129986,-0.0267513976572792,-0.06331293617236415,0.22621904874490342,-0.11787933618933363,-0.11875862210991403,0.10591472496773299,0.49999995173635253,-0.15520987564676703,-0.01,-0.022,-0.007,0.999,0.003,0.012,-0.051,-0.011,-0.002,0.009,0.005,0.002,-0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0022,0.0013,0.0022,0.0,-0.002,0.003,-0.004,1.0,0.004,0.007,-0.03,-0.0,0.0,-0.0,0.0,-0.0,-0.0
0,1762138254.5471961,-0.026738770716174698,-0.06375467390275123,0.26490809576635893,-0.12223583090981598,-0.013249429417594657,-0.03607384539005293,0.49999999458700706,-0.10250461529949015,-0.009,-0.022,-0.007,0.999,0.003,0.011,-0.051,0.006,0.003,0.002,-0.007,-0.001,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0016,0.0014,0.0036,0.0,-0.002,0.003,-0.004,1.0,0.004,0.007,-0.03,0.0,-0.001,0.001,-0.0,0.0,0.0
0,1762138254.578615,-0.04768157657277013,-0.05891147522812707,0.3016626897990663,-0.123625291630405,-0.22279744392404172,0.016554649794865997,0.4999999882102539,-0.07501252266079822,-0.01,-0.023,-0.008,0.999,0.003,0.011,-0.051,-0.012,-0.037,-0.031,0.007,-0.01,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0021,0.001,0.0019,0.0,-0.002,0.003,-0.004,1.0,0.004,0.007,-0.03,-0.001,-0.0,0.003,-0.0,0.0,0.0
0,1762138254.6133213,-0.0361185431970903,-0.06434075686709742,0.3365794372552286,-0.12486689214135306,0.09178954547041326,-0.08374855400376689,0.4999988194611567,-0.07422865092468298,-0.01,-0.023,-0.008,0.999,0.003,0.011,-0.051,-0.006,0.009,0.014,0.004,0.009,-0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0026,0.001,0.0028,0.0,-0.002,0.003,-0.004,1.0,0.004,0.007,-0.03,-0.0,-0.001,0.003,0.0,-0.0,-0.0
0,1762138254.6475337,-0.015495895170297577,-0.07803501147216182,0.3697461599677447,-0.12531268252200553,0.18816720866938208,-0.16911292448419285,0.4999569457527759,-0.06689134987720141,-0.009,-0.022,-0.008,0.999,0.003,0.011,-0.051,0.021,0.035,0.005,-0.006,-0.002,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0022,0.0017,0.0029,0.0,-0.002,0.003,-0.004,1.0,0.004,0.007,-0.03,0.0,0.0,0.006,0.1,0.2,0.0
0,1762138254.682779,-0.03308508588215091,-0.07956761884512606,0.3905617360663921,-0.12467342733707176,-0.18363985470368205,-0.05434357946572339,0.39302884097034746,-0.05626378941166524,-0.009,-0.022,-0.007,0.999,0.003,0.012,-0.051,-0.005,-0.014,0.012,-0.004,0.005,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.1,0.12,50.0,300.0,0.0,0.0027,0.002,0.004,0.0,-0.002,0.003,-0.004,1.0,0.004,0.007,-0.03,-0.001,-0.001,0.002,0.0,-0.0,0.0
