step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time,mot_cap_x,mot_cap_y,mot_cap_z,mot_cap_qw,mot_cap_qx,mot_cap_qy,mot_cap_qz,mot_cap_vx,mot_cap_vy,mot_cap_vz,mot_cap_avx,mot_cap_avy,mot_cap_avz
0,1762149677.6605225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,-0.377,0.997,-0.04,-0.064,-0.016,-0.015,0.01,-0.022,-0.012,-0.011,-0.005,0.030162182916238237,0.0499042354648077,-0.38829726860153796,0.9967570009340749,-0.03940005476769452,-0.06448510233059884,-0.02705533524596119,0.02474542040115755,-0.015764395610926317,-0.6541516270054885,-0.001978939324673826,0.004543061917696186,-1.266046564775425,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.0014,0.0013,0.0023,0.0,0.011,-0.002,-0.004,1.0,-0.006,-0.001,-0.022,-0.003,-0.001,0.007,-0.0,0.0,-0.0
0,1762149677.6964657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,-0.376,0.997,-0.04,-0.064,-0.016,-0.012,-0.011,-0.003,-0.026,-0.005,-0.002,0.03,0.05,-0.376,0.997,-0.04,-0.064,-0.016,-0.012,-0.011,-0.003,-0.026,-0.005,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.0022,0.0024,0.0032,0.0,0.011,-0.002,-0.004,1.0,-0.006,-0.003,-0.021,0.005,-0.0,-0.006,0.0,-0.1,0.0
0,1762149677.7258697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.049,-0.376,0.997,-0.04,-0.064,-0.016,-0.012,-0.047,0.018,0.009,0.005,0.009,0.0296,0.04743333333333334,-0.3808248207175926,0.997011970555904,-0.03987664782098966,-0.06392431741205754,-0.01586395956018555,-0.012,-0.047,-0.3065875896412037,0.006817304669638776,0.003787391483132652,0.006817304669638776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.001,0.001,0.0018,0.0,0.011,-0.002,-0.004,1.0,-0.006,-0.001,-0.022,-0.008,0.001,0.018,-0.0,0.2,-0.1
0,1762149677.7671583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.05,-0.375,0.997,-0.04,-0.064,-0.016,0.035,0.038,0.012,0.008,-0.006,-0.006,0.033333333333333326,0.052533333333333335,-0.3957729701508401,0.9969958639096053,-0.03978865801291583,-0.0641623894989963,-0.01613374920338637,0.035,0.038,-0.63161351492458,0.004590186958881842,-0.003442640219161381,-0.003442640219161381,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.0042,0.0038,0.0034,0.0,0.011,-0.002,-0.004,1.0,-0.005,-0.004,-0.021,0.005,0.001,-0.013,0.1,-0.2,0.1
0,1762149677.7956624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.05,-0.376,0.997,-0.04,-0.064,-0.016,0.024,0.021,-0.01,-0.02,0.001,-0.006,0.033399999999999985,0.05210000000000002,-0.4252180301342165,0.9969715256860109,-0.040662840377031245,-0.06396344911794738,-0.016247699860053224,0.024,0.021,-0.9663909849328916,-0.008692417497027828,0.00043462087485139145,-0.0026077252491083485,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.0028,0.0024,0.0018,0.0,0.011,-0.002,-0.004,1.0,-0.006,-0.0,-0.022,-0.003,0.0,0.008,-0.0,0.1,-0.1
0,1762149677.8264556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,-0.376,0.997,-0.04,-0.064,-0.016,-0.009,0.04,0.008,0.008,0.006,-0.005,0.028799999999999992,0.055333333333333304,-0.46026220599746426,0.9970250132510626,-0.039662242742901636,-0.0637724367254052,-0.016189682707720855,-0.009,0.04,-1.257868897001268,0.0026337270396861157,0.001975295279764587,-0.0016460793998038222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.0013,0.0011,0.002,0.0,0.011,-0.002,-0.004,1.0,-0.005,-0.003,-0.021,0.003,-0.0,-0.006,0.0,-0.1,0.0
0,1762149677.8612096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.049,-0.376,0.997,-0.04,-0.064,-0.016,0.026,-0.021,0.004,0.011,0.005,0.003,0.03533333333333334,0.04549999999999997,-0.5079031873336467,0.9970362336630127,-0.03951111094980925,-0.06377799978578973,-0.015842591197142316,0.026,-0.021,-1.5650484063331764,0.002743112723725927,0.001246869419875421,0.0007481216519252526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.0016,0.0013,0.003,0.0,0.011,-0.002,-0.004,1.0,-0.006,-0.001,-0.022,-0.005,-0.001,0.008,-0.0,0.1,-0.1
0,1762149677.8933225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,-0.376,0.997,-0.04,-0.064,-0.016,-0.018,-0.025,0.01,-0.011,0.006,0.002,0.02640000000000002,0.04499999999999997,-0.5639170344079281,0.9969986419660221,-0.04053527277390653,-0.06369640755461634,-0.015948897357609623,-0.018,-0.025,-1.8580414827960356,-0.002077848353422478,0.001133371829139533,0.0003777906097131777,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.0013,0.0011,0.0023,0.0,0.011,-0.002,-0.004,1.0,-0.006,-0.001,-0.022,0.0,0.001,-0.0,-0.0,-0.0,-0.0
0,1762149677.9294515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,-0.376,0.997,-0.04,-0.064,-0.016,0.004,-0.001,0.007,0.023,-0.004,-0.005,0.030933333333333327,0.0497666666666666,-0.6314190410209989,0.9970292753385263,-0.038807811622292444,-0.06423419826551967,-0.016172382246790816,0.004,-0.001,-2.1542904794895006,0.0032909341565609167,-0.0005723363750540725,-0.0007154204688175908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.0017,0.0013,0.0045,0.0,0.011,-0.002,-0.004,1.0,-0.005,-0.0,-0.022,-0.004,-0.0,0.007,0.0,0.1,-0.0
0,1762149677.9602683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.049,-0.376,0.997,-0.04,-0.064,-0.016,0.011,-0.003,0.008,-0.004,-0.005,0.002,0.03293333333333334,0.04819999999999998,-0.7078038153366043,0.9969759691497538,-0.04022447089177045,-0.06425897492007335,-0.015896321758478653,0.011,-0.003,-2.442098092331697,-0.00043353238247336194,-0.0005419154780917026,0.00021676619123668097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.5,0.12,50.0,300.0,0.0,0.0015,0.0013,0.002,0.0,0.011,-0.002,-0.004,1.0,-0.006,-0.001,-0.022,-0.002,0.0,0.004,0.0,0.1,-0.0
