step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1762151349.1301472,-5.485815470606696e-05,1.8011012542073358e-05,0.050000000089662905,-0.007256558360260798,-0.0005485815470606696,0.00018011012542073357,0.500000000896629,-0.07256558360260798,0.014,-0.007,0.005,1.0,-0.001,0.0,0.02,-0.014,-0.022,0.018,0.001,0.002,0.008,0.03799946581811491,-0.013933153169311865,-0.009615264486076027,0.9999307117847585,0.002016938449361715,0.005994204286546899,-0.012076300099302977,-3.207121791730901e-05,0.0020108949688170947,-0.3325545106579693,0.009581086474308177,-0.003145659073247796,-1.269841198523771,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0021,0.0015,0.0017,0.0
0,1762151349.1956358,-0.01473597173711257,-0.040909224997920705,0.0987499869865957,-0.006083979014656371,-0.14682485036274154,-0.40926785735149224,0.4999998689917437,0.009911653865979066,0.014,-0.007,0.004,1.0,-0.001,0.0,0.02,-0.018,0.048,-0.044,-0.004,-0.007,-0.011,0.038,-0.014,-0.004,1.0,0.002,0.006,-0.001,-0.001,-0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0016,0.001,0.0016,0.0
0,1762151349.2616763,-0.02702155469872084,-0.08908662509387213,0.1462812370102457,-0.005200929623556921,-0.1265398225503609,-0.4920013072089946,0.499999996983149,0.007309499157330396,0.014,-0.007,0.005,1.0,-0.001,0.0,0.02,0.022,-0.024,0.04,-0.01,0.009,0.006,0.038,-0.014,-0.004,1.0,0.002,0.006,-0.001,0.0,-0.0,0.002,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0012,0.001,0.0014,0.0
0,1762151349.331397,-0.02118232052240303,-0.038023695156847157,0.19262417780713048,-0.0046042232022383755,0.05163695308849789,0.4883576430967818,0.4999997172214095,0.004666831807296233,0.014,-0.007,0.005,1.0,-0.001,0.0,0.02,0.007,0.007,-0.0,0.003,-0.003,-0.002,0.039,-0.014,-0.004,1.0,0.002,0.006,-0.001,0.001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0008,0.001,0.0049,0.0
0,1762151349.3951802,-0.023475297937113438,-0.08705717179961134,0.23780857157245802,-0.004698454060623409,-0.02822535427770487,-0.49984069021685357,0.4999999821050579,-0.0020933643844099252,0.014,-0.007,0.005,1.0,-0.001,0.0,0.02,-0.022,0.015,0.008,-0.006,0.006,-0.005,0.038,-0.014,-0.004,1.0,0.002,0.006,-0.001,-0.001,-0.0,0.002,-0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0009,0.0012,0.0016,0.0
0,1762151349.4614394,-0.024688960874842833,-0.043409000826032704,0.28186335538335033,-0.004377177113159958,-0.018005453861572263,0.4147174167858835,0.4999999810020382,0.002038155959478658,0.014,-0.008,0.005,1.0,-0.001,0.0,0.02,-0.046,-0.034,0.018,-0.0,0.004,-0.0,0.038,-0.014,-0.004,1.0,0.002,0.006,-0.001,-0.0,0.001,-0.002,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0008,0.0009,0.0017,0.0
0,1762151349.5291662,-0.024198820362402812,-0.062685798132749,0.32481670695533316,-0.004103581779488175,-0.0012708350943104983,-0.20362022327367102,0.4999993545656668,0.0016416590584278413,0.014,-0.007,0.004,1.0,-0.001,0.0,0.02,0.056,-0.01,-0.019,-0.001,-0.018,0.004,0.038,-0.014,-0.004,1.0,0.002,0.006,-0.001,0.0,-0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0009,0.0012,0.0023,0.0
0,1762151349.5952659,-0.024102111749264327,-0.088697650695984,0.366696265252651,-0.0038420066169636206,-0.005082618959215857,-0.2757899751655372,0.49999975971201066,0.0015898561803734978,0.014,-0.007,0.005,1.0,-0.001,0.0,0.02,-0.058,-0.002,0.03,0.006,0.015,0.003,0.039,-0.014,-0.004,1.0,0.002,0.007,-0.001,0.001,-0.0,0.007,-0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.0011,0.0008,0.0019,0.0
0,1762151349.666202,-0.024080732259686773,-0.07784964898145097,0.4075287708736654,-0.003658407370285827,-0.005811733041540541,0.08630560447133416,0.49999912252330714,0.0008754908125370273,0.014,-0.007,0.004,1.0,-0.001,0.0,0.02,0.025,-0.014,-0.023,-0.0,-0.011,0.007,0.039,-0.014,-0.004,1.0,0.002,0.006,-0.001,0.002,0.001,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.001,0.0021,0.0049,0.0
0,1762151349.7324052,-0.02547089967889276,-0.07105820665557763,0.4473356296526465,-0.003522878878091093,-0.01992185725698155,0.04845201101337038,0.4999507805082273,0.0004406830793758829,0.014,-0.007,0.005,1.0,-0.001,0.0,0.02,-0.044,0.004,0.037,0.005,0.009,-0.004,0.038,-0.014,-0.004,1.0,0.002,0.006,-0.001,0.0,-0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2,0.12,50.0,300.0,0.0,0.002,0.0021,0.0036,0.0
