step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1762400859.468384,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.045,0.026
0,1762400859.470673,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.045,0.026
0,1762400859.4805105,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.043,0.028
0,1762400859.490703,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.043,0.028
0,1762400859.5012407,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.009,0.043,0.027
0,1762400859.5105824,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.009,0.042,0.027
0,1762400859.5203576,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.009,0.043,0.026
0,1762400859.5305922,0.0,0.0,-1.0,0.0,0.008,-0.011,0.041,0.999,-0.009,0.044,0.026
0,1762400859.540704,0.0,0.0,-1.0,0.0,0.008,-0.011,0.041,0.999,-0.009,0.044,0.026
0,1762400859.552429,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.044,0.026
0,1762400859.5608156,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.009,0.044,0.027
0,1762400859.5709243,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.044,0.027
0,1762400859.5806723,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.044,0.027
0,1762400859.590895,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.044,0.027
0,1762400859.6012926,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.043,0.027
0,1762400859.6125548,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.043,0.027
0,1762400859.6212697,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.043,0.027
0,1762400859.6312084,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.043,0.027
0,1762400859.6413958,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.042,0.027
0,1762400859.6511576,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.042,0.027
0,1762400859.6605268,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.042,0.027
0,1762400859.6707838,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.042,0.027
0,1762400859.6812477,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.042,0.027
0,1762400859.691257,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.043,0.027
0,1762400859.700653,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.042,0.027
0,1762400859.7110348,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.042,0.027
0,1762400859.7224038,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.042,0.026
0,1762400859.7318695,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.042,0.027
0,1762400859.7409344,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.042,0.027
0,1762400859.7507088,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.042,0.027
0,1762400859.7607136,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.043,0.027
0,1762400859.7711353,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.043,0.028
0,1762400859.7812352,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.044,0.028
0,1762400859.7909102,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.044,0.027
0,1762400859.801128,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.044,0.027
0,1762400859.8107727,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.008,0.043,0.027
0,1762400859.82108,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.043,0.027
0,1762400859.8312166,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.043,0.027
0,1762400859.8415587,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.007,0.043,0.027
0,1762400859.8512034,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.043,0.027
0,1762400859.8605242,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.043,0.027
0,1762400859.870637,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.043,0.027
0,1762400859.8808224,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.043,0.027
0,1762400859.8907378,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.005,0.043,0.027
0,1762400859.901964,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.005,0.043,0.027
0,1762400859.9109406,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.005,0.043,0.027
0,1762400859.9216907,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.005,0.043,0.027
0,1762400859.9321482,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.005,0.043,0.027
0,1762400859.9406881,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.005,0.043,0.027
0,1762400859.950826,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.043,0.027
0,1762400859.9621017,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.043,0.027
0,1762400859.971597,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.043,0.027
0,1762400859.9805045,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400859.991171,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400860.0010185,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400860.0115054,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400860.0207782,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400860.0313733,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400860.0410216,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.005,0.043,0.027
0,1762400860.050922,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.043,0.027
0,1762400860.0621347,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400860.0708985,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400860.0816667,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.041,0.027
0,1762400860.0916195,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400860.1009052,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.006,0.042,0.027
0,1762400860.1112373,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.005,0.043,0.027
0,1762400860.1212065,0.0,0.0,-1.0,0.0,0.008,-0.01,0.041,0.999,-0.005,0.043,0.027
0,1762400860.1309938,0.0,0.0,-1.0,0.0,0.008,-0.011,0.041,0.999,-0.005,0.043,0.027
0,1762400860.1408803,0.0,0.0,-1.0,0.0,0.008,-0.011,0.041,0.999,-0.005,0.042,0.027
