px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,-0.002,0.002,-0.0,-0.014,0.017,0.019
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.002,0.001,0.002,-0.001,0.035,0.019
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,0.0,-0.0,0.001,-0.015,0.002,-0.011
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,-0.001,0.001,-0.001,-0.002,-0.015,0.007
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.001,0.0,0.001,0.019,0.018,0.018
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.0,0.0,0.0,0.011,0.028,0.013
0.016,-0.013,0.039,0.999,0.014,0.04,0.0,0.001,-0.0,0.001,0.021,-0.053,0.003
0.016,-0.013,0.039,0.999,0.014,0.04,0.0,0.001,0.0,0.0,0.009,-0.031,-0.003
0.016,-0.013,0.038,0.999,0.014,0.04,0.0,0.0,0.001,-0.002,-0.006,-0.025,0.007
0.016,-0.013,0.038,0.999,0.014,0.04,0.0,0.001,-0.0,-0.002,-0.024,-0.036,-0.019
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,-0.001,0.002,-0.001,0.019,0.013,0.009
0.016,-0.013,0.038,0.999,0.014,0.04,-0.0,0.0,0.001,-0.001,-0.003,-0.028,-0.027
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.001,-0.0,0.001,0.004,0.017,-0.009
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.002,0.001,0.002,0.006,0.029,0.021
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,-0.001,0.001,-0.001,-0.009,0.001,0.005
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,-0.0,0.001,-0.001,-0.006,0.004,0.007
0.016,-0.013,0.039,0.999,0.014,0.04,-0.0,0.002,-0.002,0.003,0.006,-0.024,-0.026
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,0.001,-0.0,-0.001,-0.002,0.021,-0.012
0.016,-0.013,0.039,0.999,0.014,0.041,-0.0,0.001,-0.002,0.003,0.016,-0.017,-0.018
0.016,-0.013,0.039,0.999,0.014,0.04,-0.0,0.001,-0.002,0.002,0.008,-0.029,-0.013
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,0.001,-0.0,-0.002,-0.006,0.016,-0.003
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,-0.001,0.001,-0.002,-0.004,0.002,0.019
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,-0.001,0.002,-0.002,0.001,-0.002,0.016
0.016,-0.013,0.038,0.999,0.014,0.04,-0.0,0.0,0.0,-0.002,-0.015,-0.026,-0.017
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.002,0.0,0.002,0.018,0.066,0.033
0.016,-0.013,0.039,0.999,0.014,0.04,0.0,-0.001,-0.0,0.003,0.003,-0.013,0.013
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.001,0.001,0.0,0.007,0.029,0.019
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.001,-0.0,0.002,0.009,0.072,0.02
0.016,-0.013,0.039,0.999,0.014,0.041,-0.0,0.001,-0.002,0.003,0.018,0.002,-0.023
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,0.001,-0.0,-0.0,-0.004,0.025,-0.014
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,0.001,-0.0,-0.001,-0.0,0.007,-0.007
0.016,-0.013,0.038,0.999,0.014,0.04,-0.0,0.001,0.0,-0.002,-0.012,-0.036,-0.01
0.016,-0.013,0.038,0.999,0.014,0.04,0.0,-0.0,0.002,-0.002,0.002,-0.015,0.019
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,0.0,-0.0,-0.0,0.009,0.023,-0.004
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.0,-0.0,0.001,0.006,0.01,-0.009
0.016,-0.013,0.039,0.999,0.014,0.041,-0.0,-0.001,-0.0,0.001,-0.004,0.0,-0.009
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.001,-0.001,0.001,-0.008,-0.009,-0.002
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.002,0.0,0.0,0.002,0.007,0.027
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.001,0.001,0.0,0.0,0.021,0.021
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.0,-0.0,0.003,0.018,-0.024,0.011
0.016,-0.013,0.039,0.999,0.014,0.04,-0.0,0.002,-0.001,-0.0,-0.002,-0.071,-0.034
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,0.001,-0.0,-0.001,-0.005,-0.011,-0.008
0.016,-0.013,0.039,0.999,0.014,0.04,0.0,-0.0,-0.002,0.002,0.025,-0.02,0.016
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.001,-0.001,-0.0,-0.001,0.021,0.015
0.016,-0.013,0.039,0.999,0.014,0.041,0.0,-0.0,-0.0,0.0,0.002,0.024,0.014
0.016,-0.013,0.039,0.999,0.014,0.04,0.0,-0.0,0.001,0.001,0.016,-0.035,-0.001
0.016,-0.013,0.039,0.999,0.014,0.04,-0.0,0.001,-0.001,0.003,0.002,-0.011,-0.026
0.016,-0.013,0.038,0.999,0.014,0.041,0.0,-0.002,0.002,-0.002,-0.0,0.003,0.015
0.016,-0.013,0.039,0.999,0.014,0.041,0.001,-0.001,0.001,-0.001,-0.005,0.037,0.04
0.016,-0.013,0.039,0.999,0.014,0.041,0.001,-0.001,0.0,-0.0,-0.008,0.023,0.024
0.016,-0.013,0.039,0.999,0.014,0.041,-0.0,0.001,-0.001,-0.0,-0.017,0.028,-0.049
0.016,-0.013,0.039,0.999,0.014,0.041,-0.0,0.001,0.0,-0.0,0.005,0.028,-0.064
0.016,-0.013,0.039,0.999,0.014,0.041,-0.0,0.002,-0.002,0.002,0.004,-0.014,-0.048
0.016,-0.013,0.038,0.999,0.014,0.041,-0.0,0.001,-0.001,-0.001,-0.004,0.004,-0.011
0.016,-0.013,0.038,0.999,0.014,0.041,-0.0,0.001,-0.001,-0.001,-0.028,0.015,-0.02
0.016,-0.013,0.038,0.999,0.014,0.041,-0.0,0.001,-0.0,-0.001,-0.011,0.0,-0.023
