Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.066,-0.16,0.4,-0.022,0.008,-0.021,0.058,0.999,0.008,0.026,-0.017,-0.001,-0.002,-0.001,0.002,0.026,-0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.062,-0.145,0.4,-0.022,0.008,-0.021,0.058,1.0,0.008,0.025,-0.017,-0.001,0.002,0.006,-0.01,-0.044,-0.018,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.04,0.103,0.4,0.001,0.008,-0.021,0.06,1.0,0.001,0.009,-0.014,-0.007,0.014,0.089,-0.529,-1.468,0.276,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.086,0.149,0.4,0.009,0.007,-0.019,0.077,1.0,-0.008,-0.009,-0.009,0.002,0.031,0.496,-0.339,-0.907,0.285,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.058,0.147,0.4,-0.013,0.008,-0.017,0.112,1.0,-0.009,-0.019,-0.007,0.037,0.07,1.175,0.383,-0.394,-0.078,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.015,-0.2,0.4,-0.007,0.01,-0.015,0.164,1.0,0.0,0.004,-0.007,0.051,0.075,1.623,0.7,1.203,-0.032,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.014,-0.2,0.293,-0.015,0.013,-0.011,0.232,1.0,0.008,0.017,-0.009,0.085,0.103,2.15,0.349,0.655,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.024,-0.197,0.167,-0.012,0.017,-0.008,0.315,1.0,0.014,0.024,-0.008,0.118,0.108,2.604,0.22,-0.008,-0.006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.038,0.003,0.084,-0.006,0.02,-0.005,0.397,1.0,0.013,0.002,-0.007,0.128,0.099,2.863,0.042,-1.292,0.062,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.025,0.037,0.011,0.003,0.025,-0.002,0.496,1.0,0.014,-0.019,-0.005,0.135,0.089,3.005,-0.036,-1.258,0.126,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.012,0.074,0.0,-0.002,0.03,0.001,0.606,0.999,0.02,-0.041,-0.005,0.136,0.08,2.956,0.18,-1.1,0.063,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.025,-0.013,0.0,-0.007,0.035,0.003,0.698,0.999,0.023,-0.041,-0.005,0.16,0.076,3.007,0.273,0.093,-0.006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.001,-0.168,-0.0,-0.025,0.039,0.005,0.774,0.999,0.025,-0.035,-0.005,0.305,0.16,5.138,0.299,1.211,-0.231,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.019,0.004,0.0,-0.004,0.044,0.008,0.861,0.999,0.021,-0.027,-0.005,0.16,0.094,2.828,-0.196,0.54,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.028,0.033,0.0,0.004,0.047,0.011,0.929,0.999,0.018,-0.037,-0.003,0.124,0.082,2.323,-0.23,-0.813,0.125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.004,0.13,0.0,0.004,0.05,0.013,0.982,0.998,0.017,-0.055,-0.002,0.1,0.07,1.956,-0.186,-1.188,0.097,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.002,0.037,0.0,0.002,0.054,0.015,1.042,0.998,0.018,-0.055,-0.001,0.1,0.06,1.644,-0.072,0.038,0.042,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.021,-0.034,0.0,-0.006,0.057,0.017,1.086,0.999,0.02,-0.045,-0.002,0.106,0.064,1.386,0.217,0.7,-0.048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.011,-0.066,0.0,-0.006,0.061,0.019,1.122,0.999,0.021,-0.031,-0.003,0.108,0.059,1.152,0.055,0.747,-0.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.004,-0.045,0.0,-0.008,0.063,0.021,1.148,0.999,0.021,-0.024,-0.004,0.084,0.061,0.839,-0.037,0.407,-0.041,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.014,0.008,0.0,-0.006,0.066,0.023,1.166,0.999,0.017,-0.029,-0.004,0.072,0.062,0.565,-0.188,-0.258,-0.017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.019,0.039,0.0,-0.003,0.067,0.024,1.174,0.999,0.016,-0.041,-0.003,0.058,0.06,0.291,-0.103,-0.528,0.013,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.009,0.032,0.002,0.001,0.069,0.026,1.173,0.999,0.017,-0.046,-0.002,0.054,0.057,-0.016,0.065,-0.3,0.055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.007,0.016,0.061,-0.008,0.071,0.028,1.163,0.999,0.019,-0.047,-0.002,0.064,0.048,-0.308,0.182,-0.067,-0.075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.028,-0.039,0.133,-0.007,0.073,0.029,1.143,0.999,0.023,-0.037,-0.002,0.055,0.045,-0.577,0.175,0.51,-0.052,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.051,-0.052,0.218,-0.006,0.075,0.031,1.114,0.999,0.026,-0.031,-0.002,0.052,0.046,-0.893,0.189,0.474,-0.039,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.007,0.019,0.306,0.0,0.076,0.032,1.076,0.999,0.021,-0.033,-0.001,0.031,0.05,-1.151,-0.215,-0.063,0.018,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.027,0.102,0.384,0.002,0.076,0.034,1.033,0.999,0.016,-0.041,-0.001,0.024,0.051,-1.324,-0.294,-0.277,0.042,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.049,0.156,0.4,0.006,0.077,0.035,0.993,0.999,0.011,-0.046,-0.0,0.008,0.043,-1.365,-0.292,-0.312,0.071,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.043,0.02,0.4,-0.004,0.076,0.036,0.946,0.999,0.016,-0.035,0.0,-0.006,0.026,-1.267,0.217,0.51,-0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.104,-0.102,0.4,-0.008,0.076,0.037,0.916,1.0,0.022,-0.02,-0.001,-0.021,0.015,-0.953,0.412,0.899,-0.068,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.109,-0.182,0.331,-0.008,0.075,0.037,0.9,1.0,0.027,-0.003,-0.002,-0.029,0.001,-0.526,0.25,0.805,-0.043,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.049,-0.02,0.26,-0.007,0.073,0.036,0.899,1.0,0.015,-0.009,-0.002,-0.046,-0.01,-0.112,-0.615,-0.272,-0.048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.12,0.127,0.156,0.012,0.071,0.036,0.913,1.0,0.0,-0.027,0.001,-0.057,-0.021,0.39,-0.83,-0.966,0.141,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.099,0.185,0.056,0.008,0.069,0.036,0.933,0.999,-0.008,-0.044,0.002,-0.081,-0.014,0.761,-0.538,-1.31,0.08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.066,-0.038,0.037,-0.007,0.067,0.034,0.965,0.999,0.009,-0.03,0.001,-0.062,-0.032,0.854,0.856,0.788,-0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.083,-0.072,0.011,-0.015,0.064,0.034,0.99,1.0,0.022,-0.014,-0.002,-0.07,-0.024,0.763,0.749,0.975,-0.176,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
