Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.114,-0.229,0.5,-0.003,0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.001,-0.0,-0.003,-0.07,-0.019,-0.017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.151,-0.25,0.5,-0.001,0.013,-0.026,0.058,0.999,0.015,0.029,-0.027,0.007,-0.001,0.033,0.056,0.024,-0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.031,0.053,0.5,0.011,0.014,-0.026,0.07,1.0,0.009,0.012,-0.024,0.031,0.018,0.387,-0.407,-1.259,0.181,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.308,0.338,0.5,0.023,0.016,-0.025,0.108,1.0,-0.014,-0.017,-0.019,0.06,0.033,1.119,-1.28,-1.726,0.382,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.201,-0.04,0.197,0.027,0.019,-0.022,0.174,0.999,-0.023,-0.024,-0.016,0.129,0.083,2.873,-0.23,-0.439,0.296,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.049,-0.205,0.116,0.006,0.021,-0.018,0.266,1.0,-0.015,-0.01,-0.016,0.099,0.133,3.096,0.696,1.092,-0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.108,-0.076,0.0,-0.008,0.024,-0.014,0.366,1.0,0.019,-0.002,-0.02,0.076,0.139,3.488,1.788,0.215,-0.172,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.013,0.01,0.0,-0.011,0.026,-0.008,0.509,0.999,0.029,-0.014,-0.022,0.065,0.156,3.934,0.567,-0.755,-0.087,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.031,0.037,-0.0,0.011,0.028,-0.004,0.641,0.999,0.027,-0.034,-0.019,0.069,0.146,4.126,0.072,-0.772,0.202,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.087,-0.001,0.0,0.014,0.031,0.001,0.769,0.999,0.01,-0.034,-0.016,0.076,0.151,4.011,-0.821,-0.118,0.223,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.012,-0.029,-0.0,0.005,0.033,0.005,0.89,0.999,0.02,-0.027,-0.014,0.064,0.124,3.749,0.469,0.354,0.068,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.027,-0.024,0.0,0.001,0.035,0.009,1.002,0.999,0.029,-0.023,-0.013,0.063,0.117,3.434,0.57,0.251,0.014,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.026,-0.0,-0.0,0.004,0.037,0.013,1.105,0.999,0.037,-0.023,-0.012,0.052,0.111,3.038,0.397,-0.043,0.071,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.016,0.014,0.0,0.005,0.038,0.016,1.199,0.999,0.036,-0.029,-0.011,0.049,0.132,3.215,0.107,-0.376,0.106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.011,0.023,-0.0,0.008,0.039,0.02,1.283,0.999,0.031,-0.031,-0.009,0.036,0.121,2.658,-0.223,-0.199,0.131,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.039,-0.007,0.0,0.007,0.041,0.024,1.357,0.999,0.027,-0.031,-0.008,0.037,0.123,2.536,-0.28,0.088,0.096,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.001,-0.007,0.0,0.005,0.042,0.028,1.421,0.999,0.029,-0.028,-0.007,0.038,0.111,2.02,0.048,0.172,0.067,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.019,-0.028,0.0,0.004,0.043,0.031,1.476,0.999,0.03,-0.025,-0.006,0.038,0.128,2.031,0.087,0.282,0.057,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.02,0.002,0.0,0.005,0.044,0.034,1.521,0.999,0.035,-0.024,-0.005,0.024,0.106,1.49,0.227,0.056,0.049,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.004,0.008,0.0,0.004,0.044,0.038,1.556,0.999,0.036,-0.026,-0.004,0.02,0.106,1.102,0.119,-0.069,0.044,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.006,0.02,0.0,0.003,0.045,0.041,1.581,0.999,0.037,-0.03,-0.003,0.01,0.097,0.813,0.135,-0.164,0.027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.015,0.025,0.0,0.008,0.045,0.044,1.597,0.999,0.034,-0.032,-0.001,0.01,0.095,0.51,-0.126,-0.19,0.099,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.007,0.0,0.007,0.045,0.047,1.604,0.999,0.034,-0.029,0.001,0.005,0.099,0.218,0.083,0.076,0.084,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.013,0.002,0.0,0.01,0.045,0.05,1.601,0.999,0.033,-0.027,0.002,0.006,0.104,-0.097,-0.023,0.087,0.134,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.009,0.001,0.0,0.008,0.045,0.052,1.592,0.999,0.033,-0.024,0.003,-0.006,0.105,-0.383,0.076,0.1,0.094,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.024,0.008,0.0,0.008,0.045,0.056,1.569,0.999,0.033,-0.024,0.004,-0.006,0.13,-0.923,-0.113,0.085,0.095,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.014,-0.003,0.0,0.006,0.044,0.059,1.533,0.999,0.034,-0.022,0.005,-0.018,0.105,-1.112,0.063,0.175,0.055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.006,0.011,0.0,0.008,0.044,0.061,1.49,0.999,0.036,-0.022,0.006,-0.017,0.081,-1.297,0.08,0.037,0.072,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.03,0.024,0.045,0.008,0.043,0.064,1.438,0.999,0.039,-0.022,0.007,-0.021,0.081,-1.611,0.142,0.012,0.084,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.048,0.036,0.163,0.007,0.042,0.067,1.376,0.999,0.041,-0.022,0.008,-0.026,0.079,-1.899,0.088,0.0,0.066,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.034,0.04,0.324,0.009,0.042,0.069,1.305,0.999,0.038,-0.022,0.01,-0.026,0.082,-2.361,-0.195,0.126,0.084,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.011,0.036,0.404,0.009,0.041,0.072,1.225,0.999,0.032,-0.019,0.011,-0.027,0.078,-2.369,-0.372,0.105,0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.007,-0.01,0.5,0.013,0.04,0.074,1.14,0.999,0.027,-0.013,0.013,-0.028,0.074,-2.566,-0.224,0.287,0.15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.062,0.007,0.5,0.01,0.039,0.076,1.057,0.999,0.028,-0.011,0.014,-0.03,0.046,-2.497,0.084,0.088,0.082,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-0.065,0.034,0.5,0.012,0.038,0.076,0.987,0.999,0.028,-0.011,0.015,-0.031,0.022,-2.111,0.013,-0.081,0.12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.069,0.043,0.5,0.009,0.037,0.076,0.936,0.999,0.028,-0.012,0.015,-0.025,-0.008,-1.582,-0.053,-0.141,0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.057,-0.046,0.409,0.005,0.036,0.075,0.911,1.0,0.018,-0.007,0.016,-0.01,-0.037,-0.826,-0.5,0.136,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.068,-0.111,0.245,0.014,0.037,0.073,0.91,1.0,0.011,-0.001,0.018,0.005,-0.063,-0.073,-0.475,0.356,0.148,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.027,-0.107,0.069,0.011,0.037,0.07,0.933,1.0,0.007,0.002,0.018,0.021,-0.073,0.656,-0.118,0.296,0.073,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-0.066,0.043,0.0,0.008,0.038,0.067,0.973,1.0,0.017,-0.012,0.019,0.027,-0.085,1.187,0.502,-0.801,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-0.03,0.062,0.0,0.005,0.039,0.064,1.016,0.999,0.02,-0.025,0.018,0.029,-0.09,1.296,0.103,-0.796,-0.014,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.037,0.074,0.0,0.006,0.04,0.062,1.055,0.999,0.021,-0.034,0.019,0.027,-0.096,1.285,0.098,-0.583,0.013,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.023,-0.028,0.0,0.01,0.041,0.059,1.088,0.999,0.011,-0.022,0.021,0.041,-0.081,1.018,-0.445,0.62,0.072,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.009,-0.031,0.0,0.009,0.042,0.056,1.113,1.0,0.007,-0.013,0.022,0.028,-0.087,0.768,-0.226,0.538,0.051,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-0.002,-0.034,0.0,0.013,0.043,0.053,1.13,1.0,0.006,-0.008,0.024,0.021,-0.092,0.546,-0.111,0.505,0.118,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-0.041,0.057,0.0,0.011,0.043,0.05,1.138,1.0,0.008,-0.013,0.024,0.014,-0.1,0.283,0.22,-0.327,0.062,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.048,0.111,0.018,0.008,0.043,0.047,1.137,0.999,0.011,-0.02,0.025,-0.002,-0.098,0.003,0.175,-0.472,0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.032,0.127,0.085,0.006,0.044,0.044,1.127,0.999,0.01,-0.024,0.025,0.007,-0.09,-0.287,-0.015,-0.329,-0.032,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.002,0.04,0.154,0.013,0.044,0.041,1.109,1.0,0.007,-0.016,0.026,0.011,-0.083,-0.54,-0.219,0.549,0.108,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.029,-0.102,0.266,0.017,0.045,0.039,1.083,1.0,-0.001,0.002,0.028,0.023,-0.092,-0.963,-0.342,1.371,0.166,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.037,-0.117,0.296,0.013,0.045,0.036,1.053,0.999,-0.005,0.015,0.029,0.021,-0.082,-1.039,-0.18,0.999,0.097,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-0.044,0.18,0.374,0.011,0.045,0.033,1.01,1.0,-0.0,0.003,0.029,-0.008,-0.095,-1.192,0.273,-0.812,0.074,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-0.064,0.306,0.394,0.008,0.045,0.03,0.972,0.999,0.005,-0.011,0.029,-0.006,-0.087,-1.209,0.221,-0.946,0.006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,-0.048,0.258,0.367,0.009,0.045,0.028,0.939,0.999,0.007,-0.017,0.03,0.013,-0.076,-1.046,0.069,-0.238,0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.1,-0.179,0.395,0.018,0.047,0.026,0.914,0.999,-0.005,0.019,0.031,0.05,-0.063,-0.749,-0.635,1.927,0.097,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.107,-0.347,0.297,0.014,0.05,0.025,0.903,0.998,-0.012,0.051,0.032,0.096,-0.041,-0.373,-0.384,1.868,0.042,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.088,-0.243,0.209,0.011,0.055,0.024,0.904,0.997,-0.015,0.065,0.032,0.16,-0.025,0.003,-0.145,0.756,0.062,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-0.053,0.267,0.19,0.005,0.062,0.024,0.917,0.999,0.002,0.024,0.031,0.201,-0.005,0.37,0.661,-2.242,-0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-0.097,0.28,0.104,0.01,0.069,0.024,0.937,0.999,0.016,-0.007,0.032,0.241,0.007,0.581,0.801,-1.818,0.06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.064,0.165,0.079,0.005,0.078,0.024,0.959,0.999,0.022,-0.019,0.031,0.269,0.009,0.652,0.42,-0.512,-0.046,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.1685393258426937,0.0,0.0,9.992007221626409e-14
61,0.122,-0.173,0.081,0.016,0.089,0.025,0.982,0.999,0.004,0.017,0.034,0.309,0.018,0.693,-0.905,1.696,0.109,0.016853932584269662,0.0,1.0056179775280898,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
62,0.112,-0.218,0.06,0.016,0.099,0.025,1.002,0.998,-0.007,0.043,0.035,0.308,0.016,0.587,-0.585,1.513,0.109,0.033707865168539325,0.0,1.0112359550561798,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
63,0.076,-0.14,0.078,0.013,0.108,0.026,1.014,0.998,-0.008,0.049,0.035,0.309,0.016,0.443,-0.127,0.504,0.063,0.05056179775280899,0.0,1.0168539325842696,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
64,-0.114,0.185,0.118,0.013,0.118,0.025,1.025,0.999,0.013,0.019,0.034,0.311,-0.005,0.326,1.085,-1.878,0.045,0.06741573033707865,0.0,1.0224719101123596,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
65,-0.134,0.235,0.146,0.01,0.128,0.025,1.029,0.999,0.026,-0.006,0.034,0.333,-0.003,0.129,0.765,-1.519,0.02,0.08426966292134831,0.0,1.0280898876404494,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
66,-0.077,0.194,0.18,0.01,0.138,0.025,1.027,0.999,0.028,-0.015,0.034,0.313,0.005,-0.066,0.128,-0.531,0.003,0.10112359550561797,0.0,1.0337078651685394,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
67,0.145,-0.141,0.247,0.014,0.149,0.026,1.02,0.999,0.006,0.013,0.035,0.353,0.027,-0.182,-1.142,1.547,0.041,0.11797752808988764,0.0,1.0393258426966292,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
68,0.194,-0.265,0.26,0.018,0.161,0.027,1.01,0.998,-0.01,0.04,0.038,0.352,0.019,-0.306,-0.938,1.441,0.105,0.1348314606741573,0.0,1.0449438202247192,1.0,0.0,0.0,0.0,0.5056179775280897,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
69,0.112,-0.242,0.273,0.011,0.173,0.027,0.996,0.998,-0.012,0.053,0.037,0.356,0.01,-0.403,-0.181,0.685,-0.049,0.15168539325842695,0.0,1.050561797752809,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.1685393258426937,0.0,0.0,0.0
70,-0.198,0.159,0.343,0.012,0.184,0.027,0.984,0.999,0.017,0.022,0.035,0.336,-0.01,-0.364,1.399,-1.534,-0.08,0.16853932584269662,0.0,1.0561797752808988,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
71,-0.281,0.327,0.301,0.016,0.194,0.027,0.975,0.999,0.037,-0.004,0.036,0.356,-0.014,-0.335,1.21,-1.758,0.053,0.1853932584269663,0.0,1.0617977528089888,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
72,-0.333,0.259,0.316,0.017,0.207,0.026,0.966,0.998,0.044,-0.025,0.034,0.708,-0.037,-0.45,1.067,-2.345,0.372,0.20224719101123595,0.0,1.0674157303370786,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
73,0.216,-0.258,0.329,0.011,0.222,0.026,0.966,0.999,0.005,0.009,0.037,0.469,0.002,-0.044,-1.81,1.783,0.203,0.2191011235955056,0.0,1.0730337078651686,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,0.0
74,0.399,-0.356,0.183,0.006,0.237,0.027,0.971,0.998,-0.034,0.043,0.039,0.453,0.013,0.158,-2.314,1.966,0.114,0.23595505617977527,0.0,1.0786516853932584,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
75,0.393,-0.248,0.101,0.004,0.252,0.028,0.984,0.996,-0.061,0.057,0.04,0.476,0.046,0.393,-1.31,0.686,0.027,0.25280898876404495,0.0,1.0842696629213484,1.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
76,-0.113,0.152,0.125,0.003,0.268,0.029,1.006,0.999,-0.015,0.019,0.041,0.476,0.034,0.625,2.249,-1.941,-0.06,0.2696629213483146,0.0,1.0898876404494382,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.1685393258426937,0.0,0.0,0.0
77,-0.33,0.247,0.104,0.003,0.284,0.031,1.028,0.999,0.033,-0.016,0.039,0.56,0.058,0.743,3.01,-2.299,-0.071,0.28651685393258425,0.0,1.095505617977528,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
78,-0.345,0.202,0.101,-0.006,0.301,0.033,1.046,0.996,0.07,-0.032,0.036,0.525,0.055,0.572,2.195,-1.176,-0.192,0.3033707865168539,0.0,1.101123595505618,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
79,0.165,-0.139,0.146,0.014,0.319,0.036,1.065,0.999,0.035,-0.006,0.039,0.547,0.101,0.573,-1.77,1.398,0.163,0.3202247191011236,0.0,1.1067415730337078,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
80,0.348,-0.276,0.095,0.027,0.337,0.039,1.082,0.999,-0.007,0.023,0.045,0.549,0.094,0.494,-2.269,1.695,0.329,0.33707865168539325,0.0,1.1123595505617978,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
81,0.386,-0.24,0.054,0.007,0.355,0.042,1.093,0.997,-0.041,0.038,0.046,0.54,0.086,0.35,-1.811,0.952,0.016,0.3539325842696629,0.0,1.1179775280898876,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
82,-0.139,0.104,0.102,0.008,0.372,0.043,1.104,0.999,-0.001,0.009,0.044,0.56,0.033,0.374,2.3,-1.835,-0.093,0.3707865168539326,0.0,1.1235955056179776,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,-4.9960036108132044e-14
83,-0.35,0.243,0.156,0.007,0.389,0.044,1.112,0.998,0.047,-0.02,0.043,0.512,0.029,0.25,2.636,-1.801,-0.05,0.38764044943820225,0.0,1.1292134831460674,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.1685393258426937,0.0,0.0,0.0
84,-0.4,0.254,0.134,-0.012,0.404,0.045,1.114,0.995,0.081,-0.038,0.039,0.528,0.029,0.097,2.337,-1.343,-0.253,0.4044943820224719,0.0,1.1348314606741572,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,4.9960036108132044e-14
85,0.095,-0.111,0.21,0.008,0.424,0.047,1.117,0.998,0.048,-0.017,0.04,0.565,0.064,0.088,-1.864,1.436,0.102,0.42134831460674155,0.0,1.1404494382022472,1.0,0.0,0.0,0.0,0.5056179775280895,0.0,0.16853932584269704,0.0,0.0,0.0
86,0.373,-0.286,0.206,0.026,0.442,0.049,1.119,0.999,0.001,0.012,0.047,0.552,0.057,0.062,-2.597,1.827,0.355,0.4382022471910112,0.0,1.146067415730337,1.0,0.0,0.0,0.0,0.5056179775280903,0.0,0.16853932584269704,0.0,0.0,0.0
