px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,0.001,-0.001,0.002,0.007,0.006,0.002
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,-0.0,-0.001,0.0,-0.007,0.004,0.009
0.013,-0.026,0.057,0.999,0.014,0.028,-0.027,-0.001,0.0,-0.001,0.014,-0.022,-0.002
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.001,0.0,0.014,0.005,-0.005
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.001,0.002,0.01,0.014,-0.001
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,-0.0,-0.0,0.002,0.002,0.013,-0.001
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,0.0,0.001,0.001,-0.007,0.003,0.002
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,0.001,0.0,-0.001,0.01,-0.005,-0.009
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.001,-0.0,-0.001,-0.002,-0.016,-0.009
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.0,-0.001,-0.003,0.002,-0.02,-0.002
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,-0.0,-0.001,-0.003,-0.012,-0.012,-0.001
0.013,-0.026,0.057,0.999,0.014,0.028,-0.027,-0.0,-0.001,-0.002,0.014,-0.015,-0.0
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,-0.001,0.0,-0.002,-0.005,0.015,0.004
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.001,0.0,0.007,0.027,0.0
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.001,0.002,0.011,0.035,-0.001
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,0.001,0.001,0.003,0.0,0.011,-0.002
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,0.001,0.0,0.002,-0.005,-0.014,-0.006
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.001,0.0,0.001,-0.003,-0.013,-0.0
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,-0.001,-0.001,-0.004,0.007,0.022,0.004
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,-0.0,-0.001,-0.004,0.004,0.001,-0.006
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,-0.0,-0.002,-0.004,0.003,-0.01,-0.002
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,-0.0,-0.002,-0.003,-0.008,0.001,0.002
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,-0.0,-0.001,-0.001,-0.006,-0.004,0.0
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,-0.001,-0.001,0.001,0.003,0.008,0.002
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,-0.001,-0.0,0.001,0.006,0.004,0.005
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.001,0.001,0.009,0.028,-0.006
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.001,0.0,0.015,0.028,-0.002
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,0.0,0.002,0.001,0.003,0.019,-0.003
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,0.0,0.001,0.001,0.009,-0.004,0.001
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,0.0,-0.0,0.001,-0.005,-0.004,-0.005
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,-0.0,-0.001,-0.001,-0.002,-0.018,-0.002
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,-0.0,-0.001,-0.001,0.002,-0.013,-0.003
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.0,-0.001,-0.0,-0.001,-0.018,-0.003
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.001,-0.001,0.0,-0.015,-0.009,0.009
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.001,-0.001,0.0,-0.01,-0.014,0.014
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,-0.001,0.001,-0.001,-0.001,0.026,0.011
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.001,-0.001,0.005,0.023,0.003
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.001,-0.0,0.01,0.034,0.007
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.0,0.0,0.002,0.001,-0.001,0.005
0.013,-0.026,0.057,0.999,0.014,0.028,-0.027,0.001,-0.001,0.002,0.003,-0.011,-0.001
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.001,-0.001,0.001,-0.013,-0.01,-0.003
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.001,-0.001,0.0,-0.014,-0.007,0.003
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.0,-0.0,-0.001,-0.006,-0.02,0.006
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.0,-0.0,-0.001,0.001,-0.01,-0.003
0.013,-0.026,0.057,0.999,0.013,0.029,-0.026,0.004,-0.001,0.007,-0.154,0.001,0.082
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,0.001,0.002,0.0,0.003,0.013,0.021
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,-0.0,-0.0,0.002,-0.09,0.027,0.028
0.013,-0.026,0.057,0.999,0.013,0.029,-0.027,-0.001,0.0,0.001,-0.07,0.03,0.023
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.0,-0.001,0.002,-0.046,-0.005,0.037
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.0,-0.002,0.002,-0.053,-0.033,0.047
0.013,-0.026,0.057,0.999,0.014,0.028,-0.027,0.0,-0.001,0.001,0.031,-0.021,-0.001
0.013,-0.026,0.057,0.999,0.014,0.028,-0.027,0.001,-0.001,0.005,-0.045,-0.04,-0.032
0.013,-0.026,0.057,0.999,0.013,0.028,-0.027,0.0,0.0,0.002,-0.041,-0.015,-0.012
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.001,-0.002,0.03,0.024,0.013
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.0,-0.005,-0.01,0.009,-0.006
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,0.0,-0.001,0.027,0.028,0.021
0.013,-0.026,0.057,0.999,0.015,0.029,-0.027,0.0,0.002,0.001,0.086,0.021,0.031
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.0,0.0,-0.002,-0.01,0.019,-0.025
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,0.001,0.0,-0.0,-0.035,-0.003,0.022
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.002,-0.003,-0.001,0.043,0.02,-0.045
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.002,-0.002,0.001,0.04,0.012,-0.034
0.013,-0.026,0.057,0.999,0.014,0.029,-0.027,-0.001,-0.002,0.002,0.037,0.001,-0.03
