Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.023,-0.08,0.5,0.001,0.019,-0.032,0.057,1.0,-0.001,0.009,0.02,0.001,0.0,-0.007,0.002,0.079,-0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.046,-0.044,0.5,0.003,0.019,-0.032,0.057,1.0,0.0,0.008,0.02,0.005,-0.002,0.017,0.111,-0.145,0.033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.015,0.102,0.5,0.004,0.019,-0.031,0.067,1.0,-0.002,-0.004,0.02,0.009,0.017,0.321,-0.153,-0.685,0.053,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.052,0.02,0.5,0.001,0.021,-0.03,0.102,1.0,-0.006,-0.007,0.019,0.042,0.045,1.08,-0.121,-0.161,-0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.065,-0.07,0.398,0.001,0.023,-0.028,0.163,1.0,-0.009,-0.005,0.019,0.065,0.065,1.75,-0.083,0.19,-0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.056,-0.09,0.198,-0.003,0.026,-0.025,0.25,1.0,0.001,0.001,0.018,0.102,0.104,2.679,0.718,0.075,-0.118,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.01,-0.011,0.03,-0.003,0.03,-0.021,0.359,1.0,0.007,-0.005,0.019,0.109,0.108,3.302,0.43,-0.44,-0.043,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.034,0.007,0.0,0.0,0.034,-0.017,0.481,1.0,0.008,-0.013,0.019,0.124,0.125,3.775,-0.092,-0.744,-0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.014,-0.016,0.0,0.001,0.039,-0.012,0.604,1.0,0.008,-0.014,0.019,0.147,0.133,3.834,0.088,-0.278,-0.016,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.009,-0.036,-0.0,0.003,0.043,-0.009,0.72,1.0,0.01,-0.013,0.019,0.149,0.13,3.918,0.14,0.009,0.036,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.018,-0.001,0.0,-0.004,0.047,-0.005,0.828,1.0,0.017,-0.013,0.018,0.146,0.125,3.494,0.359,-0.283,-0.105,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.008,-0.015,0.0,0.002,0.051,-0.001,0.926,1.0,0.019,-0.013,0.018,0.125,0.115,2.946,0.167,-0.063,0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.014,-0.014,0.0,-0.003,0.055,0.003,1.014,1.0,0.017,-0.016,0.017,0.117,0.12,2.646,-0.098,-0.115,-0.074,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.022,-0.024,0.0,-0.001,0.059,0.007,1.092,1.0,0.014,-0.016,0.018,0.113,0.121,2.377,-0.152,0.021,-0.027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.021,-0.016,0.0,0.002,0.063,0.011,1.16,1.0,0.012,-0.018,0.018,0.115,0.119,2.13,-0.115,-0.113,0.022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.006,-0.012,0.0,0.004,0.066,0.015,1.218,1.0,0.014,-0.019,0.018,0.11,0.114,1.795,0.06,-0.109,0.043,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.013,-0.015,0.0,0.001,0.07,0.018,1.267,0.999,0.019,-0.021,0.017,0.106,0.114,1.516,0.297,-0.097,0.006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.007,-0.01,0.0,-0.004,0.073,0.022,1.305,0.999,0.021,-0.024,0.016,0.103,0.11,1.238,0.169,-0.127,-0.085,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.002,-0.007,0.0,0.002,0.076,0.026,1.334,0.999,0.022,-0.025,0.016,0.099,0.11,0.899,0.026,-0.138,0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.01,-0.007,0.0,0.001,0.079,0.029,1.354,0.999,0.02,-0.026,0.016,0.094,0.109,0.614,-0.039,-0.145,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.02,-0.006,0.0,0.0,0.082,0.033,1.363,0.999,0.018,-0.027,0.016,0.09,0.109,0.32,-0.113,-0.156,-0.012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.009,-0.018,0.0,0.001,0.085,0.036,1.363,0.999,0.019,-0.027,0.016,0.088,0.111,0.012,0.028,-0.005,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.001,-0.036,0.0,0.0,0.087,0.04,1.353,0.999,0.02,-0.025,0.015,0.08,0.11,-0.295,0.142,0.187,-0.011,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.01,-0.033,0.0,0.001,0.09,0.043,1.333,0.999,0.023,-0.026,0.015,0.078,0.1,-0.585,0.16,0.089,-0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.01,0.009,0.028,-0.002,0.092,0.046,1.303,0.999,0.025,-0.03,0.014,0.066,0.1,-0.883,0.085,-0.239,-0.061,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.021,0.096,0.397,-0.015,0.094,0.05,1.264,0.999,0.024,-0.033,0.014,0.122,0.198,-2.507,-0.15,-0.875,-0.277,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.03,0.101,0.296,-0.001,0.096,0.053,1.215,0.999,0.022,-0.039,0.014,0.071,0.121,-1.75,-0.22,-0.601,-0.026,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.014,-0.07,0.373,-0.001,0.098,0.056,1.158,0.999,0.023,-0.029,0.014,0.071,0.103,-1.801,0.052,0.73,-0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.058,-0.114,0.349,0.006,0.1,0.059,1.105,0.999,0.028,-0.018,0.016,0.053,0.075,-1.541,0.189,0.718,0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.009,0.163,0.5,0.013,0.101,0.061,1.054,0.999,0.026,-0.028,0.018,0.04,0.108,-2.732,-0.479,-1.213,0.144,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.033,0.169,0.388,0.003,0.101,0.062,1.021,0.999,0.021,-0.039,0.016,0.003,0.051,-1.284,-0.389,-0.785,0.022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.002,-0.011,0.337,-0.001,0.101,0.063,1.002,0.999,0.019,-0.033,0.016,-0.009,0.023,-0.824,-0.11,0.463,-0.024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.07,-0.157,0.176,-0.005,0.1,0.062,0.999,1.0,0.024,-0.012,0.014,-0.029,-0.014,-0.064,0.297,1.163,-0.065,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.021,-0.021,0.038,-0.001,0.098,0.061,1.014,1.0,0.023,-0.011,0.013,-0.048,-0.033,0.415,-0.041,0.131,-0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.018,0.084,0.001,0.001,0.096,0.06,1.034,1.0,0.018,-0.021,0.012,-0.062,-0.046,0.658,-0.392,-0.811,-0.026,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.029,0.149,0.001,0.009,0.094,0.058,1.058,0.999,0.01,-0.036,0.014,-0.081,-0.055,0.78,-0.398,-1.185,0.131,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.044,-0.053,0.0,-0.009,0.092,0.055,1.079,1.0,0.015,-0.02,0.013,-0.049,-0.069,0.576,0.245,0.871,-0.117,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.053,-0.097,0.001,-0.0,0.091,0.053,1.09,1.0,0.018,-0.006,0.013,-0.061,-0.08,0.372,0.182,1.076,-0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-0.039,-0.089,0.029,-0.005,0.089,0.051,1.092,1.0,0.018,0.006,0.011,-0.064,-0.086,0.091,-0.069,0.722,-0.096,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.006,0.029,0.079,0.002,0.087,0.049,1.088,1.0,0.013,-0.001,0.012,-0.082,-0.065,-0.122,-0.388,-0.337,-0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.033,0.168,0.171,0.007,0.083,0.047,1.073,1.0,0.004,-0.018,0.013,-0.094,-0.068,-0.455,-0.457,-1.17,0.095,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.027,0.077,0.249,-0.002,0.081,0.045,1.051,1.0,0.005,-0.015,0.012,-0.075,-0.078,-0.726,0.106,-0.126,-0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-0.073,-0.058,0.306,-0.008,0.08,0.043,1.026,1.0,0.01,-0.0,0.01,-0.05,-0.075,-0.846,0.355,0.709,-0.097,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-0.042,-0.164,0.333,-0.009,0.078,0.04,0.994,1.0,0.01,0.022,0.009,-0.05,-0.073,-0.969,0.008,1.036,-0.127,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.052,0.034,0.36,0.011,0.077,0.038,0.963,1.0,0.001,0.012,0.012,-0.057,-0.061,-0.969,-0.531,-0.457,0.173,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.062,0.199,0.365,0.003,0.075,0.036,0.934,1.0,-0.005,-0.008,0.013,-0.042,-0.063,-0.769,-0.419,-1.277,0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.002,0.123,0.325,-0.005,0.074,0.034,0.918,1.0,-0.003,-0.013,0.013,-0.02,-0.058,-0.523,0.086,-0.434,-0.06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.059,-0.012,0.295,-0.005,0.074,0.033,0.913,1.0,0.005,-0.002,0.012,0.001,-0.053,-0.231,0.41,0.53,-0.048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.023,-0.112,0.211,-0.002,0.076,0.032,0.917,1.0,0.007,0.018,0.011,0.03,-0.039,0.123,0.093,0.948,-0.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.036,-0.006,0.13,0.003,0.077,0.03,0.93,1.0,0.002,0.019,0.012,0.048,-0.03,0.379,-0.345,-0.008,0.047,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
