px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.022,-0.035,0.056,1.0,0.013,0.006,0.002,-0.002,0.003,0.005,0.002,-0.168,-0.002
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.002,-0.0,0.006,-0.001,-0.057,0.012
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.0,0.005,-0.0,-0.044,0.011
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.0,0.004,0.008,-0.046,0.007
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.0,0.001,0.003,-0.014,-0.041,-0.0
0.022,-0.035,0.056,1.0,0.013,0.008,0.002,0.002,0.001,-0.007,-0.016,0.077,-0.02
0.022,-0.035,0.056,1.0,0.013,0.009,0.002,0.002,-0.001,-0.005,-0.013,0.122,-0.013
0.022,-0.035,0.056,1.0,0.013,0.009,0.002,0.002,-0.0,-0.006,0.002,0.096,0.004
0.022,-0.035,0.056,1.0,0.013,0.009,0.002,0.001,-0.0,-0.006,-0.011,0.09,-0.002
0.022,-0.035,0.056,1.0,0.013,0.009,0.002,0.0,-0.0,-0.005,-0.004,0.062,-0.001
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.002,0.0,0.003,-0.01,-0.101,0.016
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.002,0.0,0.004,-0.003,-0.127,0.012
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.0,0.006,0.003,-0.059,0.009
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.001,0.006,-0.003,-0.041,0.011
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.002,0.004,0.006,-0.034,0.0
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.002,0.003,-0.024,-0.021,0.005
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.0,0.001,0.0,-0.002,-0.05,-0.007
0.022,-0.035,0.056,1.0,0.013,0.008,0.002,0.002,-0.001,-0.005,0.006,0.113,-0.019
0.022,-0.035,0.056,1.0,0.013,0.009,0.002,0.002,-0.001,-0.008,0.003,0.123,-0.007
0.022,-0.035,0.056,1.0,0.013,0.009,0.002,0.002,-0.001,-0.006,0.001,0.109,-0.004
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.0,-0.001,-0.0,0.016,-0.047,0.003
