px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.0,0.002,-0.0,0.014,-0.068,-0.001
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.001,0.001,0.019,-0.055,-0.012
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,-0.001,-0.0,0.001,0.003,-0.01,-0.001
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.0,-0.001,0.002,-0.002,0.002,0.013
0.033,-0.001,0.168,1.0,-0.001,-0.003,-0.026,-0.005,-0.001,-0.007,0.085,0.086,-0.058
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,-0.0,-0.0,-0.003,-0.024,-0.007
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.0,-0.0,0.001,0.004,-0.04,-0.015
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.0,0.002,-0.007,-0.024,0.005
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,-0.0,0.001,-0.005,0.029,0.008
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.0,0.0,0.001,-0.027,0.018,0.02
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.0,0.001,-0.001,-0.003,-0.017,-0.0
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,-0.001,0.001,-0.002,-0.01,-0.006,0.001
0.033,-0.001,0.169,1.0,-0.002,-0.005,-0.025,0.0,0.002,-0.002,-0.001,-0.156,-0.001
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,-0.001,-0.0,0.013,0.003,-0.001
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.001,-0.001,-0.0,-0.012,0.047,0.008
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.002,-0.001,0.0,-0.007,0.041,0.001
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.0,-0.001,0.001,-0.008,0.02,-0.001
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.0,0.0,-0.01,-0.03,0.004
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.0,0.0,0.009,-0.026,0.0
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.0,0.001,0.001,0.001,0.019,-0.004
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.001,0.001,0.0,0.006,0.027,0.007
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,0.001,-0.001,-0.002,0.015,0.005
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,0.0,-0.001,0.008,0.021,-0.001
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,-0.001,-0.0,0.009,-0.008,0.004
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.0,-0.001,0.001,0.008,0.017,0.002
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,-0.0,0.001,-0.004,0.005,0.006
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,-0.001,0.0,-0.019,0.005,0.0
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.0,-0.0,0.0,-0.009,0.003,0.0
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.001,0.002,-0.001,-0.044,-0.011
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.001,-0.001,-0.0,0.021,0.029,-0.006
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,-0.001,0.001,-0.001,0.007,-0.006,-0.005
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,0.0,0.0,-0.021,0.006,0.013
0.033,-0.001,0.168,1.0,-0.001,-0.003,-0.026,-0.004,0.0,-0.007,0.078,0.084,-0.06
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.001,-0.002,-0.0,-0.017,0.012,0.018
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.002,-0.0,0.002,-0.009,-0.05,0.005
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.001,-0.0,0.002,-0.009,0.02,0.015
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,-0.0,-0.0,-0.014,0.028,0.015
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.026,-0.005,0.0,-0.007,0.062,0.086,-0.041
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.002,0.002,0.011,-0.061,0.01
0.033,-0.001,0.168,1.0,-0.002,-0.005,-0.025,-0.0,0.002,-0.002,-0.034,-0.174,0.01
0.033,-0.001,0.169,1.0,-0.002,-0.005,-0.025,0.004,0.003,0.008,-0.067,-0.087,0.036
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,-0.002,0.001,-0.006,0.034,-0.0
0.033,-0.001,0.169,1.0,-0.0,-0.005,-0.025,0.004,0.003,0.013,0.139,-0.146,-0.028
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.001,-0.002,-0.004,-0.049,0.072,0.002
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,-0.003,-0.002,-0.029,0.064,0.005
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,-0.001,-0.002,-0.004,-0.025,0.035,-0.009
0.033,-0.001,0.168,1.0,-0.002,-0.003,-0.025,-0.003,-0.002,-0.005,-0.036,0.094,0.013
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.001,-0.002,0.001,0.023,0.005,-0.014
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.001,-0.001,-0.002,0.0,0.004
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.003,-0.001,-0.002,-0.044,0.052,0.025
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.026,-0.008,-0.003,-0.007,0.093,0.171,-0.119
0.033,-0.001,0.169,1.0,-0.001,-0.004,-0.025,-0.001,-0.0,0.008,0.013,-0.079,0.068
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.003,0.001,0.003,-0.042,-0.076,0.011
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.025,0.0,0.001,-0.007,0.087,0.078,-0.004
0.033,-0.001,0.169,1.0,-0.003,-0.004,-0.025,0.002,-0.003,0.008,-0.128,-0.065,0.014
0.033,-0.001,0.168,1.0,-0.001,-0.003,-0.026,-0.001,0.002,-0.008,0.115,0.044,-0.034
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.003,0.001,0.004,0.019,-0.075,-0.006
0.033,-0.001,0.169,1.0,-0.001,-0.004,-0.025,0.002,0.002,-0.001,0.037,-0.045,0.005
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.002,0.001,0.001,0.015,-0.019,0.015
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.0,-0.0,-0.0,0.004,0.026,0.02
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.002,0.0,0.001,0.0,-0.055,0.001
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.002,-0.001,0.006,-0.062,-0.09,-0.007
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,-0.001,-0.002,-0.013,-0.037,0.021
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.0,0.0,-0.001,0.004,0.009,-0.007
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.001,0.001,-0.001,0.012,0.038,0.021
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,-0.001,0.0,-0.03,-0.009,0.015
0.033,-0.001,0.168,1.0,-0.001,-0.003,-0.026,-0.004,0.001,-0.008,0.073,0.096,-0.054
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.001,0.001,-0.002,-0.044,0.01,0.024
0.033,-0.001,0.169,1.0,-0.001,-0.005,-0.025,0.0,0.003,0.003,0.045,-0.199,0.003
0.033,-0.001,0.169,1.0,-0.002,-0.006,-0.025,0.001,0.001,0.004,-0.006,-0.178,-0.0
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,-0.003,0.002,-0.061,0.077,-0.001
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.002,-0.002,0.0,-0.028,0.08,0.029
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.026,-0.005,-0.002,-0.009,0.051,0.157,-0.043
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,-0.001,0.003,0.002,0.018,0.007,0.046
0.033,-0.001,0.169,1.0,-0.001,-0.004,-0.025,0.002,0.0,0.002,0.036,-0.065,-0.011
0.033,-0.001,0.169,1.0,-0.003,-0.004,-0.025,0.001,-0.003,0.006,-0.081,-0.04,-0.011
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.001,-0.002,-0.001,-0.021,0.037,0.026
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.025,-0.005,0.0,-0.009,0.037,0.149,-0.017
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.001,0.004,0.021,-0.057,0.0
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.002,0.001,0.001,-0.007,-0.038,-0.003
0.033,-0.001,0.169,1.0,-0.003,-0.006,-0.025,0.001,-0.001,0.007,-0.093,-0.211,-0.01
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.025,-0.004,0.0,-0.013,0.108,0.212,-0.017
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.025,-0.005,0.001,-0.005,0.1,0.152,-0.005
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.003,0.001,0.001,-0.042,0.0,0.02
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.001,0.0,-0.046,-0.016,0.008
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,-0.003,0.0,-0.022,0.0,-0.008
0.033,-0.001,0.169,1.0,-0.001,-0.003,-0.025,-0.0,0.003,0.001,0.037,0.012,0.068
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,-0.0,0.003,-0.006,-0.014,-0.008
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.001,0.0,0.0,-0.03,0.017,0.003
0.033,-0.001,0.169,1.0,-0.003,-0.004,-0.025,0.001,-0.004,0.006,-0.124,-0.036,-0.017
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.003,-0.004,0.02,0.002,0.049
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.0,-0.002,0.002,0.032,-0.002,-0.031
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,-0.001,-0.001,-0.004,0.049,0.0
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.0,-0.002,0.003,-0.047,-0.015,-0.021
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.001,-0.001,-0.002,-0.025,0.032,-0.002
0.033,-0.001,0.169,1.0,-0.001,-0.004,-0.025,0.003,0.001,0.002,0.072,-0.031,-0.004
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.0,-0.0,-0.009,-0.035,-0.024
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,-0.0,-0.001,0.001,-0.026,-0.026,-0.013
0.033,-0.001,0.169,1.0,-0.003,-0.004,-0.025,-0.003,-0.004,0.001,-0.081,0.004,-0.008
0.033,-0.001,0.169,1.0,0.0,-0.005,-0.025,0.005,0.006,0.012,0.224,-0.162,-0.018
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.001,-0.001,-0.003,-0.046,0.058,-0.004
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.001,-0.001,-0.003,-0.023,0.049,-0.005
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.002,-0.002,-0.005,-0.043,0.084,0.009
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.0,-0.001,0.008,-0.044,-0.071,0.007
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.002,0.001,-0.005,0.004,0.013,0.02
0.033,-0.001,0.168,1.0,-0.001,-0.003,-0.026,-0.003,-0.0,-0.008,0.074,0.096,-0.055
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.001,-0.003,-0.002,-0.066,0.023,0.005
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.002,0.001,0.006,-0.006,-0.005,0.026
0.033,-0.001,0.169,1.0,-0.001,-0.004,-0.025,0.002,-0.0,-0.001,0.06,-0.033,-0.005
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.001,0.001,-0.0,0.012,-0.001,-0.017
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.0,-0.001,0.002,-0.053,-0.012,-0.004
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.025,-0.004,0.002,-0.007,0.075,0.127,-0.022
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.003,-0.003,0.009,-0.06,-0.074,-0.005
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.003,0.001,-0.002,0.035,-0.02,0.028
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,-0.0,-0.002,0.001,-0.051,-0.006,-0.013
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.025,-0.008,0.002,-0.008,0.092,0.167,-0.025
0.033,-0.001,0.168,1.0,-0.001,-0.003,-0.026,-0.003,-0.001,-0.003,0.079,0.057,-0.06
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.026,-0.002,-0.001,-0.005,0.058,0.071,-0.035
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.004,0.001,0.002,-0.005,-0.071,0.03
0.033,-0.001,0.168,1.0,-0.001,-0.002,-0.026,-0.005,-0.002,-0.007,0.047,0.113,-0.055
0.033,-0.001,0.168,1.0,-0.001,-0.003,-0.026,-0.001,-0.0,-0.001,0.068,0.037,-0.036
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.002,-0.001,0.007,-0.122,-0.06,0.015
0.033,-0.001,0.168,1.0,-0.001,-0.003,-0.026,0.001,0.002,-0.005,0.075,0.037,-0.0
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.001,-0.002,0.004,-0.122,-0.02,0.046
0.033,-0.001,0.169,1.0,-0.0,-0.005,-0.025,0.004,0.006,0.019,0.142,-0.222,0.005
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.002,0.0,0.001,-0.045,-0.025,0.014
0.033,-0.001,0.169,1.0,-0.003,-0.004,-0.025,0.001,-0.002,0.004,-0.114,-0.039,0.013
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.001,-0.002,-0.003,-0.072,0.037,0.036
0.033,-0.001,0.168,1.0,-0.001,-0.003,-0.025,-0.005,0.002,-0.006,0.1,0.079,-0.017
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.003,0.001,0.0,-0.037,-0.045,0.007
0.033,-0.001,0.169,1.0,-0.002,-0.004,-0.025,0.003,0.001,0.003,-0.055,-0.051,0.012
0.033,-0.001,0.169,1.0,-0.002,-0.003,-0.025,0.001,-0.002,-0.002,-0.005,0.024,0.018
