Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,0.381,0.4,0.387,0.4,0.22920052710896177,0.23772078495851645,0.2319489477105553,0.2377207849032266,0.038,-0.004,0.168,1.0,-0.004,0.003,-0.025,-0.003,0.015,-0.007,-0.011,0.252,0.12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4,0.385,0.4,0.387,0.2797841582761643,0.27673187893198387,0.2809964384234932,0.277935725847377,0.038,-0.004,0.168,1.0,-0.005,0.0,-0.025,-0.005,0.006,0.005,-0.079,-0.057,0.046,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,0.365,0.4,0.381,0.3020643310106966,0.28528502747287104,0.3025982473376147,0.29256969596009713,0.038,-0.005,0.172,1.0,-0.006,-0.014,-0.026,-0.014,-0.018,0.132,-0.233,-1.012,-0.085,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.373,0.368,0.319,0.3118670597778277,0.29244332177299903,0.297754586329266,0.27169538036923746,0.035,-0.005,0.19,0.999,0.005,-0.047,-0.026,-0.096,-0.007,0.563,0.683,-2.018,0.076,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.144,0.068,0.129,0.052,0.2019200008486532,0.15924224006097043,0.18897154239074612,0.14303329492261477,0.027,-0.006,0.233,0.994,0.021,-0.107,-0.025,-0.235,-0.036,1.229,1.128,-3.194,0.067,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.224,0.107,0.13,0.05,0.18918036377401282,0.11805857670727715,0.14119198605119096,0.08534988308308195,0.011,-0.009,0.299,0.985,0.044,-0.168,-0.022,-0.491,-0.083,1.96,1.545,-3.52,-0.051,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.117,0.05,0.234,0.05,0.13550661711898626,0.07435054522705342,0.16689461197545427,0.05994506817183701,-0.016,-0.014,0.384,0.974,0.036,-0.224,-0.026,-0.821,-0.136,2.519,-0.271,-3.25,-0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.09,0.05,0.116,0.121,0.09978560027600165,0.05510066288803382,0.12542289444188776,0.08032436915579558,-0.049,-0.018,0.472,0.967,0.006,-0.253,-0.036,-0.976,-0.141,2.597,-1.793,-1.628,-0.073,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.05,0.05,0.196,0.302,0.06630329179575606,0.04662271569838532,0.1429529034070829,0.1702921501103435,-0.084,-0.022,0.555,0.967,-0.046,-0.245,-0.055,-1.044,-0.125,2.521,-3.155,0.584,-0.395,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05,0.158,0.05,0.161,0.05155649747170807,0.0912663566514593,0.0853144631316483,0.14689826659125216,-0.12,-0.026,0.631,0.976,-0.086,-0.186,-0.079,-1.094,-0.118,2.335,-2.759,3.706,-0.489,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.05,0.131,0.05,0.107,0.04506291000971035,0.09857466129494818,0.05994016783833533,0.112455559147524,-0.157,-0.031,0.7,0.985,-0.092,-0.118,-0.089,-1.142,-0.138,2.147,-0.732,3.978,-0.027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.4,0.368,0.05,0.05,0.1986882791937588,0.20806478933972786,0.048754840366019465,0.07188299774779475,-0.197,-0.036,0.764,0.994,-0.029,-0.074,-0.08,-1.227,-0.154,1.968,3.279,2.864,0.408,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.252,0.194,0.319,0.05,0.2000408751380998,0.17842741386885508,0.16428875284500752,0.054013907597746644,-0.24,-0.042,0.822,0.993,0.059,-0.077,-0.067,-1.26,-0.161,1.735,4.916,0.552,0.457,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.241,0.124,0.051,0.05,0.1956379195019825,0.134159590831682,0.09527372834725428,0.04614401585928962,-0.284,-0.048,0.874,0.982,0.128,-0.117,-0.069,-1.352,-0.167,1.582,3.955,-1.997,-0.139,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.094,0.05,0.4,0.277,0.1282262642769837,0.08144171883517715,0.2208023881040344,0.14427899656583315,-0.337,-0.053,0.931,0.976,0.079,-0.174,-0.1,-1.421,-0.156,1.537,-2.693,-3.373,-1.099,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
