Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,-0.074,-0.196,0.229,0.019,0.07,0.003,0.056,0.999,0.018,0.025,0.026,-0.001,0.001,-0.006,-0.057,0.126,0.012,0.0,0.0,0.034482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
2,-0.069,-0.182,0.185,0.014,0.07,0.003,0.057,0.999,0.019,0.027,0.026,0.001,0.002,0.0,-0.047,0.186,-0.025,0.0,0.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
3,-0.077,-0.128,0.213,-0.013,0.07,0.003,0.057,0.999,0.018,0.019,0.023,-0.01,0.005,0.021,-0.069,-0.467,-0.136,0.0,0.0,0.10344827586206896,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
4,0.018,0.053,0.244,-0.002,0.069,0.004,0.06,1.0,0.008,-0.003,0.022,-0.036,0.016,0.094,-0.612,-1.263,-0.054,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.03448275862069,0.0,0.0,0.0
5,0.077,0.213,0.334,0.028,0.067,0.004,0.064,0.999,-0.001,-0.026,0.022,-0.045,0.016,0.111,-0.625,-1.319,0.091,0.0,0.0,0.1724137931034483,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
6,0.154,0.314,0.314,0.045,0.065,0.005,0.068,0.999,-0.01,-0.038,0.026,-0.056,0.025,0.156,-0.68,-1.213,0.172,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
7,-0.056,-0.062,0.304,-0.057,0.065,0.005,0.079,1.0,0.004,-0.016,0.019,-0.026,0.004,0.304,0.581,1.107,-0.36,0.0,0.0,0.24137931034482757,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0
8,-0.202,-0.393,0.293,-0.054,0.064,0.005,0.099,1.0,0.019,0.017,0.015,-0.014,0.011,0.617,0.843,2.256,-0.377,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
9,-0.109,-0.299,0.165,0.044,0.065,0.006,0.129,0.999,0.029,0.042,0.014,-0.004,0.018,0.954,0.364,1.396,0.127,0.0,0.0,0.3103448275862069,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
10,0.109,0.15,0.087,0.11,0.065,0.007,0.168,1.0,0.007,0.003,0.021,0.002,0.028,1.172,-1.243,-1.939,0.409,0.0,0.0,0.3448275862068966,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
11,0.107,0.251,0.222,0.011,0.066,0.007,0.213,0.999,-0.006,-0.033,0.022,0.019,0.016,1.302,-0.562,-1.823,-0.029,0.0,0.0,0.3793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
12,0.127,0.357,0.171,-0.024,0.067,0.008,0.251,0.998,-0.014,-0.057,0.019,0.026,0.028,1.341,-0.522,-1.524,-0.181,0.0,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
13,-0.092,-0.121,0.138,-0.043,0.069,0.008,0.301,1.0,0.005,-0.021,0.013,0.061,0.012,1.364,0.793,1.624,-0.237,0.0,0.0,0.4482758620689655,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206893,0.0,0.0,0.0
14,-0.122,-0.276,0.184,0.002,0.071,0.009,0.347,1.0,0.014,0.013,0.013,0.061,0.017,1.353,0.761,2.018,-0.085,0.0,0.0,0.48275862068965514,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
15,-0.118,-0.271,0.111,0.061,0.073,0.009,0.391,0.999,0.025,0.04,0.016,0.062,0.017,1.348,0.577,1.394,0.237,0.0,0.0,0.5172413793103449,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
16,0.101,0.113,0.046,0.044,0.074,0.011,0.435,1.0,0.007,0.011,0.018,0.032,0.045,1.433,-0.911,-1.29,0.108,0.0,0.0,0.5517241379310345,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206884,0.0,0.0,0.0
17,0.122,0.228,0.183,-0.032,0.075,0.012,0.478,1.0,-0.004,-0.022,0.014,0.037,0.038,1.255,-0.711,-1.752,-0.218,0.0,0.0,0.5862068965517241,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
18,0.151,0.289,0.131,-0.005,0.077,0.013,0.516,0.999,-0.014,-0.043,0.011,0.051,0.037,1.283,-0.68,-1.168,-0.044,0.0,0.0,0.6206896551724138,1.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206902,0.0,0.0,0.0
