Step,x0_px,x0_py,x0_pz,x0_qw,x0_qx,x0_qy,x0_qz,x0_vx,x0_vy,x0_vz,x0_wx,x0_wy,x0_wz,x0_u0_act,x0_u1_act,x0_u2_act,x0_u3_act,x0_u4_act,x0_u5_act,x0_u6_act,x0_u7_act,x0_u0_des,x0_u1_des,x0_u2_des,x0_u3_des,x0_u4_des,x0_u5_des,x0_u6_des,x0_u7_des,u_dot_0,u_dot_1,u_dot_2,u_dot_3,u_dot_4,u_dot_5,u_dot_6,u_dot_7,x_next_px,x_next_py,x_next_pz,x_next_qw,x_next_qx,x_next_qy,x_next_qz,x_next_vx,x_next_vy,x_next_vz,x_next_wx,x_next_wy,x_next_wz,x_next_u0_act,x_next_u1_act,x_next_u2_act,x_next_u3_act,x_next_u4_act,x_next_u5_act,x_next_u6_act,x_next_u7_act,x_next_u0_des,x_next_u1_des,x_next_u2_des,x_next_u3_des,x_next_u4_des,x_next_u5_des,x_next_u6_des,x_next_u7_des
1,0.011109478771686554,-0.02422863058745861,0.18139199912548065,0.9999900546021224,-0.0005313211315207255,0.0038191613655047265,-0.002241071432094316,0.0029427703855853535,-0.0009740468283351805,0.0010601489825671855,-5.6090625037205546e-05,0.011044300785236673,0.0036896637088294445,-0.25,0.25,-0.25,0.25,0.25,-0.25,0.25,-0.25,-0.25,0.25,-0.25,0.25,0.25,-0.25,0.25,-0.25,-1.199080711054386,1.1968096817125236,-1.198724119199345,1.1968795740856781,1.1994206933489442,-1.1979243804372206,1.1994646167021563,-1.198135792053074,0.011102030866651794,-0.02307395937290884,0.15099045090348276,0.9499905518720163,-0.0005094778977449576,0.0041340941936876775,-0.0019525205730698111,0.008288087434202956,-0.00020863095587046745,-0.4035238508586929,-0.0001683646966172929,0.009445939559225902,0.0035744038029278512,-0.2894620445237054,0.289363629690835,-0.2894465916507856,0.2893666584699424,0.28947677762295737,-0.28941193505029017,0.2894786810371431,-0.28942109655184256,-0.3574080711054386,0.35718096817125233,-0.3573724119199345,0.3571879574085678,0.3574420693348944,-0.35729243804372207,0.35744646167021565,-0.3573135792053074
2,0.011086411774158478,-0.02424592152237892,0.18137092888355255,0.9999903163939258,-0.00046238011021900046,0.003705448613336869,-0.0023287278896316293,0.0008493725995837845,-0.0008252200928663884,2.718696601013929e-06,0.0012454965651042885,-0.00041272774167245424,-0.0029106680310519543,-0.2894620445237054,0.289363629690835,-0.2894465916507856,0.2893666584699424,0.28947677762295737,-0.28941193505029017,0.2894786810371431,-0.28942109655184256,-0.3574080711054386,0.35718096817125233,-0.3573724119199345,0.3571879574085678,0.3574420693348944,-0.35729243804372207,0.35744646167021565,-0.3573135792053074,-1.199966461718275,1.1999260721673368,-1.1998856500357888,1.1997269381449525,1.1997543687566183,-1.1997925994870178,1.1999576909254266,-1.1999750663779836,0.01089060827896834,-0.02307781085848338,0.1638757093270894,0.9499912573973016,-0.0003943454626089293,0.003405264074571994,-0.0023358781106092405,0.0069033766330057,-4.181656659684753e-05,-0.09637541943836897,0.0006460614940662821,-0.00529845420964125,-0.0023541340971249512,-0.37105756198521583,0.3708788535476442,-0.37102627445159253,0.3708756700943871,0.37107486231124026,-0.37095992662792415,0.3710870957564588,-0.3709843069642669,-0.45953431372199416,0.45931452697942343,-0.4594923563275166,0.45930125335263466,0.4595454027438115,-0.4594070760902377,0.4595699076792476,-0.45944540688284036
3,0.011057764291763306,-0.024181988090276718,0.18137633800506592,0.9999895490263747,-0.00039698602375461806,0.003852884909144283,-0.0024288923404825018,0.0003735491877083668,0.0013045201291908112,0.0022633065497628976,0.005448753801131364,0.0114548581682671,-0.006781999763172978,-0.37105756198521583,0.3708788535476442,-0.37102627445159253,0.3708756700943871,0.37107486231124026,-0.37095992662792415,0.3710870957564588,-0.3709843069642669,-0.45953431372199416,0.45931452697942343,-0.4594923563275166,0.45930125335263466,0.4595454027438115,-0.4594070760902377,0.4595699076792476,-0.45944540688284036,-0.219072230769464,-0.004791470475705356,-0.04191854127686709,0.23402190049070457,-0.002744088447952292,-0.21064564416037723,0.2537132633232378,-0.04416485787951478,0.010738399600609187,-0.022541047008445364,0.18470904009114897,0.9499887329683994,-0.00015265254651231397,0.003924715116317186,-0.0025101492120236497,0.0028774639402579924,0.009842209496649561,0.3360695850831905,0.0041931094751135045,-0.0017989804343701045,-0.0003338187302748914,-0.4193820930716014,0.4094845661890196,-0.41166851200699367,0.4198239515713327,0.4097821115278185,-0.4189049748439049,0.4209152463822233,-0.41172275562267957,-0.45846482111284076,0.43586965358288177,-0.4407095926388275,0.45973838073407336,0.4362937237618257,-0.4575012867017635,0.46196273862760895,-0.44088962232664985
4,0.011122778058052063,-0.02426578663289547,0.18148599565029144,0.9999895053494344,-0.0003999290965371544,0.0038972094029765957,-0.0023750803314129256,-0.005126833923675338,0.0004819978901152186,-0.009790868702012349,-0.0062780135661697455,-0.05244861812414359,0.005601739545793357,-0.4193820930716014,0.4094845661890196,-0.41166851200699367,0.4198239515713327,0.4097821115278185,-0.4189049748439049,0.4209152463822233,-0.41172275562267957,-0.45846482111284076,0.43586965358288177,-0.4407095926388275,0.45973838073407336,0.4362937237618257,-0.4575012867017635,0.46196273862760895,-0.44088962232664985,-0.024092067299764652,0.23449319406938274,-0.13732759878030387,0.008020357712098525,0.19670176356556746,-0.056799315117223026,-0.05575528745998415,-0.143287609395379,0.00943342951612169,-0.021598533205394926,0.1952828179351964,0.9500038766846156,-0.0006586805880491236,0.0010490422890843017,-0.0016518087264323186,-0.02154506055985315,0.032618844291025885,0.5077954340636424,-0.0045666846081334304,-0.057436885513323196,0.020652644703962234,-0.4248051519479622,0.4162848230964729,-0.41587152472912847,0.425067873313428,0.41501186427821546,-0.4254537769237448,0.42407577008842445,-0.41626291451848296,-0.43795078678717525,0.43752549031067595,-0.4324068728849165,0.4375534974685795,0.43414921393029116,-0.44030615387839767,0.43328907295023006,-0.43317390214985524
5,0.011069096624851227,-0.024231791496276855,0.18152819573879242,0.9999898273775915,-0.0002165906086780458,0.004114640492344397,-0.0018352012047185204,-0.0032572635485702698,0.001598732152248835,0.004659857042961003,0.011793072589401538,0.008991803287488737,0.0347175337176846,-0.4248051519479622,0.4162848230964729,-0.41587152472912847,0.425067873313428,0.41501186427821546,-0.4254537769237448,0.42407577008842445,-0.41626291451848296,-0.43795078678717525,0.43752549031067595,-0.4324068728849165,0.4375534974685795,0.43414921393029116,-0.44030615387839767,0.43328907295023006,-0.43317390214985524,-0.3240139463401477,0.1566508814529015,-0.328454399562214,0.3480836589552301,0.25102334446958086,-0.291148945028898,0.44217107753839713,-0.2811071635445044,0.010062131556155571,-0.02161871737277394,0.19795634649359672,0.9500023036283483,0.000505006022466495,0.005129578622382959,-0.0004203700896336449,-0.0038208974952017097,0.025207538871806573,0.5303088909358487,0.017681500529605532,0.04258574448929778,0.017230037737985482,-0.4261319556985661,0.41603522854106056,-0.4200359245999968,0.4269965322492678,0.4175513768621071,-0.4264309005358799,0.4280089527466396,-0.41859958799943514,-0.4484546420818313,0.43131430394043224,-0.44363196919689213,0.45048418849067356,0.4375440876807347,-0.4474057406873675,0.45584172705655823,-0.43962592339681295
6,0.011221423745155334,-0.024439405649900436,0.18225280940532684,0.9999852666300807,-0.0014308493272301183,0.0051331684093157935,0.001034299304301151,-0.0002318071271656,-0.001047731828250742,0.015779703980970602,-0.1134446149530609,0.04701339032152179,0.1557940588413311,-0.4261319556985661,0.41603522854106056,-0.4200359245999968,0.4269965322492678,0.4175513768621071,-0.4264309005358799,0.4280089527466396,-0.41859958799943514,-0.4484546420818313,0.43131430394043224,-0.44363196919689213,0.45048418849067356,0.4375440876807347,-0.4474057406873675,0.45584172705655823,-0.43962592339681295,-0.07372915348100162,0.3198343037332423,-0.29713231020347286,0.24696384382334124,0.293799313102137,-0.2592715746719805,0.18615121266893553,-0.3349467796082537,0.010155813484923958,-0.02188716717942786,0.20085694652338604,0.949989198442442,-0.006055112857509582,0.005467222082324513,0.006709370539365656,-0.012270382768440237,0.02896297655977805,0.5678263281256004,-0.07968162944467956,-0.03173455677400919,0.08025639910394036,-0.4224983717259808,0.41900310332003526,-0.4272141660996564,0.43158239968416756,0.42237237329518024,-0.4299486505757711,0.4327270309326147,-0.42582167982195257,-0.4334048253258399,0.4417320191167349,-0.45116360175739484,0.45265636344847404,0.44504681460691164,-0.45096261112019725,0.4516647619706239,-0.45113930518779777
7,0.011473499238491058,-0.024864286184310913,0.18492040038108826,0.9999499782193415,-0.001576584509735053,0.006316918328906462,0.007592890309230057,0.002642802447650579,-0.012175019778314795,0.07879847711897323,-0.037834748986678886,0.09601068379729923,0.3756220288708943,-0.4224983717259808,0.41900310332003526,-0.4272141660996564,0.43158239968416756,0.42237237329518024,-0.4299486505757711,0.4327270309326147,-0.42582167982195257,-0.4334048253258399,0.4417320191167349,-0.45116360175739484,0.45265636344847404,0.44504681460691164,-0.45096261112019725,0.4516647619706239,-0.45113930518779777,-0.4695866088321886,0.022477872651359032,-0.12749944039378125,0.29681802788119893,0.15352329590017288,-0.2814623838253594,0.23949982347456866,0.06090388871059127,0.010685247781217124,-0.024017858579779484,0.21047779085422239,0.9498468119213009,-0.00045204807879911137,0.00904772691063177,0.019451275829463325,-0.005855824241529247,0.0029534055795031253,0.6479252860487946,0.07658622392458374,0.03849340523845579,0.12830852646844534,-0.4287966113094288,0.41376846358112424,-0.4269116729292727,0.43653393585752925,0.42261277970126754,-0.4342775222076284,0.433751946608587,-0.4183117468476571,-0.45869324494276675,0.42189320542603403,-0.4413553657089032,0.45970534806417024,0.4381468034665833,-0.45656071894672334,0.4530315062195496,-0.4224919510573487
8,0.011181682348251343,-0.02419675886631012,0.1900017261505127,0.9998538696807886,-0.0060475667542217995,0.005217660167830339,0.015114305907943852,-0.005549308768740795,0.014276016674859525,0.14982857395270296,-0.2571819632854143,-0.027763440377560997,0.4615424175795042,-0.4287966113094288,0.41376846358112424,-0.4269116729292727,0.43653393585752925,0.42261277970126754,-0.4342775222076284,0.433751946608587,-0.4183117468476571,-0.45869324494276675,0.42189320542603403,-0.4413553657089032,0.45970534806417024,0.4381468034665833,-0.45656071894672334,0.4530315062195496,-0.4224919510573487,0.3864885869434326,0.3907648050514434,-0.23860875680585525,-0.034700706621841215,0.29208611113439265,0.054384879532119346,-0.07713850600943473,-0.6492834947507709,0.00902879651232642,-0.019050007384098455,0.22170226574023974,0.9497055704309032,-0.016880794684326343,0.0015336124133703052,0.0265657725845401,-0.028978033974195797,0.07127840762520404,0.7031821899649602,-0.2136589731031439,-0.11630098388323082,0.05206349326363127,-0.40999858775547554,0.41528331079269576,-0.4252740149362442,0.4282319191312458,0.4242146652293211,-0.42465923885372725,0.42122582763124794,-0.4282439777229134,-0.3971097240012852,0.4398750256598767,-0.4431484731040436,0.4332500099987776,0.44544807440669343,-0.4282941950461753,0.4226660803076286,-0.4662957029795584
9,0.011723063886165619,-0.024929074570536613,0.19787420332431793,0.999593543345655,-0.0071390526401962804,0.006675579966772496,0.026780938392559177,0.009568379715456252,-0.011317145056860694,0.22849943436782588,-0.12806730391944088,0.059949160922725106,0.6527064710333322,-0.40999858775547554,0.41528331079269576,-0.4252740149362442,0.4282319191312458,0.4242146652293211,-0.42465923885372725,0.42122582763124794,-0.4282439777229134,-0.3971097240012852,0.4398750256598767,-0.4431484731040436,0.4332500099987776,0.44544807440669343,-0.4282941950461753,0.4226660803076286,-0.4662957029795584,-0.9548370208593479,-0.15316052379371115,-0.29043477555831887,0.5284200103767738,0.057553300315267286,-0.5901297654728503,0.5617400018394995,0.38448944665729257,0.012046139591388323,-0.024735294303289947,0.23520462378351778,0.9492590365736744,-0.0049884400379247885,0.01008279997343308,0.04483782630364702,0.012583732023589502,-0.01780455238490275,0.7500228782271412,0.20518850689273815,0.11190798714337644,0.1671726809210273,-0.4225170134106355,0.40383155563572404,-0.42818922882372046,0.43297396773602054,0.4192694872565528,-0.43135703908446527,0.42544159784407826,-0.4148494185942445,-0.47273793988715573,0.40256522199751177,-0.4500345270046733,0.46442951053651604,0.42893100071788554,-0.46589246184115163,0.4577067764761971,-0.40453197316485123
10,0.012076906859874725,-0.024983108043670654,0.20841112732887268,0.9991392607941519,-0.0097805564236433,0.008254019145876666,0.039458198434534505,0.009741117710473318,0.001145151047859209,0.3104233137415737,-0.1995185911712357,0.09051985957136968,0.7128865314006441,-0.4225170134106355,0.40383155563572404,-0.42818922882372046,0.43297396773602054,0.4192694872565528,-0.43135703908446527,0.42544159784407826,-0.4148494185942445,-0.47273793988715573,0.40256522199751177,-0.4500345270046733,0.46442951053651604,0.42893100071788554,-0.46589246184115163,0.4577067764761971,-0.40453197316485123,0.4347276590662281,0.3867101330637286,-0.1874764824247528,0.07328265220206776,0.45178170101931947,0.18413793331549622,-0.16228614727662294,-1.1528363806210218,0.01129290927988095,-0.020822604968665837,0.2533493412457975,0.948495800115409,-0.019200009374712786,0.007880206572279929,0.0543794746499196,-0.019721633381939687,0.0680019485266748,0.8391770716497016,-0.2452351479136139,-0.11690004882742658,-0.004799061892675649,-0.41512439157448056,0.3995767092373629,-0.42907238775717454,0.434902289469039,0.42415015830824254,-0.4242084490703457,0.4180632980619593,-0.43737334677612916,-0.4056282769861751,0.42110797420400903,-0.44628044889691487,0.448536300229897,0.4526626207839233,-0.42418404541754445,0.418592822924725,-0.49958901256871086
