Step,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,u0_act,u1_act,u2_act,u3_act,u4_act,u5_act,u6_act,u7_act,u0_des,u1_des,u2_des,u3_des,u4_des,u5_des,u6_des,u7_des,u0_dot,u1_dot,u2_dot,u3_dot,u4_dot,u5_dot,u6_dot,u7_dot
1,0.010310597585699537,-0.0263178352784925,0.1427772944301689,0.9499309418143005,-0.009200195623809885,-0.01368827545327417,0.009323850934973923,-0.05175820822112088,-0.02676133923223357,-0.5065151845056438,-0.11068215031989116,-0.05151344815879185,0.16944073952586824,-0.27301356315877023,0.27499868446550746,-0.2749990254833809,0.274999423088639,0.274999374789014,-0.2749996179375247,0.2737062786329919,-0.27499867236990577,-0.33220283509005394,0.33749649190801995,-0.3374974012890157,0.3374984615697041,0.337498332770704,-0.3374989811667325,0.334050076354645,-0.33749645965308206,-0.9470283509005396,0.9999649190801996,-0.999974012890157,0.9999846156970409,0.9999833277070403,-0.999989811667325,0.9655007635464502,-0.9999645965308207
2,0.019647751731668474,-0.0193526156328842,0.14285639154579235,0.9502005670301197,0.004061741229152963,-0.006306415418032346,-0.007993462515155012,0.028370551211090438,0.025337486144316638,-0.3945545411357089,0.11234344337191533,0.08141888127734292,-0.13377969443120746,-0.33200639768051726,0.3358567105960396,-0.33585661398023076,0.33401165913747066,0.3358574330928709,-0.3296467743942273,0.33335000394131425,-0.33585670189454464,-0.4155923799235135,0.4206213664721275,-0.4206202089216936,0.4156992801049022,0.42062147144331347,-0.4040590732716939,0.4173473307842206,-0.4206213751870901,-0.9999968658796229,0.999996991595086,-0.9999767769712865,0.9507574161368326,0.9999805531114466,-0.8343504116329801,0.9999975824730779,-0.9999973851666207
3,0.011842527070837192,-0.02544239075294196,0.16129789419736842,0.9500603107981928,-0.007127413247177241,-0.012704201842192207,0.005358585265923482,-0.039553927073943305,-0.02768921272632181,-0.06329981681214886,-0.08344932504992374,-0.02519665132953053,0.09931801321662642,-0.3906347435928031,0.4068928853376421,-0.40689203654837514,0.40331309688497113,0.4068931876701885,-0.3948467308910711,0.4010990811528507,-0.40689288108017124,-0.4630780644994249,0.4995902870684607,-0.49958884853070845,0.49491430477955456,0.4995903404348433,-0.4838561002962676,0.4885950698333469,-0.4995902784621487,-0.6826530357208711,0.9999998891993962,-0.9999965005509954,0.9999998867989741,0.9999994256369545,-0.9999998068815843,0.9211510558833732,-0.9999997203441318
4,0.014518971063962946,-0.023752654289465477,0.17632143604509462,0.9500079855339358,-0.0015173393462016415,-0.011906635826466536,-0.004153953019674939,-0.024520866062989394,-0.01902872377379801,0.27071679857135744,0.03655004520256676,0.015499257937822496,-0.07369933466435857,-0.4516119633907335,0.46738082855264135,-0.45486110506046046,0.4576814544093372,0.460479443406625,-0.45601168240733203,0.4601603317097833,-0.4523517443301013,-0.5399127884458238,0.5433934532595918,-0.5100092413708227,0.5238907100237922,0.5249894385222533,-0.5344845618853984,0.5366065465697607,-0.50331590482808,-0.9998862717137026,0.6878268054455412,-0.3539983526664977,0.537221204832153,0.5037861510915224,-0.7482126660394413,0.7244123022808127,-0.2870514028903861
5,0.009467442365926487,-0.026473434952931044,0.19062287178966095,0.9499411882478446,-0.010322594977498618,-0.019639622058898264,0.012810275516380839,-0.06423747441878486,-0.01606018781585128,0.5123799648721371,-0.12031552228252941,-0.07798586031535318,0.2222101301621458,-0.45964768453219457,0.48334502353048125,-0.4583792575701898,0.4627177372584447,0.4790406142165313,-0.47516828949184314,0.45649315666387275,-0.454719286032129,-0.45475102751563373,0.5007590885585326,-0.4672207841782145,0.4673191346519136,0.5074928556103627,-0.49539745116386397,0.44031195648518473,-0.4640838659142972,0.5816612150789888,-0.15464692038079642,0.17287995124067157,-0.3037703987068898,0.08752889014222043,0.12362882627264604,-0.6946426275608799,0.14066243672378886
6,0.017397720497874466,-0.012124937441210274,0.2054860109531877,0.9517475985637783,-0.0003463935206903159,0.030480740009085502,-0.030698622729000383,0.07512427999882823,0.06835081442607507,0.5712937271601227,0.09705667738534456,0.5330277523423923,-0.48114972368377046,-0.4576381012277653,0.43666951431995776,-0.4653853298332814,0.43177573120273854,0.4468111309826469,-0.4392538002699752,0.46154147169352205,-0.4712072854171097,-0.49569398554188815,0.3881268430788596,-0.5096607548842009,0.4158513141989019,0.41499562389479067,-0.4061818732989023,0.5182445199114293,-0.5306496576360483,-0.6368050940203611,-0.8759429105174634,-0.6580100991489714,-0.2810186372041604,-0.6712258893505392,0.6444570530676843,0.999481612505037,-0.8976998501746603
7,0.01344402048243945,-0.028363141310304874,0.196739186398625,0.9542240840006148,-0.009938236927790998,-0.012173884878806232,0.028289460346508546,-0.07821174240082693,-0.08932736130015517,0.4186023719563438,-0.23856700034984568,-0.6950210869601339,0.8604785353113527,-0.4198521855954598,0.42351343803479596,-0.481289410254724,0.4382317210766322,0.4225534845391217,-0.435154516912992,0.4346319948309589,-0.46939584670247625,-0.37091010791165324,0.4687194622055516,-0.5185372192443194,0.4950584792357795,0.43950815587077596,-0.48587241508886414,0.3923327254964724,-0.4679972202241852,0.999991783531405,0.9999896128063499,-0.34359502104328554,0.9999973074682275,0.4526231317072483,-0.9999963545490682,-0.999995684193854,0.3611995453006065
8,0.018087922861509752,-0.02591007565257565,0.21656733086054109,0.9520718597757124,-0.0037740833977332206,0.024608809695593065,0.011416759589557322,0.03676651638703955,-0.09984065430043712,0.5268067731793932,0.05878592945587491,0.6015112908106295,-0.40327112911468554,-0.40730021672435396,0.4195783149683838,-0.48206322514439154,0.41527354052905036,0.4322838045521711,-0.4200214418065213,0.42528520281733356,-0.46742047579546697,-0.4523645999385432,0.4196820810524514,-0.49987008845498737,0.37753893620534,0.4729758364421325,-0.39894119086043367,0.47271608627571254,-0.5041303082785753,-0.9999999742247261,-0.2560140804282267,-0.0725973017288396,-0.9276661906865051,0.5544308836489527,0.6263760347398726,0.999999970540638,-0.5953294906559935
9,0.015329048873987406,-0.02624101530444449,0.2290687315921764,0.9513899236608743,-0.00954069860639489,-0.017125528470492465,0.05425900512261893,-0.0261430242045691,-0.11250389368463178,0.5498779612511736,-0.12382089017754772,-0.7311217244041903,0.6507396133233905,-0.401189328876752,0.4361605094498363,-0.48194509934116936,0.40960490356387386,0.43618154932039616,-0.42400393003342135,0.3946835230321222,-0.46351508841901196,-0.3964054244887918,0.49869664131304614,-0.5106424783344543,0.4586618864043506,0.45292982078314326,-0.4789940228279871,0.3490815974345743,-0.4727082552019071,0.3334094545282428,0.9999866431321732,-0.35765894302216283,0.9999989700927767,0.03602776163117394,-0.9999989151057518,-0.9999868452735257,0.06215537662739401
10,0.024176836482706382,-0.033557375558835936,0.25349610794259547,0.9488163556113096,-0.009507665847808355,0.012529040441738085,0.06604645788231946,0.11224563483726918,-0.15692851668921504,0.6615531368896416,-0.10319875513639981,0.46476074919688326,0.07012182792388544,-0.4157893475762994,0.4139836926851017,-0.475732704746765,0.40622714814370403,0.440217199333997,-0.4294029259216705,0.385373100871939,-0.4613353626387697,-0.47658496226098246,0.3737628236846642,-0.487365798672108,0.40366187527477515,0.47268450654029154,-0.4389078544683127,0.43162724373609085,-0.49050640474411655,-0.9999980899663028,-0.9999898556272967,-0.02255444254376382,-0.32066916809357926,0.42401176796305373,0.1613646721827503,0.9999972617324525,-0.41433562302304805
