Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
1,0.4,0.4,0.396,0.4,0.091,-0.049,0.169,0.999,-0.001,0.002,-0.038,0.0,0.001,-0.001,0.031,0.011,0.012,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.399,0.4,0.4,0.4,0.091,-0.049,0.169,0.999,-0.001,0.002,-0.038,-0.001,-0.0,0.002,-0.032,-0.005,-0.004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,0.392,0.4,0.395,0.091,-0.049,0.17,0.999,-0.001,-0.002,-0.038,-0.007,0.002,0.068,-0.069,-0.314,0.023,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.373,0.4,0.368,0.09,-0.049,0.178,0.999,-0.001,-0.014,-0.037,-0.035,-0.001,0.406,-0.051,-1.22,0.091,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.366,0.315,0.354,0.307,0.087,-0.049,0.204,0.998,-0.001,-0.046,-0.036,-0.117,-0.01,1.076,0.192,-2.55,0.096,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.133,0.05,0.109,0.05,0.081,-0.05,0.252,0.995,0.003,-0.096,-0.036,-0.275,-0.013,1.746,0.421,-3.415,-0.076,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.173,0.05,0.146,0.05,0.067,-0.05,0.323,0.987,0.008,-0.154,-0.036,-0.515,-0.024,2.412,0.441,-3.304,-0.014,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.133,0.05,0.115,0.05,0.044,-0.051,0.412,0.979,0.013,-0.199,-0.036,-0.798,-0.036,2.905,0.422,-2.154,-0.063,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.06,0.05,0.05,0.05,0.014,-0.053,0.511,0.976,0.018,-0.214,-0.035,-0.958,-0.05,2.99,0.19,-0.133,0.073,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05,0.09,0.05,0.107,-0.019,-0.055,0.607,0.98,0.018,-0.194,-0.031,-1.013,-0.052,2.814,-0.228,2.147,0.271,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.05,0.227,0.05,0.2,-0.052,-0.057,0.694,0.99,0.014,-0.139,-0.027,-1.017,-0.056,2.546,-0.363,4.124,0.317,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.05,0.125,0.051,0.182,-0.085,-0.058,0.769,0.998,0.007,-0.059,-0.023,-0.97,-0.058,2.104,-0.541,5.232,0.251,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.05,0.172,0.093,0.144,-0.118,-0.06,0.833,0.999,0.001,0.028,-0.02,-0.977,-0.053,1.788,-0.492,4.939,0.169,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.238,0.129,0.265,0.161,-0.15,-0.062,0.886,0.996,-0.007,0.091,-0.018,-1.019,-0.056,1.57,-0.654,2.994,0.077,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.279,0.187,0.23,0.193,-0.183,-0.064,0.932,0.994,-0.017,0.105,-0.017,-0.994,-0.052,1.296,-0.538,-0.264,-0.06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.249,0.149,0.275,0.189,-0.216,-0.066,0.971,0.997,-0.026,0.072,-0.02,-0.964,-0.044,1.048,-0.486,-2.765,-0.287,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.196,0.112,0.147,0.101,-0.249,-0.067,1.004,0.999,-0.03,0.016,-0.022,-0.969,-0.048,0.937,0.1,-3.038,-0.189,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
