Step,Last_Control_0,Last_Control_1,Last_Control_2,Last_Control_3,Last_Position_X,Last_Position_Y,Last_Position_Z,Predicted_Position_X,Predicted_Position_Y,Predicted_Position_Z,Actual_Position_X,Actual_Position_Y,Actual_Position_Z,Last_Linear_Velocity_X,Last_Linear_Velocity_Y,Last_Linear_Velocity_Z,Predicted_Linear_Velocity_X,Predicted_Linear_Velocity_Y,Predicted_Linear_Velocity_Z,Actual_Linear_Velocity_X,Actual_Linear_Velocity_Y,Actual_Linear_Velocity_Z,Last_Orientation_W,Last_Orientation_X,Last_Orientation_Y,Last_Orientation_Z,Predicted_Orientation_W,Predicted_Orientation_X,Predicted_Orientation_Y,Predicted_Orientation_Z,Actual_Orientation_W,Actual_Orientation_X,Actual_Orientation_Y,Actual_Orientation_Z,Last_Angular_Velocity_X,Last_Angular_Velocity_Y,Last_Angular_Velocity_Z,Predicted_Angular_Velocity_X,Predicted_Angular_Velocity_Y,Predicted_Angular_Velocity_Z,Actual_Angular_Velocity_X,Actual_Angular_Velocity_Y,Actual_Angular_Velocity_Z,Setpoint_X,Setpoint_Y,Setpoint_Z,Setpoint_Orientation_W,Setpoint_Orientation_X,Setpoint_Orientation_Y,Setpoint_Orientation_Z,Setpoint_VX,Setpoint_VY,Setpoint_VZ,Setpoint_AX,Setpoint_AY,Setpoint_AZ
1,0.5999748148391586,0.5999748148391587,0.5999748148391586,0.5999748148391586,0.1,0.1,0.015,0.1,0.1,0.016087475483865972,0.1,0.1,0.015,0.0,0.0,0.0,-3.70238263311377e-08,-2.8313335550849713e-08,0.0921835327055757,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4430731256586639e-07,-1.8870291241934417e-07,3.9681104671900365e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6479093691394925e-05,-3.462528688911609e-05,7.281125742699778e-07,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5961547546652618,0.5971411437979487,0.5970528046123927,0.5977939807962673,0.1,0.1,0.015,0.10000007929185444,0.0999999989195881,0.018609046166776333,0.1,0.1,0.015,0.0,0.0,0.0,7.411593903544417e-06,-2.056271184614753e-07,0.23901948845197776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000000000034954,6.418585048288501e-07,1.5841365331926616e-05,2.9151718924717963e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.812071205601397e-05,0.0008873044002641711,4.5028744247391354e-06,0.0,0.001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5976610025850841,0.5989234279507888,0.5988844047248929,0.5993090545273648,0.1,0.1,0.015,0.10000129542595651,0.09999999649521818,0.023651539358702005,0.1,0.1,0.016,0.0,0.0,0.0,0.00012042978682396965,-5.223366352363933e-07,0.4181091663971715,0.0,0.0,0.059,1.0,0.0,0.0,0.0,0.9999999969964908,1.209341730561373e-06,0.00019842461343509812,8.295947257936539e-08,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.00015719054870862046,0.011793002455151491,1.1178254330215393e-05,0.0,0.012,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5966619820953885,0.5983813247652481,0.5981534736720774,0.5988488619008834,0.1,0.1,0.016,0.10002623203544972,0.09999999336056184,0.039370316328961145,0.1,0.1,0.023,0.0,0.0,0.059,0.0017294181542207051,-6.814971287942682e-07,0.7253769468634941,0.0,0.0,0.271,1.0,0.0,0.0,0.0,0.9999997290448563,1.2276930587085917e-06,0.0014650932475144339,5.7117110527785154e-08,1.0,0.0,0.001,0.0,0.0,0.012,0.0,0.00012536908645072403,0.027845590446644454,3.276544211977097e-06,0.0,0.028,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5998140309342304,0.5972814053219478,0.5976812996765352,0.5974691684866626,0.1,0.1,0.023,0.1000679408713972,0.09999999738665867,0.06973295771737154,0.1,0.1,0.041,0.0,0.0,0.271,0.003267959046021748,-2.5104106408923375e-05,1.110430191197565,0.001,0.0,0.614,1.0,0.0,0.001,0.0,0.9999990323980388,5.618910040926039e-05,0.0017341887984091125,9.558704383075395e-06,1.0,0.0,0.001,0.0,0.0,0.028,0.0,0.009969770200519913,0.03631183667083012,0.0017172945074888537,0.0,0.048,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.22341274428000873,0.5982835734579326,0.598267789122172,0.5983322077044763,0.1,0.1,0.041,0.10019670937039049,0.09999896145422763,0.11590475341169149,0.1,0.1,0.073,0.001,0.0,0.614,0.007969462035658077,-0.00011470113980832956,1.509614142258053,0.004,0.0,1.052,1.0,0.0,0.001,0.0,0.9999980654935516,0.0001972411150193032,0.0028360092128595885,0.00027681682737206885,1.0,0.0,0.002,0.0,0.0,0.048,0.0,0.021699175426792908,0.024226593065154713,0.018195112694644754,0.002,0.069,0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.10194312760858716,0.5748191442943541,0.24021810989915432,0.5979712509844293,0.1,0.1,0.073,0.10037187901499199,0.09999630613085705,0.17616563702134572,0.1,0.1,0.12,0.004,0.0,1.052,0.014253760315151796,-0.00035358112608498094,1.8378639874668063,0.008,0.0,1.504,1.0,0.0,0.002,0.0,0.9999964417439698,0.0005564848729406479,0.004579954357488598,0.0018776145963500697,1.0,0.0,0.004,0.001,0.002,0.069,0.015,0.046100077429988555,0.0029247356342038157,0.052818095858136155,0.022,0.067,0.052,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.10015506485809496,0.14375030489098944,0.10009431623235002,0.45054491928768003,0.1,0.1,0.12,0.1015014413129783,0.09993758232023663,0.2468994671996973,0.101,0.1,0.181,0.008,0.0,1.504,0.016806010266929856,-0.002854096160731548,2.0457827798329418,0.013,-0.001,1.88,1.0,0.0,0.004,0.001,0.9999981692421608,0.0020223479039538413,0.00385332145408767,0.002655772798516997,1.0,0.001,0.004,0.002,0.022,0.067,0.052,0.0714499867628754,-0.03156029591961493,0.03925420901222397,0.049,0.018,0.04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1004241226828213,0.10171720975401306,0.10031240011754815,0.10018864437338737,0.101,0.1,0.181,0.10164532789505913,0.09989667123091549,0.32106805053193643,0.101,0.1,0.251,0.013,-0.001,1.88,0.020446829380162082,-0.004279899261231993,2.1099051502117736,0.018,-0.002,2.077,1.0,0.001,0.004,0.002,1.0000003499701,0.0034758516747427234,0.0029907179325842958,0.0021069352587513995,1.0,0.002,0.004,0.002,0.049,0.018,0.04,0.09484845339120596,-0.07522246162708855,0.006718221041996854,0.081,-0.044,0.007,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.10039990251096566,0.10109346114686783,0.1003701905141174,0.10008156539084606,0.101,0.1,0.251,0.10267405471003856,0.0998159187946129,0.39074267263802004,0.102,0.1,0.322,0.018,-0.002,2.077,0.02028283587544922,-0.007080937170176185,2.031127128847535,0.02,-0.004,2.082,1.0,0.002,0.004,0.002,0.9999948663353645,0.00580186675961429,0.0004170033244193993,0.002089058659373389,1.0,0.004,0.002,0.002,0.081,-0.044,0.007,0.11220977539759511,-0.10497067984517527,0.005847803660615307,0.103,-0.084,0.006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
